,,index,primary_length,Jv,k0,surface,length,0.01,0.02,0.03,0.045,0.06,0.08
Col0,full root,20-06-09-FB-hydroroot-1ter.txt,0.103,0.00452,104.3,0.000462570175766,1.626,30,38,32,18,10,3
Col0,full root,20-06-09-FB-160212-3-Col.txt,0.0925,0.0095,104.3,0.000518335770145,1.8761,8,29,53,30,15,7
Col0,full root,20-06-09-FB-160212-4-Col.txt,0.0859,0.00988,104.3,0.000447712515965,1.5992,11,32,37,27,9,5
Col0,full root,20-06-09-FB-hydroroot-5.txt,0.0842,0.0034,104.3,0.000219626040643,0.7099,7,15,17,10,6,3
Col0,full root,20-06-09-FB-hydroroot-7.txt,0.0746,0.0138,104.3,0.000510136590311,1.8824,2,34,45,34,13,6
Col0,full root,20-06-10-FB-hydroroot-8.txt,0.0757,0.00718,104.3,0.000335799121043,1.1174,6,32,27,17,16,1
Col0,full root,20-06-16-FB-170426-full-archi-ch3G1.txt,0.0617,0.0197,104.3,0.000602816966512,2.1262,7,30,44,44,22,5
Col0,full root,20-06-16-FB-170426-full-archi-ch4G1c.txt,0.0801,0.0207,104.3,0.000605004645972,2.1082,7,26,37,51,30,8
Col0,full root,200721-YBFB-Col-2-correct-scale.txt,0.1222,0.0118,104.3,0.000360185545521,1.1336,14,17,20,21,8,3
Col0,full root,200812-YBFB-col-2.txt,0.1399,0.00296,104.3,0.000258634379808,0.7824,7,12,14,12,6,2
Col0,cut and flow,200219-YBFB-Col-cut-n-flow-archi2.txt,0.1687,0.00524,104.3,0.000739537696495,2.5189,11,18,36,38,27,20
Col0,cut and flow,200619-YBFB-Col-1-cut-n-flow-archi2.txt,0.1299,0.0163,104.3,0.000478065139052,1.5295,8,21,26,26,20,9
Col0,cut and flow,200619-YBFB-Col-2-cut-n-flow-archi2.txt,0.1621,0.0342,104.3,0.000870136090716,2.8045,13,28,35,34,34,23
Col0,cut and flow,200702-YBFB-Col-1-cut-n-flow-archi2.txt,0.1458,0.0162,104.3,0.000829445428684,2.7905,20,40,31,36,31,22
Col0,cut and flow,200703-YBFB-Col-2-cut-n-flow-archi2.txt,0.1628,0.0532,104.3,0.00101931436654,3.3767,13,29,35,36,38,38
Col0,cut and flow,200703-YBFB-Col-3-cut-n-flow-archi2.txt,0.1231,0.0151,104.3,0.000612254687834,2.1405,16,31,38,33,21,12
Col0,cut and flow,15012020-1045-cut-n-flow-archi2.txt,0.1365,0.0062,104.3,0.000379861465975,1.2272,1,11,23,18,15,12
Col0,cut and flow,160316#2-cut-n-flow-archi2.txt,0.1536,0.0349,104.3,0.00123480827037,4.486,14,40,64,69,56,31
Col0,cut and flow,2020-01-19-9h06-cut-n-flow-archi2.txt,0.1133,0.00456,104.3,0.000250595735358,0.7841,5,12,17,12,10,2
Col0,cut and flow,200724-YBFB-Col-1-cut-n-flow-archi2.txt,0.1587,0.018,104.3,0.000736401758709,2.3813,6,12,20,37,30,23
