distance_from_base_(mm)	lateral_root_length_(mm)	order
4.2	30.9	1
6.1	33.4	1
7.1	23.7	1
8.2	82.0	1
9.1	57.7	1
10.7	13.9	1
13.2	73.5	1
13.6	5.3	1
16.1	18.7	1
16.3	2.5	1
17.8	1.6	1
19.7	7.3	1
20.8	4.0	1
23.1	42.5	1
25.3	37.8	1
26.8	31.6	1
28.8	10.5	1
30.8	35.4	1
32.6	16.5	1
36.4	17.2	1
39.2	20.9	1
41.9	1.1	1
42.3	6.8	1
45.2	12.6	1
47.1	11.6	1
47.3	18.5	1
48.0	6.7	1
50.8	13.6	1
52.5	2.0	1
56.3	4.0	1
56.8	9.8	1
60.3	2.5	1
61.2	9.2	1
63.3	12.7	1
67.0	12.5	1
72.8	7.3	1
74.7	18.9	1
78.2	0.9	1
80.4	21.8	1
82.0	21.9	1
83.1	1.7	1
85.6	3.3	1
88.6	0.4	1
90.0	2.4	1
91.9	22.8	1
93.5	1.9	1
97.1	5.1	1
98.7	16.3	1
99.9	4.6	1
103.8	1.2	1
104.5	9.7	1
105.1	17.3	1
108.7	3.7	1
110.6	3.2	1
113.3	3.9	1
115.0	5.7	1
116.6	3.6	1
118.2	3.4	1
119.7	1.0	1
121.1	1.1	1
122.8	0.3	1
125.2	0.3	1
141.3	0.0	1
5.2	7.4	1-2
7.0	4.2	1-2
11.3	1.4	1-2
13.7	0.5	1-2
15.3	0.6	1-2
18.0	1.8	1-2
19.7	3.7	1-2
22.8	2.2	1-2
26.8	2.3	1-2
33.4	0.0	1-2
3.1	3.1	1-3
8.6	1.6	1-3
9.0	3.1	1-3
9.4	4.2	1-3
10.8	1.9	1-3
18.0	0.9	1-3
19.4	0.4	1-3
23.7	0.0	1-3
6.5	1.7	1-4
7.9	1.5	1-4
10.9	1.7	1-4
11.7	1.1	1-4
15.6	0.5	1-4
17.2	0.4	1-4
19.6	6.9	1-4
23.6	6.3	1-4
27.1	5.9	1-4
29.3	12.1	1-4
30.2	3.9	1-4
32.3	13.7	1-4
35.9	13.8	1-4
38.1	3.2	1-4
42.1	7.7	1-4
43.7	11.2	1-4
46.4	11.7	1-4
50.1	11.3	1-4
52.0	4.5	1-4
54.8	4.4	1-4
55.7	4.4	1-4
57.6	1.6	1-4
59.6	1.4	1-4
61.7	0.3	1-4
82.0	0.0	1-4
8.3	1.4	1-5
11.3	3.0	1-5
13.6	2.9	1-5
16.1	2.8	1-5
20.0	0.9	1-5
24.7	5.4	1-5
26.3	12.8	1-5
27.4	13.4	1-5
31.8	11.6	1-5
33.0	5.2	1-5
33.6	17.7	1-5
37.2	9.8	1-5
40.4	2.8	1-5
41.7	3.0	1-5
43.2	0.7	1-5
44.9	0.7	1-5
57.7	0.0	1-5
2.6	3.2	1-7
4.7	2.0	1-7
9.4	4.4	1-7
12.0	5.5	1-7
13.5	3.1	1-7
17.2	0.8	1-7
19.0	1.6	1-7
21.2	3.7	1-7
21.4	1.6	1-7
24.7	1.6	1-7
26.0	3.1	1-7
30.2	3.8	1-7
34.5	13.7	1-7
37.4	6.7	1-7
38.2	9.9	1-7
40.7	9.2	1-7
44.9	17.3	1-7
47.8	17.7	1-7
48.6	6.5	1-7
51.2	3.5	1-7
53.3	3.5	1-7
55.2	2.6	1-7
57.6	0.5	1-7
60.1	0.1	1-7
73.5	0.0	1-7
16.8	1.3	1-14
18.7	2.6	1-14
21.4	2.5	1-14
24.3	0.8	1-14
26.5	3.3	1-14
42.5	0.0	1-14
6.9	1.3	1-15
9.4	0.8	1-15
16.8	2.4	1-15
20.2	1.3	1-15
22.7	3.7	1-15
24.8	3.8	1-15
27.4	5.4	1-15
29.1	0.5	1-15
37.8	0.0	1-15
6.9	2.4	1-16
10.1	6.7	1-16
14.6	1.1	1-16
18.8	1.1	1-16
21.2	0.6	1-16
22.4	0.9	1-16
31.6	0.0	1-16
8.1	1.7	1-18
9.6	0.9	1-18
14.6	1.3	1-18
28.8	1.5	1-18
35.4	0.0	1-18
2.9	1.2	1-19
11.3	0.5	1-19
16.5	0.0	1-19
4.2	1.9	1-20
7.3	1.0	1-20
17.2	0.0	1-20
5.9	1.5	1-21
10.1	1.9	1-21
20.9	0.0	1-21
