distance_from_base_(mm)	lateral_root_length_(mm)	order
1.78	133.47	1
2.67	39.31	1
3.14	118.03	1
3.69	115.16	1
4.31	105.96	1
4.99	104.56	1
5.88	100.75	1
6.57	99.31	1
7.7	93.69	1
8.54	80.91	1
9.99	76.27	1
10.76	31.65	1
11.76	72.4	1
20.13	4.93	1
20.28	35.89	1
20.82	62.64	1
23.51	13.28	1
26.53	1.19	1
29.46	1.25	1
29.86	46.6	1
30.93	0.54	1
33.46	0.29	1
35.76	0.85	1
37.36	58.78	1
37.77	1.43	1
40.75	1.04	1
42.7	31.18	1
45.46	20.83	1
48.91	7.23	1
53.4	0.62	1
54.46	18.5	1
55.89	3.53	1
57.87	13.75	1
61.37	10.21	1
61.64	3.42	1
63.34	1.03	1
65.65	1.99	1
66.19	5.28	1
68.92	2.44	1
70.24	1.31	1
72.21	19.12	1
73.81	6.56	1
74.53	13.43	1
74.96	18.06	1
76.89	8.39	1
79.04	5.13	1
80.7	5.79	1
82.21	0.32	1
83.24	9.19	1
84.81	5.23	1
85.83	3.96	1
87.35	2.58	1
88.12	3.54	1
88.27	4.27	1
89.28	2.32	1
91.22	4.1	1
91.46	0.59	1
92.76	4.67	1
95.75	3.22	1
95.9	0.69	1
95.99	3.07	1
98.22	0.92	1
100.27	5.2	1
100.56	5.2	1
101.56	1.13	1
102.09	4.46	1
103.6	2.8	1
105.62	1.05	1
106.19	3.19	1
106.89	2.12	1
108.13	2.99	1
109.66	0.53	1
110.22	3.21	1
111.34	1.34	1
112.54	7.74	1
114.37	2.92	1
115.78	3.22	1
117.44	0.66	1
119.12	3.43	1
121.03	0.93	1
121.81	3.14	1
124.53	4.03	1
126.65	1.82	1
127.4	0.88	1
129.0	1.3	1
129.52	0.87	1
130.0	0.78	1
132.73	0.6	1
133.14	0.42	1
168.61	0.0	1
15.58	2.57	1-1
20.88	0.44	1-1
23.54	0.8	1-1
24.51	0.46	1-1
27.02	1.83	1-1
31.02	0.9	1-1
33.81	0.61	1-1
38.03	0.46	1-1
41.08	0.44	1-1
44.34	15.98	1-1
45.72	5.64	1-1
50.69	4.15	1-1
51.53	6.47	1-1
54.21	2.46	1-1
55.65	3.85	1-1
57.1	1.29	1-1
59.06	0.76	1-1
61.04	2.54	1-1
62.36	0.64	1-1
63.89	1.72	1-1
65.55	1.35	1-1
66.4	1.46	1-1
70.12	1.47	1-1
71.25	1.39	1-1
76.66	0.62	1-1
132.94	0.0	1-1
33.9	0.54	1-2
36.11	0.39	1-2
38.13	0.46	1-2
39.27	0.0	1-2
20.51	0.64	1-3
26.08	0.45	1-3
48.93	8.61	1-3
50.84	4.66	1-3
54.04	0.85	1-3
56.1	3.77	1-3
61.67	1.84	1-3
64.33	2.27	1-3
64.83	1.32	1-3
67.75	2.82	1-3
70.49	0.51	1-3
71.77	0.94	1-3
78.48	0.67	1-3
80.01	0.75	1-3
118.95	0.0	1-3
11.93	6.18	1-4
18.11	3.72	1-4
19.81	1.68	1-4
22.83	1.44	1-4
24.87	2.17	1-4
27.94	4.29	1-4
29.97	2.32	1-4
34.41	0.44	1-4
36.93	1.69	1-4
37.56	0.31	1-4
39.1	0.75	1-4
45.67	3.14	1-4
47.23	3.14	1-4
49.16	1.66	1-4
50.9	1.69	1-4
52.81	0.47	1-4
53.59	0.74	1-4
58.33	1.91	1-4
60.23	1.62	1-4
62.62	1.2	1-4
64.87	1.72	1-4
