distance_from_base_(mm)	lateral_root_length_(mm)	order
1.0	124.836	1
2.0	123.402	1
3.0	114.554	1
4.0	61.387	1
5.0	113.008	1
6.0	113.916	1
7.0	104.936	1
8.0	103.45	1
9.0	102.46	1
10.0	99.56	1
11.0	99.51	1
12.0	96.67	1
13.0	94.85	1
14.07	92.11	1
15.02	88.93	1
16.22	86.98	1
18.14	82.51	1
20.56	78.2	1
22.89	75.6	1
24.86	72.07	1
27.79	66.52	1
29.19	2.85	1
30.78	63.46	1
31.99	63.28	1
34.59	2.59	1
36.66	56.34	1
38.56	53.88	1
39.8	52.31	1
42.27	48.43	1
44.22	41.21	1
45.5	16.47	1
50.111	36.86	1
51.036	35.62	1
53.188	29.95	1
53.698	28.3	1
56.653	21.85	1
57.742	16.3	1
59.917	2.61	1
61.068	11.06	1
62.969	8.26	1
64.634	4.65	1
65.644	3.22	1
67.314	1.52	1
68.634	0.31	1
70.95	2.06	1
73.151	29.234	1
74.838	4.801	1
75.985	5.619	1
77.447	4.623	1
80.062	0.919	1
80.762	2.18	1
82.422	15.56	1
84.672	0.71	1
84.937	2.86	1
86.164	1.32	1
87.551	1.11	1
89.226	0.15	1
90.159	0.38	1
91.218	7.22	1
92.406	1.87	1
92.957	2.57	1
94.747	3.26	1
96.812	2.3	1
98.075	3.28	1
99.517	0.88	1
101.034	13.03	1
101.484	6.13	1
104.214	7.84	1
104.894	9.68	1
105.234	1.56	1
108.124	3.54	1
109.914	1.27	1
111.384	0.59	1
111.834	8.6	1
113.764	0.69	1
114.414	0.68	1
115.534	4.14	1
116.494	1.69	1
118.102	3.59	1
119.211	1.9	1
121.268	0.83	1
122.348	1.08	1
123.703	1.0	1
124.152	1.74	1
125.126	1.85	1
126.0	1.82	1
128.761	1.55	1
131.392	1.1	1
162.768	0.0	1
6.23	20.36	1-1
10.74	1.42	1-1
12.86	0.47	1-1
14.38	11.36	1-1
17.099	0.884	1-1
18.312	0.897	1-1
20.14	7.063	1-1
21.816	2.206	1-1
25.536	5.261	1-1
28.759	5.999	1-1
29.777	2.919	1-1
31.883	5.047	1-1
35.005	0.767	1-1
36.401	5.033	1-1
38.49	3.058	1-1
41.034	0.485	1-1
42.978	3.31	1-1
44.328	4.34	1-1
45.308	0.59	1-1
47.648	4.52	1-1
50.218	6.14	1-1
51.208	3.33	1-1
53.068	1.21	1-1
56.258	2.81	1-1
57.188	1.33	1-1
60.278	0.43	1-1
62.628	0.69	1-1
71.325	1.865	1-1
78.445	0.769	1-1
79.595	0.515	1-1
80.36	0.512	1-1
82.216	0.987	1-1
84.343	0.389	1-1
87.434	0.733	1-1
123.454	0.0	1-1
6.563	4.975	1-2
8.063	8.94	1-2
9.673	9.58	1-2
10.753	5.48	1-2
14.605	4.668	1-2
15.494	3.004	1-2
17.114	7.26	1-2
18.044	0.61	1-2
20.009	0.386	1-2
22.266	4.35	1-2
23.551	5.797	1-2
25.531	1.166	1-2
27.22	6.309	1-2
28.079	0.89	1-2
31.839	5.379	1-2
34.036	2.434	1-2
36.312	4.143	1-2
38.238	8.698	1-2
38.831	2.146	1-2
42.045	4.952	1-2
45.085	4.89	1-2
48.095	1.49	1-2
50.005	4.61	1-2
53.415	1.49	1-2
57.685	4.92	1-2
62.955	2.38	1-2
65.055	0.98	1-2
69.072	0.494	1-2
71.751	0.911	1-2
72.965	0.963	1-2
76.984	0.872	1-2
78.072	0.647	1-2
122.687	0.0	1-2
9.965	1.048	1-3
14.315	2.662	1-3
18.885	1.54	1-3
20.465	3.41	1-3
21.975	0.45	1-3
22.655	1.62	1-3
25.235	1.74	1-3
25.639	0.627	1-3
26.569	0.341	1-3
28.983	4.261	1-3
31.532	2.401	1-3
34.032	3.333	1-3
35.585	1.859	1-3
37.894	0.496	1-3
