distance_from_base_(mm)	lateral_root_length_(mm)	order
1.0	22.85	1
2.0	74.707	1
3.0	68.939	1
4.0	61.532	1
5.0	60.355	1
6.0	57.585	1
7.0	54.468	1
8.0	15.93	1
8.59	54.59	1
9.18	52.199	1
9.59	50.725	1
9.96	51.299	1
12.6	47.275	1
14.52	43.044	1
16.31	40.097	1
17.12	38.071	1
19.98	1.51	1
20.31	1.24	1
22.1	28.971	1
23.23	22.458	1
25.1	5.701	1
27.47	1.74	1
28.33	1.46	1
30.385	15.993	1
31.971	13.45	1
34.709	8.06	1
36.627	3.91	1
37.74	3.18	1
40.024	0.42	1
40.858	7.742	1
44.323	4.117	1
46.141	2.695	1
48.602	0.973	1
50.802	1.058	1
51.822	0.795	1
52.972	0.52	1
56.264	1.4	1
58.494	1.34	1
60.364	0.6	1
61.794	0.58	1
64.244	0.98	1
67.684	0.22	1
68.954	0.18	1
97.224	0.0	1
28.45	1.11	1-2
31.83	0.55	1-2
34.68	0.78	1-2
74.707	0.0	1-2
12.37	1.49	1-3
29.12	0.29	1-3
35.49	0.64	1-3
68.989	0.0	1-3
6.77	1.54	1-4
7.91	0.76	1-4
9.44	3.8	1-4
11.49	1.25	1-4
12.51	5.08	1-4
13.57	2.16	1-4
17.14	3.54	1-4
22.01	0.96	1-4
24.57	0.33	1-4
26.78	0.46	1-4
31.35	0.34	1-4
61.442	0.0	1-4
8.11	2.89	1-5
9.742	1.664	1-5
25.449	0.48	1-5
60.234	0.0	1-5
7.975	2.301	1-6
8.837	3.666	1-6
14.311	0.882	1-6
23.176	0.82	1-6
57.451	0.0	1-6
3.59	6.15	1-7
13.32	0.59	1-7
25.49	0.39	1-7
26.91	0.32	1-7
54.558	0.0	1-7
1.164	0.695	1-9
2.929	1.229	1-9
12.662	0.323	1-9
15.054	0.41	1-9
22.281	0.65	1-9
54.341	0.0	1-9
7.379	10.107	1-10
10.174	0.875	1-10
12.415	6.292	1-10
18.565	1.51	1-10
21.015	0.36	1-10
24.415	0.3	1-10
51.824	0.0	1-10
3.56	3.282	1-11
3.961	3.951	1-11
7.675	3.09	1-11
9.275	7.89	1-11
11.985	1.78	1-11
13.353	1.275	1-11
14.139	0.663	1-11
15.779	4.035	1-11
17.173	3.675	1-11
21.279	0.61	1-11
50.804	0.0	1-11
21.25	0.38	1-12
23.61	0.35	1-12
51.299	0.0	1-12
7.379	10.107	1-13
10.174	0.875	1-13
12.415	6.292	1-13
18.568	1.509	1-13
50.98	0.0	1-13
3.581	0.628	1-14
5.476	7.781	1-14
8.202	5.818	1-14
10.816	3.778	1-14
12.583	2.506	1-14
43.007	0.0	1-14
