distance_from_base_(mm)	lateral_root_length_(mm)	order
2.4	69.137	1
4.8	68.379	1
7.2	62.722	1
9.6	59.919	1
12.0	56.481	1
14.4	52.836	1
16.55	50.705	1
18.94	45.271	1
23.26	6.594	1
23.86	34.26	1
25.96	26.131	1
28.95	18.738	1
31.05	10.028	1
50.212	2.86	1
52.862	8.015	1
60.712	11.64	1
60.832	10.67	1
63.782	3.63	1
65.152	3.42	1
66.462	2.11	1
67.632	0.93	1
79.629	0.41	1
81.799	0.88	1
82.319	1.17	1
84.409	0.74	1
86.909	0.58	1
113.259	0.0	1
12.83	2.13	1-1
14.11	2.94	1-1
17.45	3.44	1-1
18.95	1.23	1-1
21.33	1.48	1-1
69.137	0.0	1-1
22.34	2.03	1-2
24.83	1.13	1-2
29.34	1.42	1-2
68.389	0.0	1-2
12.88	1.08	1-3
18.07	0.77	1-3
22.4	2.37	1-3
62.722	0.0	1-3
10.51	5.04	1-4
11.86	1.67	1-4
16.54	1.11	1-4
18.37	1.57	1-4
22.46	1.03	1-4
26.65	0.62	1-4
59.919	0.0	1-4
9.96	2.78	1-5
15.37	4.57	1-5
56.481	0.0	1-5
4.35	3.11	1-6
5.81	2.96	1-6
11.29	1.33	1-6
11.85	0.84	1-6
14.16	1.24	1-6
15.48	1.97	1-6
19.59	2.82	1-6
21.99	1.19	1-6
52.846	0.0	1-6
1.75	3.11	1-7
8.86	1.65	1-7
15.22	1.23	1-7
50.705	0.0	1-7
10.097	0.91	1-8
43.768	0.0	1-8
