seed,primary_length,Jv,k0,surface,length,axfold,radfold,delta,nude_length,integral_diff,0.01,0.02,0.03,0.045,0.06,0.08
78826597,0.04,0.0120673729612,327.66,0.00030038633467,1.0878,1.0,1.0,0.001,0.005,0.00300277457364,19,27,22,11,5,1
98176300,0.04,0.00693782398152,327.66,0.00014427776828,0.4777,1.0,1.0,0.001,0.01,-0.00395076091648,10,13,14,2,2,0
82423729,0.04,0.0184902211362,327.66,0.000632788746887,2.6189,1.0,1.0,0.001,0.015,0.00490098603767,30,54,55,33,17,12
32663917,0.04,0.0123692931691,327.66,0.000305038034364,1.1572,1.0,1.0,0.001,0.02,-0.00102187982397,17,32,26,15,5,2
9721790,0.04,0.0132587148853,327.66,0.000353147982137,1.4158,1.0,1.0,0.001,0.025,-0.00412579953081,15,28,31,21,13,2
95120511,0.04,0.00853712932582,327.66,0.000151177271234,0.5251,1.0,1.0,0.001,0.03,-0.00430595240947,15,19,10,2,2,0
8809799,0.04,0.00944690710527,327.66,0.000177568408816,0.599,1.0,1.0,0.001,0.035,-0.00292375882628,15,16,13,4,2,0
65116440,0.04,0.00823907873038,327.66,0.00023434137373,0.9003,1.0,1.0,0.00125,0.005,-0.00296190584086,9,22,20,10,4,2
25211293,0.04,0.0104324284973,327.66,0.000262616097169,0.9842,1.0,1.0,0.00125,0.01,0.000204995483804,13,23,23,11,8,3
31357517,0.04,0.00939974589469,327.66,0.000191869252734,0.6687,1.0,1.0,0.00125,0.015,-0.000559224870317,12,23,17,5,3,0
63041369,0.04,0.00723984171233,327.66,0.000156651307937,0.5364,1.0,1.0,0.00125,0.02,-0.00315373426461,7,18,14,7,1,1
9963765,0.04,0.00766722800238,327.66,0.000145312231909,0.5089,1.0,1.0,0.00125,0.025,-0.00402391704872,11,17,13,2,1,1
77588183,0.04,0.0098358558104,327.66,0.000222499843939,0.7966,1.0,1.0,0.00125,0.03,0.00093053613532,13,22,16,8,3,1
22609293,0.04,0.00805436721425,327.66,0.000171521722604,0.5985,1.0,1.0,0.00125,0.035,-0.00177904502051,12,18,19,6,2,1
78370633,0.04,0.00599446943055,327.66,0.00011443533984,0.3631,1.0,1.0,0.0015,0.005,-0.00127954832368,7,10,10,4,2,0
950262,0.04,0.0111473239233,327.66,0.000270268972891,1.0318,1.0,1.0,0.0015,0.01,0.00128702512968,10,18,19,10,9,5
1369803,0.04,0.00864557666379,327.66,0.000186798533696,0.6744,1.0,1.0,0.0015,0.015,-0.000763951023565,11,17,15,6,4,1
49170146,0.04,0.00801782649306,327.66,0.000156352668139,0.5642,1.0,1.0,0.0015,0.02,-0.00371355600924,11,15,14,5,2,2
38339208,0.04,0.010898520381,327.66,0.000258663584054,1.0147,1.0,1.0,0.0015,0.025,-0.00129983095411,11,19,18,15,9,4
78431110,0.04,0.0118525979086,327.66,0.000327362436804,1.3313,1.0,1.0,0.0015,0.03,-0.00203613973955,12,21,28,18,12,5
60021605,0.04,0.004810322978,327.66,7.44052919121e-05,0.2248,1.0,1.0,0.0015,0.035,-0.00553067002195,7,6,7,1,0,0
40686595,0.04,0.00461599516317,327.66,7.03351701338e-05,0.2114,1.0,1.0,0.00175,0.005,-0.00501259489399,5,9,5,0,0,0
25009468,0.04,0.00625238875898,327.66,0.000101618458628,0.3164,1.0,1.0,0.00175,0.01,-0.0017038049403,8,10,8,3,0,0
75113005,0.04,0.00730414544531,327.66,0.000138822204141,0.4751,1.0,1.0,0.00175,0.015,-0.000392358511876,8,15,11,3,2,1
87207425,0.04,0.00671547506248,327.66,0.000128499119177,0.4506,1.0,1.0,0.00175,0.02,-0.00144460634819,9,17,8,3,2,2
97019903,0.04,0.00511524968114,327.66,8.6969714739e-05,0.2657,1.0,1.0,0.00175,0.025,-0.00254921090135,4,9,6,2,0,0
50408407,0.04,0.00671303988944,327.66,0.000134465757609,0.4698,1.0,1.0,0.00175,0.03,-0.00237387640212,9,13,10,6,3,1
54259130,0.04,0.0104138165057,327.66,0.000226857829852,0.8501,1.0,1.0,0.00175,0.035,0.00218343093267,10,18,17,9,4,4
90177815,0.04,0.0059110230848,327.66,0.00010377974871,0.3281,1.0,1.0,0.002,0.005,0.00136504218122,6,11,8,3,2,0
75303180,0.04,0.00412853084265,327.66,6.36203928278e-05,0.1895,1.0,1.0,0.002,0.01,-0.00375033214275,5,7,6,0,0,0
37891450,0.04,0.00396059381386,327.66,5.73920597284e-05,0.1699,1.0,1.0,0.002,0.015,-0.0068623554354,3,5,6,1,0,0
