LR_length_mm;relative_distance_to_tip
112.02;99.838250019256
94.48;97.9203573904336
3.97;96.4415004236309
24.98;96.3105599630286
79.71;95.1706077177848
52.66;94.0383578525765
105.59;90.8187629977663
84.17;89.7789416929831
84.71;89.3784179311407
54.06;89.2628822306093
41.95;87.7763228837711
89.28;86.5131325579604
51.74;83.4244781637526
14.01;82.2768235384734
57.72;81.537395055072
21.35;79.8043595471001
5.53;77.0931217746284
2.08;74.9749672648849
54.11;74.1123007009166
13.8;71.7553724100747
2.65;69.9838250019256
61.73;67.8425633520758
1.02;66.4407301856274
23.77;63.752599553262
8.2;62.8668258491874
30.64;61.464992682739
0.97;60.4713856581684
1.52;58.838481090657
62.39;57.2440884233228
57.38;55.8345528768389
54.69;53.8473388276978
47.38;50.9281367942694
24.86;49.1026727258723
18.68;46.8766848956328
12.82;46.6610182546407
5.49;45.844565970885
1.11;44.0345066625587
3.51;43.449125779866
9.58;42.6711853962875
21.11;39.9137333436032
15.1;39.6210429022568
15.28;38.6351382577216
3.47;36.9406146499268
10.63;36.3167218670569
14.53;36.1318647462066
7.28;35.192174381884
11.34;34.0599245166757
5.55;32.6041746899792
4.68;31.3024724639914
9.78;30.3550797196334
4.58;29.330663174921
1.1;27.0199491642918
0.43;26.1187707001463
0.83;25.2869136563198
0.54;24.4396518524224
0.52;23.2611877070015
0.47;21.8362474004467
0.1;20.3496880536086
0.29;19.6025571901718
91.19;99.3287373004354
91.55;98.9477503628447
75.74;96.9521044992743
64.96;95.2648766328012
75.62;92.9789550072569
45.54;91.1828737300435
45.71;88.9876632801161
55.11;87.5725689404935
56.85;86.955732946299
17.74;85.6313497822932
15.36;83.4179970972424
8.49;81.5493468795356
6.34;80.3156748911466
5.21;76.2518142235123
3.89;73.8207547169811
6.52;71.0268505079826
14.25;69.4121915820029
4.81;63.2438316400581
30.6;62.1190130624093
10.56;58.7626995645863
22.57;57.0391872278665
44.35;54.5355587808418
23.24;48.3671988388969
27.92;47.1698113207547
8.01;46.5348330914369
35.15;42.6523947750363
12.8;41.0377358490566
0.5;40.4571843251088
1.3;34.5428156748911
0.36;34.1436865021771
0.2;32.9644412191582
3.14;31.3497822931785
2.57;29.444847605225
0.45;28.0297532656023
4.23;26.5965166908563
0.89;23.6937590711176
1.15;23.1857764876633
0.38;20.9179970972424
1.61;19.6843251088534
1.32;17.2714078374456
0.32;15.366473149492
99.52;99.3654456302279
75.58;99.0481684453418
55.06;92.327660801846
60.55;90.8278050187482
1.72;86.1695990770118
49.94;85.7946351312374
42.97;82.5641765214883
39.3;79.8673204499567
40.57;76.9685607153158
5.44;73.925584078454
2.76;71.9065474473608
45.48;70.9691375829247
22.25;68.257859821171
20.75;65.8494375540813
12.73;64.8543409287568
0.66;63.801557542544
29.54;59.5615806172483
23.19;58.7251225843669
0.69;55.985001442169
0.85;53.8505912892991
33.63;53.4756273435247
0.79;51.0095183155466
0.22;49.4231323911162
0.44;47.8800115373522
14.71;47.6492644937987
6.43;45.0533602538217
8.4;39.9625036054225
3.88;39.3423709258725
1.65;37.3810210556677
1.68;35.9244303432362
6.43;33.1554658205942
1.05;31.4104413037208
2.52;26.4061147966542
2.58;24.2428612633401
1.25;21.3441015286992
0.35;17.4646668589559
0.13;16.0224978367465
75.92;98.8431632846577
73.2;97.5535748150958
63.5;96.7760288260952
56.32;94.3485681775081
56.55;90.2522283330173
53.23;89.2471079082116
52.93;85.3214488905746
50.36;83.7853214488906
13.66;82.7991655604021
4.02;80.4475630570832
