distance_from_base_(mm)	lateral_root_length_(mm)	order
1.51	57.05	1
3.03	49.38	1
4.54	45.39	1
6.06	39.38	1
7.57	26.99	1
9.08	33.87	1
10.6	4.95	1
13.06	32.25	1
15.19	36.57	1
15.69	4.07	1
16.67	4.7	1
17.48	55.07	1
18.63	34.66	1
20.33	13.77	1
22.71	47.71	1
26.25	17.38	1
30.41	34.93	1
31.53	1.29	1
32.23	4.86	1
34.36	0.58	1
35.31	16.45	1
37	6.2	1
38.11	0.59	1
44.45	0.26	1
45.75	0.67	1
47.24	0.83	1
49.39	25.89	1
54.02	5.18	1
56.82	13.88	1
61.3	6.21	1
61.87	1.06	1
66.75	1.08	1
67.68	1.53	1
68.67	0.41	1
69.74	0.57	1
74.56	0.25	1
77.32	0.62	1
79.56	1.91	1
81.47	0.56	1
84.57	1.87	1
86.01	1.04	1
91.4	0.96	1
139.84	0	1
11.09	0.5	1-1
15.91	0.32	1-1
24.18	1.04	1-1
26.34	0.45	1-1
30.55	0.57	1-1
57.05	0	1-1
12.76	0.53	1-2
15.7	0.49	1-2
49.38	0	1-2
0.19	0.47	1-3
6.06	0.42	1-3
45.39	0	1-3
2.47	0.35	1-12
6.56	0.41	1-12
9.32	0.75	1-12
14.73	0.35	1-12
15.9	0.5	1-12
55.07	0	1-12

