seed,primary_length,Jv,k0,surface,length,axfold,radfold,delta,nude_length,integral_diff,0.01,0.02,0.03,0.045,0.06,0.08
54644996,0.2,0.0182212763093,327.66,0.00181971612929,7.0959,1,1,0.001,0.005,-0.0010841545697,29,63,91,103,80,51
42650289,0.2,0.0125026508193,327.66,0.000963872042048,3.3669,1,1,0.001,0.01,-0.00373051580256,19,31,41,42,40,23
7607802,0.2,0.0149608587954,327.66,0.00118990480799,4.355,1,1,0.001,0.015,-0.00338910072718,19,47,52,62,53,31
45603837,0.2,0.0178615251246,327.66,0.00137313725703,5.2371,1,1,0.001,0.02,-0.00335936110136,26,60,69,74,66,29
2289246,0.2,0.0238678293016,327.66,0.00156138716255,6.0542,1,1,0.001,0.025,-0.00229488589989,32,64,93,86,76,38
20971194,0.2,0.018261337191,327.66,0.00119941602373,4.4821,1,1,0.001,0.03,-0.0044065545697,22,46,60,65,49,22
52371239,0.2,0.0180590527494,327.66,0.00160343687756,6.1909,1,1,0.001,0.035,-0.00242474506366,20,56,99,101,67,44
95442833,0.2,0.0145533120391,327.66,0.000818631501284,2.8893,1,1,0.00125,0.005,-0.00500237920437,19,32,46,45,25,18
13014375,0.2,0.0158222407395,327.66,0.00109970111892,4.1005,1,1,0.00125,0.01,-0.00330678940671,18,33,54,58,53,26
2365566,0.2,0.0132291596164,327.66,0.000933572109754,3.3854,1,1,0.00125,0.015,-0.004227740408,15,30,44,45,41,22
58286431,0.2,0.0158341228815,327.66,0.0012163458215,4.4628,1,1,0.00125,0.02,-0.000765676872294,17,35,58,74,57,23
35762006,0.2,0.0123721052456,327.66,0.000834019147765,2.9616,1,1,0.00125,0.025,-0.00471234907914,13,32,36,40,25,21
58118604,0.2,0.011834201982,327.66,0.00112409013836,4.2063,1,1,0.00125,0.03,-0.00340036083541,8,35,53,59,62,25
29527969,0.2,0.0136089847243,327.66,0.000884107507229,3.0984,1,1,0.00125,0.035,-0.00350347255979,17,29,42,55,30,14
35664365,0.2,0.0134820870461,327.66,0.000827095630477,2.907,1,1,0.0015,0.005,-0.00204378514598,16,29,29,39,33,19
30204068,0.2,0.010585376393,327.66,0.000606409440543,2.0082,1,1,0.0015,0.01,-0.00401906441142,11,20,24,30,25,10
84475027,0.2,0.00979348684729,327.66,0.000634373824894,2.1329,1,1,0.0015,0.015,-0.003990284576,10,16,24,26,24,17
73256468,0.2,0.0117865421118,327.66,0.000800874748367,2.9406,1,1,0.0015,0.02,-0.00500241347573,10,25,39,35,41,22
6689263,0.2,0.0133221647892,327.66,0.000990863537987,3.6124,1,1,0.0015,0.025,-0.00111622634868,13,29,44,52,45,19
43960438,0.2,0.00924110921313,327.66,0.000519773111616,1.6563,1,1,0.0015,0.03,-0.0051407189452,8,15,20,20,17,9
72753009,0.2,0.00872335109935,327.66,0.000589571697725,1.9152,1,1,0.0015,0.035,-0.00398153949574,8,15,19,27,24,10
