,seed,primary_length,Jv,k0,surface,length,axfold,radfold,delta,nude_length,integral_diff,0.01,0.02,0.03,0.045,0.06,0.08
6216,37813882,0.16,0.0181259779405,327.6558,0.0011569510278699997,4.345,1.0,1.0,0.001,0.005,-0.00176077770418,17,40,62,78,53,25
6217,24034489,0.16,0.019116799164900004,327.6558,0.00098191300857,3.6747,1.0,1.0,0.001,0.01,-0.00387109562503,15,36,53,60,43,25
6218,7505613,0.16,0.020584542631400003,327.6558,0.0011430113225899998,4.2849,1.0,1.0,0.001,0.015,-0.00210172051755,23,48,73,61,44,29
6219,25228385,0.16,0.020696572067400002,327.6558,0.00107520130808,4.0845,1.0,1.0,0.001,0.02,-0.00286442065359,18,52,72,63,41,25
6220,80573734,0.16,0.0195668735552,327.6558,0.0011062379878399998,4.1121,1.0,1.0,0.001,0.025,-0.00144765403602,16,48,59,61,57,26
6221,79288767,0.16,0.021689239069799998,327.6558,0.0009558863962660001,3.5485,1.0,1.0,0.001,0.03,-0.00401872332981,23,43,59,53,35,20
6222,49962637,0.16,0.0234256730187,327.6558,0.0011038110007,4.2271,1.0,1.0,0.001,0.035,-0.00399464043359,24,51,71,70,58,23
6223,128736,0.16,0.0172687080405,327.6558,0.00081598596611,2.955,1.0,1.0,0.00125,0.005,-0.00252178113057,14,35,42,44,40,19
6224,29268962,0.16,0.021439615668700004,327.6558,0.0009351032214830001,3.4877,1.0,1.0,0.00125,0.01,-0.00270204708466,22,45,48,57,46,20
6225,55278306,0.16,0.0211562749054,327.6558,0.00101667437314,3.9014,1.0,1.0,0.00125,0.015,-0.00304236572518,17,42,61,57,41,29
6226,78133182,0.16,0.0175877216365,327.6558,0.00096931502725,3.6943,1.0,1.0,0.00125,0.02,-0.00331232690359,13,35,56,61,53,23
6227,71476343,0.16,0.0173930971455,327.6558,0.0009014637573480001,3.3245,1.0,1.0,0.00125,0.025,-0.00226416656515,10,31,42,57,44,16
6228,30331479,0.16,0.016070362046,327.6558,0.0008654434874860001,3.1953,1.0,1.0,0.00125,0.03,-0.00317230603443,14,31,33,51,44,15
