,seed,primary_length,Jv,k0,surface,length,axfold,radfold,delta,nude_length,integral_diff,0.01,0.02,0.03,0.045,0.06,0.08
28,90177815,0.04,0.00591097742927,327.6558,0.00010377974870999999,0.3281,1.0,1.0,0.002,0.005,0.0013650421812199998,6,11,8,3,2,0
29,75303180,0.04,0.00412849456686,327.6558,6.36203928278e-05,0.1895,1.0,1.0,0.002,0.01,-0.0037503321427499996,5,7,6,0,0,0
30,37891450,0.04,0.00396055733427,327.6558,5.73920597284e-05,0.1699,1.0,1.0,0.002,0.015,-0.0068623554354,3,5,6,1,0,0
31,79499597,0.04,0.008216702633249999,327.6558,0.00019610716697599997,0.7702,1.0,1.0,0.002,0.02,-0.00341830228276,8,11,12,10,4,5
32,43310155,0.04,0.00631268527573,327.6558,0.000113231544367,0.3846,1.0,1.0,0.002,0.025,-0.000606709836839,7,12,11,3,2,1
33,99324719,0.04,0.00848377505518,327.6558,0.000171702753739,0.6435,1.0,1.0,0.002,0.03,-0.00149179536988,7,9,15,7,5,3
34,35978751,0.04,0.006659252375140001,327.6558,0.000127255299814,0.4381,1.0,1.0,0.002,0.035,0.000708719592105,7,13,10,4,1,1
84,49530984,0.05,0.00726419821156,327.6558,0.000184455816638,0.6606,1.0,1.0,0.002,0.005,0.0012461513437999998,7,12,15,10,4,1
85,61253808,0.05,0.00864702435692,327.6558,0.000218140538557,0.8178,1.0,1.0,0.002,0.01,0.00146355058467,7,12,17,10,9,5
86,74686220,0.05,0.0051574039234399995,327.6558,8.78981810318e-05,0.2641,1.0,1.0,0.002,0.015,-0.00418773729836,5,10,7,1,0,0
87,75967411,0.05,0.0048737799614499994,327.6558,7.69039262132e-05,0.2289,1.0,1.0,0.002,0.02,-0.00570274874619,5,7,7,2,0,0
88,46271222,0.05,0.0073982622531800005,327.6558,0.00015401149046200002,0.5071,1.0,1.0,0.002,0.025,0.0009301381984139999,7,12,10,7,3,1
89,17114309,0.05,0.00698622609131,327.6558,0.0001816156598,0.6564,1.0,1.0,0.002,0.03,-0.00173448030428,5,11,13,15,4,2
90,75139478,0.05,0.0049890511607500005,327.6558,0.000104566592006,0.3321,1.0,1.0,0.002,0.035,-0.0033270777047399998,4,11,7,3,2,1
140,24507982,0.06,0.008768595754780001,327.6558,0.00022409816061700003,0.8072,1.0,1.0,0.002,0.005,-0.0015697153566300002,7,17,19,13,8,3
141,97195335,0.06,0.00527713949018,327.6558,0.00011418947879899999,0.3594,1.0,1.0,0.002,0.01,-0.0047987821004999995,6,8,10,4,2,0
142,82185391,0.06,0.00565619032666,327.6558,0.00011198508606600001,0.3382,1.0,1.0,0.002,0.015,-0.004258988318360001,5,8,9,7,2,0
143,5368600,0.06,0.00679367429171,327.6558,0.000200179267958,0.7149,1.0,1.0,0.002,0.02,-0.00063355739027,5,14,14,14,6,2
144,3285021,0.06,0.00616469372404,327.6558,0.000168631206035,0.5725,1.0,1.0,0.002,0.025,-0.0021467003263499996,5,12,13,11,3,2
145,69379633,0.06,0.00523880519231,327.6558,0.00011010088445600001,0.3328,1.0,1.0,0.002,0.03,-0.00385215511969,4,9,7,4,3,0
146,56540180,0.06,0.005857094714180001,327.6558,0.00011547024329200001,0.3578,1.0,1.0,0.002,0.035,-0.00503353297459,6,9,7,5,2,0
196,20640395,0.07,0.00612045913417,327.6558,0.000150551403145,0.4833,1.0,1.0,0.002,0.005,-0.00459785454097,4,10,12,7,3,1
197,57393482,0.07,0.005592324893210001,327.6558,0.000132044971973,0.4072,1.0,1.0,0.002,0.01,-0.00479217306121,5,9,9,6,2,1
198,44422489,0.07,0.00576287310068,327.6558,0.000148297750239,0.4836,1.0,1.0,0.002,0.015,-0.00490085600736,4,9,10,6,4,1
199,95505754,0.07,0.0057156181263900005,327.6558,0.000141856982645,0.455,1.0,1.0,0.002,0.02,-0.00451876055588,5,9,11,7,2,1
200,70087985,0.07,0.0057340974247,327.6558,0.000122984178937,0.3703,1.0,1.0,0.002,0.025,-0.0054940719566899995,5,9,9,8,1,0
