LR length (mm),relative distance to tip (%),III order root length,relative distance to tip (%)
112.02,99.84,56.19,96.27
94.48,97.92,15.75,94.61
3.97,96.44,17.5,94.28
24.98,96.31,16.39,91.81
79.71,95.17,14.3,88.54
52.66,94.04,12.87,86.62
105.59,90.82,7.05,84.33
84.17,89.78,9.43,83.35
84.71,89.38,9.09,81.78
54.06,89.26,13.7,80.79
41.95,87.78,7.56,80.34
89.28,86.51,8.48,76.42
51.74,83.42,8.28,74.93
14.01,82.28,8.89,73.92
57.72,81.54,3.6,71.33
21.35,79.8,6.8,69.91
5.53,77.09,2.73,67.45
2.08,74.97,2.94,66.48
54.11,74.11,3.16,65.56
13.8,71.76,4.72,64.87
2.65,69.98,3.1,61.87
61.73,67.84,3.38,61.38
1.02,66.44,1.92,60
23.77,63.75,0.23,56.86
8.2,62.87,0.81,55.19
30.64,61.46,0.08,51.61
0.97,60.47,0.16,50.4
1.52,58.84,0.19,49.56
62.39,57.24,0.2,48.49
57.38,55.83,0.11,47.64
54.69,53.85,0.03,46.03
47.38,50.93,0.09,44.07
24.86,49.1,0.87,95.59
18.68,46.88,52.35,94.51
12.82,46.66,56.11,92.27
5.49,45.84,46.05,87.81
1.11,44.03,53.49,86.87
3.51,43.45,3.31,86.22
9.58,42.67,51.09,83.92
21.11,39.91,39.01,82.71
15.1,39.62,27.45,77.93
15.28,38.64,42.43,76.48
3.47,36.94,5.25,75.54
10.63,36.32,29.82,74.12
14.53,36.13,14.53,72.26
7.28,35.19,17.86,70.44
11.34,34.06,16.16,70.1
5.55,32.6,17.85,68.65
4.68,31.3,3.7,64.8
9.78,30.36,10.27,64.61
4.58,29.33,15.65,63.39
1.1,27.02,19.07,60.78
0.43,26.12,14.48,58.63
0.83,25.29,4.11,57.32
0.54,24.44,16.66,56.19
0.52,23.26,19.62,53.43
0.47,21.84,20.02,52.23
0.1,20.35,16.65,50.63
0.29,19.6,9.83,48.87
91.19,99.33,12.25,48.72
91.55,98.95,20.54,48.47
75.74,96.95,18.99,46.32
64.96,95.26,24.07,45.14
75.62,92.98,16.15,43.97
45.54,91.18,16.51,42.91
45.71,88.99,15.05,41.19
55.11,87.57,7.99,39.28
56.85,86.96,7.7,37.59
17.74,85.63,9.53,36.53
15.36,83.42,9.85,35.61
8.49,81.55,10.74,34.92
6.34,80.32,9.63,34.8
5.21,76.25,4.66,32.15
3.89,73.82,1.18,30.83
6.52,71.03,2.23,28.31
14.25,69.41,2.34,27.82
4.81,63.24,0.39,25.47
30.6,62.12,2.37,97.71
10.56,58.76,1.59,95.08
22.57,57.04,21.23,94.1
44.35,54.54,22.33,93.03
23.24,48.37,24.65,89.57
27.92,47.17,0.54,86.99
8.01,46.53,0.93,84.58
35.15,42.65,0.97,82.17
12.8,41.04,1.59,78.33
0.5,40.46,8.29,75.25
1.3,34.54,7.17,71.97
0.36,34.14,12.38,69.42
0.2,32.96,14.35,66.48
3.14,31.35,7.98,65.69
2.57,29.44,4,62.14
0.45,28.03,0.41,61.99
4.23,26.6,11.25,58.88
0.89,23.69,9.67,56.58
1.15,23.19,14.42,54.96
0.38,20.92,9.63,52.19
1.61,19.68,14.98,51.22
1.32,17.27,7.5,49.32
0.32,15.37,10.68,46.54
99.52,99.37,10.85,45.25
75.58,99.05,7.29,42.64
55.06,92.33,7.34,40.83
60.55,90.83,4.22,38.01
1.72,86.17,3.47,37.06
49.94,85.79,2.75,35.37
42.97,82.56,1.46,34.02
39.3,79.87,2.83,33.74
40.57,76.97,3.46,32.17
5.44,73.93,2.71,30.74
2.76,71.91,1.07,28.86
45.48,70.97,0.97,27.05
22.25,68.26,0.26,25.57
