dist. to tip (mm),all intercepts 1,all intercepts 2,dist. to tip (mm),discrete plant 3,discrete plant 4,dist. to tip (mm),max sim
10,8,11,10,3,6,10,38
11,10,12,20,17,37,20,95
12,12,12,30,29,67,30,126
13,16,15,40,40,69,45,126
14,20,17,50,40,30,60,105
15,24,20,60,33,27,80,60
16,23,23,70,27,19,,
17,25,26,80,26,17,,
18,27,27,,,,,
19,27,32,,,,,
20,29,32,,,,,
21,33,35,,,,,
22,35,32,,,,,
23,40,34,,,,,
24,40,34,,,,,
25,44,37,,,,,
26,48,33,,,,,
27,49,34,,,,,
28,52,36,,,,,
29,54,38,,,,,
30,53,36,,,,,
31,53,39,,,,,
32,51,41,,,,,
33,46,39,,,,,
34,47,36,,,,,
35,45,40,,,,,
36,45,40,,,,,
37,39,39,,,,,
38,39,35,,,,,
39,33,34,,,,,
40,35,30,,,,,
41,36,31,,,,,
42,31,27,,,,,
43,34,27,,,,,
44,30,27,,,,,
45,28,28,,,,,
46,26,27,,,,,
47,26,25,,,,,
48,27,23,,,,,
49,25,21,,,,,
50,23,18,,,,,
51,20,17,,,,,
52,19,18,,,,,
53,16,17,,,,,
54,18,17,,,,,
55,16,14,,,,,
56,17,13,,,,,
57,16,12,,,,,
58,15,9,,,,,
59,15,9,,,,,
60,14,9,,,,,
61,13,9,,,,,
62,13,9,,,,,
63,13,8,,,,,
64,11,8,,,,,
65,11,7,,,,,
66,11,7,,,,,
67,11,8,,,,,
68,12,6,,,,,
69,11,6,,,,,
70,11,6,,,,,
71,11,6,,,,,
72,10,6,,,,,
73,9,5,,,,,
74,9,5,,,,,
75,9,5,,,,,
76,9,5,,,,,
77,9,5,,,,,
78,8,5,,,,,
79,7,5,,,,,
80,7,5,,,,,
