distance_from_base_(mm)	lateral_root_length_(mm)	order
21.36	39.1	1
23.811	112.012	1
26.067	78.51	1
26.6578	59.14	1
29.8958	89.21	1
32.2718	64.52	1
32.32838	71.26	1
32.49908	58.31	1
33.57608	89.11	1
34.07528	49.666	1
35.63228	45.65	1
36.84828	77.83	1
37.06688	50.601	1
38.35988	86.1	1
39.32598	82.32	1
41.20198	10.85	1
42.77398	8.127	1
44.36398	58.96	1
46.43098	69.89	1
46.68688	70.59	1
49.99388	36.21	1
51.45588	33.52	1
51.94548	12.15	1
54.47348	40.48	1
54.50447	12.2	1
56.13547	69.3	1
61.29547	37.98	1
61.57327	47.38	1
61.68847	44.7	1
64.32247	56.21	1
64.69377	60.64	1
65.45597	13.045	1
66.59397	48.72	1
66.87487	50.36	1
67.37967	38.41	1
68.42967	27.38	1
68.80787	36.64	1
75.94787	37.796	1
77.16087	62.75	1
79.41787	9.047	1
84.16087	36.43	1
86.10887	38.61	1
87.41187	6.48	1
89.00387	29.91	1
91.41987	14.51	1
92.67887	29.06	1
94.62387	17.43	1
96.36087	7.442	1
96.43944	13.8	1
97.22444	4.039	1
97.59094	6.761	1
97.591645	13.24	1
99.892645	7.114	1
100.362545	10.36	1
100.705445	32.34	1
102.520445	6.943	1
102.653345	16.88	1
102.920845	46.89	1
103.324145	26.024	1
103.986745	28.981	1
104.392945	25.398	1
105.041145	33.078	1
106.524145	19.84	1
107.083545	11.29	1
107.470145	9.405	1
107.664245	7.348	1
107.701515	8.214	1
108.523715	7.904	1
108.985615	11.81	1
110.262615	11.0	1
111.667615	15.51	1
111.700925	24.4	1
111.949825	15.95	1
113.002825	4.992	1
113.055215	2.96	1
113.664215	11.3	1
113.854115	15.41	1
114.980115	6.836	1
115.434015	6.055	1
115.963615	3.837	1
116.742715	14.25	1
117.536215	6.343	1
118.685215	5.956	1
121.398215	11.52	1
122.209615	9.689	1
122.649715	1.06	1
122.769115	9.051	1
124.398115	4.722	1
124.881915	7.917	1
125.055815	0.4698	1
126.496815	3.468	1
126.606615	6.668	1
127.430515	5.875	1
127.785315	2.48	1
129.080315	4.371	1
129.595015	5.953	1
130.415515	2.871	1
130.794815	5.767	1
131.199215	4.631	1
131.823915	0.8246	1
132.896915	4.085	1
133.173315	3.083	1
133.702815	2.916	1
133.893015	2.97	1
135.134015	0.6075	1
135.427315	1.175	1
135.935315	1.746	1
136.035315	11.33	1
137.043315	11.2	1
137.332915	1.837	1
137.349855	2.571	1
137.677855	2.803	1
137.729025	1.879	1
139.263025	4.642	1
139.276085	2.148	1
139.888885	4.752	1
140.041285	2.926	1
140.777385	4.398	1
140.907885	10.97	1
142.195885	7.016	1
142.497985	5.051	1
143.364185	3.027	1
144.604185	8.329	1
144.976185	1.617	1
146.012185	4.646	1
146.702685	2.03	1
147.304985	5.238	1
147.609885	8.448	1
147.721785	2.955	1
148.378385	5.164	1
149.964385	1.409	1
150.947185	2.476	1
151.064185	9.623	1
152.104185	13.95	1
152.993785	2.742	1
153.365185	3.964	1
154.382185	7.009	1
155.249185	3.525	1
155.953685	6.638	1
156.253085	11.51	1
157.830085	5.334	1
158.468385	4.381	1
160.693385	6.579	1
161.221085	3.79	1
161.734385	3.105	1
163.272385	6.872	1
163.517985	2.594	1
164.382185	4.719	1
166.575185	2.374	1
167.158885	4.885	1
167.484385	2.731	1
168.877385	2.996	1
169.004685	2.754	1
169.278385	4.694	1
169.981385	9.009	1
170.956385	1.759	1
172.015385	3.76	1
172.443185	0.7533	1
174.555185	7.651	1
174.828385	6.52	1
175.161885	9.815	1
179.014885	8.191	1
180.762885	4.527	1
181.605985	1.208	1
182.174985	2.367	1
182.557385	1.8	1
183.971385	4.024	1
185.126385	2.636	1
185.840485	6.165	1
187.733485	4.027	1
188.038185	5.154	1
189.527185	2.193	1
190.406485	2.278	1
190.589485	7.031	1
190.880685	2.028	1
191.719085	3.465	1
192.211585	2.274	1
193.177385	3.676	1
195.384385	2.915	1
196.229985	6.171	1
197.852985	8.292	1
198.812985	2.264	1
200.967985	2.948	1
201.199885	2.482	1
202.635885	1.201	1
203.435885	1.182	1
203.595955	0.8417	1
205.145555	3.571	1
206.388555	1.14	1
207.138555	2.567	1
208.342555	1.955	1
208.472255	5.675	1
208.944555	1.211	1
209.560155	1.637	1
210.875155	2.055	1
