distance_from_base_(mm)	lateral_root_length_(mm)	order
14.151	74.291	1
15.012	77.149	1
15.738	73.234	1
15.985	75.272	1
16.141	72.313	1
16.266	72.463	1
16.455	71.638	1
16.554	47.637	1
16.999	65.909	1
17.227	57.586	1
21.378	2.004	1
22.484	38.278	1
24.653	33.18	1
26.253	27.877	1
28.246	18.265	1
32.657	11.414	1
35.322	10.435	1
39.715	5.338	1
40.954	1.452	1
42.017	1.053	1
47.525	4.607	1
49.625	4.12	1
53.607	0.502	1
54.97	6.385	1
58.826	2.24	1
60.589	0.33	1
61.749	11.323	1
72.363	10.674	1
73.918	8.169	1
77.298	2.246	1
79.407	2.597	1
81.224	1.18	1
81.717	0.751	1
82.989	0.91	1
85.628	3.193	1
89.211	7.184	1
94.196	3.858	1
94.793	3.69	1
98.429	2.876	1
98.578	0.775	1
104.844	1.272	1
136.485	0.0	1
16.774	3.751	1-1
20.043	5.218	1-1
23.399	2.06	1-1
25.323	1.218	1-1
26.731	2.526	1-1
30.03	1.232	1-1
30.842	0.901	1-1
33.867	0.654	1-1
36.919	0.894	1-1
38.887	0.69	1-1
47.891	4.987	1-1
49.907	3.088	1-1
74.291	0.0	1-1
5.595	0.581	1-2
7.705	0.912	1-2
11.41	0.866	1-2
13.388	6.274	1-2
18.281	3.523	1-2
21.707	2.75	1-2
23.172	2.584	1-2
26.74	2.191	1-2
27.324	1.07	1-2
31.128	0.72	1-2
33.882	1.01	1-2
39.12	0.284	1-2
40.186	0.499	1-2
44.558	0.248	1-2
53.698	2.327	1-2
77.149	0.0	1-2
4.681	2.75	1-3
5.983	0.826	1-3
9.514	3.664	1-3
11.472	0.885	1-3
12.762	4.107	1-3
14.061	5.431	1-3
17.269	5.233	1-3
18.585	3.757	1-3
20.466	2.224	1-3
22.095	2.003	1-3
23.337	3.26	1-3
25.816	0.451	1-3
73.234	0.0	1-3
6.754	0.758	1-4
7.993	0.93	1-4
9.826	1.857	1-4
15.742	1.784	1-4
22.705	1.792	1-4
75.272	0.0	1-4
4.945	0.854	1-5
8.556	0.903	1-5
12.346	1.581	1-5
14.851	2.387	1-5
19.513	1.757	1-5
24.408	1.848	1-5
24.864	1.668	1-5
72.313	0.0	1-5
4.149	3.044	1-6
7.455	1.397	1-6
9.058	7.438	1-6
10.625	8.941	1-6
10.868	2.484	1-6
16.629	2.691	1-6
18.025	1.925	1-6
19.695	1.178	1-6
22.794	1.031	1-6
72.463	0.0	1-6
8.393	2.544	1-7
10.503	8.967	1-7
14.663	5.505	1-7
23.025	1.537	1-7
71.638	0.0	1-7
11.393	0.841	1-8
14.19	1.062	1-8
20.778	1.554	1-8
21.445	4.112	1-8
47.637	0.0	1-8
11.28	3.264	1-9
21.977	1.682	1-9
65.909	0.0	1-9
22.264	0.816	1-10
57.586	0.0	1-10
15.388	0.687	1-12
38.278	0.0	1-12
3.666	0.653	1-14
27.877	0.0	1-14
1.832	0.455	1-25
2.165	0.0	1-25
