distance_from_base_(mm)	lateral_root_length_(mm)	order
0.83	111.71	1
1.56	110.84	1
2.58	109.87	1
3.63	106.33	1
4.48	102.13	1
5.37	102.69	1
6.51	97.85	1
7.18	95.71	1
7.6	97.47	1
8.27	88.53	1
9.1	83.21	1
10.05	92.116	1
10.392	87.771	1
10.888	89.873	1
13.313	86.363	1
15.04	84.091	1
16.158	8.191	1
16.574	77.661	1
17.938	75.153	1
19.677	72.308	1
20.265	68.665	1
21.049	72.934	1
22.618	1.567	1
23.146	4.383	1
23.679	1.006	1
24.641	66.628	1
26.675	4.798	1
29.352	59.428	1
32.867	0.175	1
36.279	47.763	1
38.4	46.167	1
39.425	42.106	1
41.231	3.87	1
42.911	35.96	1
43.451	35.16	1
45.181	30.83	1
45.831	18.0	1
48.511	15.01	1
51.091	11.05	1
51.431	7.53	1
51.961	8.06	1
52.901	6.93	1
53.511	6.97	1
55.561	5.01	1
57.831	2.99	1
60.021	0.55	1
61.741	17.9	1
64.331	0.81	1
67.371	8.11	1
69.191	1.93	1
71.731	0.38	1
71.891	0.22	1
73.411	12.36	1
74.471	1.34	1
76.031	9.16	1
77.251	8.11	1
80.261	1.52	1
82.331	2.34	1
82.571	2.72	1
84.801	10.02	1
85.551	6.34	1
87.331	12.07	1
89.881	7.3	1
90.331	10.1	1
92.031	2.4	1
93.901	6.38	1
94.431	2.73	1
95.791	4.27	1
96.281	1.62	1
98.101	0.38	1
98.841	0.32	1
121.421	3.74	1
121.641	5.05	1
122.411	0.27	1
123.421	3.43	1
123.601	2.03	1
125.551	1.8	1
127.311	0.63	1
127.621	0.62	1
129.551	0.31	1
130.561	0.62	1
131.421	0.13	1
153.561	0.0	1
9.39	50.29	1-1
20.1	12.17	1-1
22.49	34.22	1-1
24.79	29.1	1-1
26.08	25.8	1-1
28.47	29.22	1-1
31.91	23.92	1-1
33.59	19.41	1-1
35.61	20.25	1-1
39.25	14.93	1-1
40.74	13.1	1-1
42.53	10.6	1-1
43.05	13.42	1-1
46.17	9.8	1-1
47.31	1.85	1-1
49.07	6.91	1-1
50.0	5.13	1-1
50.41	4.73	1-1
53.11	1.85	1-1
55.67	5.13	1-1
58.18	3.17	1-1
59.17	2.46	1-1
60.34	1.65	1-1
64.27	1.47	1-1
64.76	2.78	1-1
65.66	3.42	1-1
71.29	0.34	1-1
93.86	6.75	1-1
110.67	0.0	1-1
9.28	18.5	1-2
12.39	18.36	1-2
13.74	6.03	1-2
18.54	5.15	1-2
19.19	12.04	1-2
21.44	10.46	1-2
22.68	6.14	1-2
24.58	4.58	1-2
27.26	15.35	1-2
28.63	22.36	1-2
31.57	8.7	1-2
32.81	17.14	1-2
35.04	14.91	1-2
37.05	13.13	1-2
38.85	11.04	1-2
40.22	8.93	1-2
42.24	11.98	1-2
46.08	9.28	1-2
48.42	7.21	1-2
50.09	4.04	1-2
51.3	3.9	1-2
54.28	1.59	1-2
56.1	4.72	1-2
56.92	3.66	1-2
57.79	2.83	1-2
59.93	1.68	1-2
63.46	1.25	1-2
65.7	0.37	1-2
66.76	0.57	1-2
110.05	0.0	1-2
12.96	36.79	1-3
14.95	35.06	1-3
19.03	7.45	1-3
22.3	16.09	1-3
