distance_from_base_(mm)	lateral_root_length_(mm)	order
1.5	105.4	1
3.0	79.7	1
4.4	54.3	1
5.4	90.0	1
6.2	94.0	1
7.3	30.6	1
8.5	76.1	1
9.5	19.4	1
10.8	17.8	1
12.2	31.2	1
13.5	17.8	1
14.6	7.1	1
15.7	73.0	1
16.3	27.0	1
16.6	16.7	1
17.4	19.8	1
18.6	14.8	1
20.4	27.4	1
21.8	18.4	1
24.2	63.6	1
26.9	9.6	1
27.9	8.4	1
29.0	10.1	1
33.6	24.4	1
34.6	3.2	1
37.0	6.9	1
38.1	0.9	1
41.7	10.2	1
43.4	6.5	1
44.8	3.9	1
48.0	19.8	1
49.4	21.1	1
52.1	0.9	1
54.0	6.2	1
55.3	6.4	1
57.9	5.2	1
58.9	7.9	1
60.4	5.5	1
62.6	1.3	1
63.2	4.7	1
65.5	1.4	1
67.2	1.0	1
68.3	0.4	1
71.0	3.2	1
73.4	7.2	1
74.4	6.2	1
76.8	1.5	1
78.1	1.5	1
80.0	2.8	1
81.6	5.4	1
85.0	6.4	1
87.5	7.8	1
89.3	1.6	1
90.2	0.5	1
93.0	2.3	1
93.5	2.2	1
96.5	2.5	1
97.9	5.1	1
99.7	2.4	1
101.6	3.5	1
103.9	5.0	1
106.7	4.2	1
109.3	1.8	1
111.7	3.1	1
113.1	1.3	1
114.4	1.1	1
115.8	0.0	1
16.8	6.0	1-1
18.2	8.2	1-1
19.2	1.5	1-1
24.7	4.6	1-1
27.1	7.0	1-1
29.0	2.5	1-1
33.7	8.6	1-1
33.8	11.3	1-1
36.7	3.6	1-1
37.3	10.8	1-1
40.6	5.7	1-1
41.5	7.4	1-1
43.7	4.3	1-1
45.9	4.9	1-1
49.0	3.7	1-1
49.3	2.2	1-1
51.7	5.1	1-1
51.9	5.1	1-1
54.0	4.4	1-1
56.2	4.5	1-1
59.4	2.2	1-1
61.3	1.7	1-1
64.3	1.4	1-1
65.8	1.4	1-1
75.1	0.2	1-1
105.4	0.0	1-1
14.3	3.6	1-2
19.4	1.8	1-2
21.9	1.8	1-2
27.7	0.8	1-2
29.2	4.9	1-2
32.1	1.6	1-2
34.5	3.4	1-2
36.4	3.1	1-2
38.2	2.6	1-2
38.9	2.6	1-2
42.2	2.8	1-2
46.1	1.8	1-2
48.1	1.6	1-2
79.7	0.0	1-2
13.9	6.6	1-3
15.2	3.4	1-3
17.9	4.4	1-3
19.0	5.2	1-3
20.5	0.7	1-3
21.2	4.0	1-3
24.7	3.3	1-3
25.3	0.6	1-3
27.7	0.2	1-3
54.3	0.0	1-3
12.1	4.2	1-4
14.9	10.2	1-4
16.6	1.5	1-4
20.6	9.7	1-4
24.0	2.7	1-4
25.5	9.0	1-4
29.6	4.0	1-4
31.0	4.3	1-4
33.2	3.4	1-4
34.1	0.7	1-4
36.1	4.4	1-4
36.9	8.9	1-4
40.0	4.2	1-4
44.1	4.4	1-4
47.4	3.3	1-4
49.5	2.3	1-4
51.7	1.9	1-4
54.1	2.0	1-4
55.0	0.5	1-4
58.1	0.5	1-4
60.3	0.3	1-4
63.9	0.3	1-4
90.0	0.0	1-4
13.0	1.4	1-5
13.4	1.1	1-5
23.0	3.0	1-5
28.0	3.9	1-5
28.5	3.6	1-5
28.7	4.3	1-5
31.5	4.7	1-5
32.7	4.3	1-5
34.9	6.1	1-5
37.6	3.7	1-5
39.0	4.4	1-5
40.9	4.1	1-5
45.2	4.8	1-5
48.5	3.2	1-5
49.9	2.8	1-5
54.4	1.8	1-5
57.2	1.0	1-5
59.1	1.2	1-5
94.0	0.0	1-5
13.8	1.0	1-6
16.7	0.8	1-6
30.6	0.0	1-6
12.5	5.6	1-7
14.5	4.1	1-7
17.6	5.7	1-7
22.7	4.6	1-7
26.8	4.2	1-7
29.3	1.7	1-7
30.8	2.5	1-7
34.1	2.8	1-7
40.0	2.1	1-7
42.5	1.4	1-7
45.5	0.6	1-7
48.3	0.4	1-7
76.1	0.0	1-7
7.4	0.6	1-10
12.4	0.5	1-10
31.2	0.0	1-10
7.3	10.4	1-13
11.5	0.5	1-13
13.0	1.4	1-13
17.4	0.9	1-13
19.3	2.4	1-13
22.9	5.7	1-13
24.5	2.2	1-13
26.3	0.5	1-13
27.3	1.5	1-13
32.6	2.0	1-13
34.7	1.3	1-13
38.1	0.8	1-13
40.4	0.3	1-13
43.1	0.8	1-13
46.0	0.4	1-13
73.0	0.0	1-13
3.3	2.7	1-20
9.2	14.8	1-20
10.6	3.0	1-20
14.7	4.2	1-20
16.3	2.3	1-20
17.2	2.7	1-20
20.7	1.4	1-20
24.0	1.5	1-20
25.0	2.0	1-20
34.9	0.3	1-20
42.3	0.6	1-20
63.6	0.0	1-20
