distance_from_base_(mm)	lateral_root_length_(mm)	order
0.97	116.927	1
1.83	108.845	1
2.63	101.62	1
3.54	98.806	1
4.33	98.542	1
4.95	96.04	1
5.68	90.576	1
6.2	91.027	1
6.78	88.926	1
7.24	87.806	1
7.98	85.316	1
8.65	82.26	1
9.71	79.983	1
10.18	14.05	1
12.2	75.634	1
13.88	72.801	1
16.47	66.337	1
16.86	0.45	1
18.24	64.537	1
19.65	51.587	1
22.95	47.869	1
23.67	46.967	1
25.13	44.822	1
29.22	40.557	1
31.34	37.592	1
35.022	32.891	1
38.516	3.29	1
39.947	5.33	1
40.724	2.72	1
41.584	0.4	1
42.827	3.71	1
44.573	22.369	1
47.715	13.259	1
48.806	11.56	1
50.985	5.404	1
53.315	1.48	1
56.455	29.676	1
58.684	25.169	1
62.173	19.95	1
64.868	12.895	1
67.276	0.622	1
68.072	9.254	1
68.842	6.29	1
70.162	5.15	1
71.982	3.21	1
72.92	1.32	1
73.604	0.64	1
75.381	3.77	1
78.351	4.24	1
80.691	9.15	1
81.221	7.41	1
81.881	12.02	1
84.971	0.92	1
85.871	1.49	1
86.421	8.41	1
87.631	10.43	1
90.401	5.83	1
91.141	7.29	1
92.991	3.36	1
95.521	2.88	1
95.871	2.48	1
96.912	1.36	1
97.864	6.64	1
99.554	1.04	1
100.464	4.49	1
101.574	4.07	1
104.204	3.74	1
105.084	0.4	1
105.464	1.16	1
106.444	1.99	1
108.074	0.52	1
108.694	1.43	1
110.999	0.76	1
111.439	1.07	1
114.349	0.41	1
117.129	0.24	1
119.219	0.27	1
145.759	0.0	1
8.93	17.5	1-1
9.98	17.89	1-1
14.32	1.02	1-1
17.22	1.86	1-1
19.33	6.07	1-1
22.26	3.99	1-1
25.91	2.51	1-1
27.19	0.95	1-1
31.53	14.73	1-1
32.98	1.07	1-1
34.19	1.62	1-1
36.16	3.63	1-1
39.57	2.79	1-1
39.89	4.0	1-1
42.5	7.01	1-1
45.15	1.76	1-1
46.17	2.23	1-1
47.6	1.56	1-1
49.27	2.81	1-1
51.37	2.01	1-1
53.69	0.94	1-1
54.253	21.342	1-1
56.595	0.627	1-1
59.244	0.7	1-1
60.725	0.903	1-1
75.647	0.91	1-1
79.587	0.39	1-1
81.547	0.37	1-1
116.487	0.0	1-1
4.26	8.24	1-2
7.01	8.98	1-2
9.78	10.72	1-2
10.48	6.16	1-2
11.48	7.55	1-2
12.89	1.7	1-2
16.14	3.54	1-2
17.72	4.68	1-2
20.16	0.44	1-2
20.83	2.06	1-2
22.84	3.86	1-2
24.09	2.65	1-2
24.85	0.68	1-2
26.79	11.06	1-2
30.6	2.81	1-2
33.53	2.63	1-2
36.61	2.07	1-2
38.41	2.6	1-2
39.55	5.82	1-2
44.74	4.26	1-2
46.98	1.96	1-2
50.57	0.94	1-2
52.626	0.241	1-2
53.025	0.867	1-2
54.69	0.777	1-2
59.473	0.73	1-2
62.093	0.419	1-2
108.125	0.0	1-2
5.96	11.65	1-3
11.45	0.85	1-3
15.654	1.758	1-3
18.887	0.441	1-3
21.217	3.932	1-3
22.807	1.91	1-3
26.117	11.47	1-3
27.269	2.625	1-3
29.795	1.999	1-3
30.804	0.6	1-3
31.684	0.88	1-3
32.594	0.23	1-3
34.503	4.48	1-3
35.588	1.52	1-3
37.295	3.86	1-3
37.914	0.59	1-3
41.115	3.08	1-3
42.753	4.02	1-3
46.388	1.43	1-3
48.27	0.69	1-3
49.918	0.949	1-3
52.244	0.254	1-3
53.69	0.339	1-3
55.601	0.856	1-3
101.134	0.0	1-3
5.27	8.912	1-4
7.643	11.254	1-4
10.718	16.634	1-4
13.016	3.198	1-4
14.385	13.445	1-4
17.28	5.417	1-4
19.584	2.039	1-4
20.95	2.032	1-4
23.382	1.026	1-4
25.723	2.044	1-4
26.62	0.658	1-4
30.234	2.47	1-4
31.674	1.22	1-4
33.934	4.66	1-4
36.554	0.62	1-4
