distance_from_base_(mm)	lateral_root_length_(mm)	order
0.988	60.377	1
1.814	58.341	1
2.764	70.661	1
3.945	56.307	1
5.157	53.056	1
6.362	27.81	1
7.343	22.747	1
8.442	16.399	1
9.098	47.66	1
9.471	47.23	1
9.844	42.371	1
10.357	24.579	1
10.851	35.968	1
11.076	63.835	1
11.594	34.776	1
11.977	61.329	1
12.551	33.663	1
13.317	33.506	1
15.369	31.776	1
16.954	9.235	1
17.901	29.566	1
20.755	27.738	1
21.56	26.362	1
24.71	23.21	1
25.87	1.94	1
26.22	7.99	1
27.73	13.467	1
28.02	2.14	1
30.62	10.96	1
31.67	9.11	1
34.09	5.27	1
36.11	6.3	1
40.56	1.27	1
46.641	26.892	1
48.917	22.986	1
52.176	17.283	1
54.288	10.05	1
55.248	6.52	1
57.538	5.68	1
58.208	4.03	1
60.718	5.69	1
63.628	5.55	1
64.368	0.8	1
69.258	1.97	1
70.298	0.83	1
71.168	1.588	1
72.086	0.511	1
73.301	0.362	1
74.551	0.45	1
75.351	0.89	1
77.281	1.08	1
79.021	1.11	1
80.581	0.6	1
84.981	0.47	1
111.691	0.0	1
4.3	19.99	1-1
9.57	11.84	1-1
11.461	7.354	1-1
17.443	3.119	1-1
19.524	10.053	1-1
24.365	6.994	1-1
25.728	3.389	1-1
28.626	1.425	1-1
32.004	3.202	1-1
36.262	1.661	1-1
38.716	0.393	1-1
41.795	0.946	1-1
43.395	0.344	1-1
59.821	0.0	1-1
5.778	16.198	1-2
9.227	1.808	1-2
10.631	8.924	1-2
16.068	9.302	1-2
19.617	3.014	1-2
22.457	5.82	1-2
24.097	2.03	1-2
25.742	2.816	1-2
30.87	2.381	1-2
32.477	0.518	1-2
34.837	0.89	1-2
36.577	0.74	1-2
38.557	0.63	1-2
40.017	0.26	1-2
57.267	0.0	1-2
5.45	2.127	1-3
7.987	1.728	1-3
10.718	0.485	1-3
18.135	0.293	1-3
19.911	0.255	1-3
48.367	0.73	1-3
70.263	0.0	1-3
8.885	0.541	1-4
10.272	0.487	1-4
56.338	0.0	1-4
6.355	1.934	1-5
19.242	0.726	1-5
21.47	0.473	1-5
52.978	0.0	1-5
4.578	1.011	1-8
16.319	0.0	1-8
5.47	0.61	1-9
14.6	0.79	1-9
19.02	0.43	1-9
47.497	0.0	1-9
8.22	0.61	1-10
47.071	0.0	1-10
6.02	0.503	1-11
39.71	0.0	1-11
4.563	0.344	1-13
11.954	1.929	1-13
35.702	0.0	1-13
