arch,exp,Jbase,J1,J2,J3,J4,J5,J6,J7,J8,J9,lcut1,lcut2,lcut3,lcut4,lcut5,lcut6,lcut7,lcut8,lcut9
plant-01,full,4.520E-03,,,,,,,,,,,,,,,,,,
plant-02,full,9.500E-03,,,,,,,,,,,,,,,,,,
plant-03,full,9.880E-03,,,,,,,,,,,,,,,,,,
plant-04,full,3.400E-03,,,,,,,,,,,,,,,,,,
plant-05,full,1.380E-02,,,,,,,,,,,,,,,,,,
plant-06,full,7.180E-03,,,,,,,,,,,,,,,,,,
plant-07,full,1.970E-02,,,,,,,,,,,,,,,,,,
plant-08,full,2.070E-02,,,,,,,,,,,,,,,,,,
plant-09,full,1.180E-02,,,,,,,,,,,,,,,,,,
plant-10,full,2.960E-03,,,,,,,,,,,,,,,,,,
160316#2,cut-n-flow,3.490E-02,3.740E-02,3.940E-02,4.420E-02,4.660E-02,4.930E-02,5.080E-02,6.300E-02,9.010E-02,,1.324E-01,1.213E-01,9.977E-02,8.486E-02,7.257E-02,6.080E-02,5.200E-02,4.252E-02,
2020-01-19-9h06,cut-n-flow,4.560E-03,5.000E-03,5.670E-03,6.010E-03,6.330E-03,6.640E-03,6.980E-03,,,,9.124E-02,7.670E-02,6.616E-02,5.681E-02,4.556E-02,3.707E-02,,,
15012020-1045,cut-n-flow,6.200E-03,6.500E-03,7.300E-03,9.100E-03,1.000E-02,1.080E-02,1.210E-02,1.550E-02,,,1.106E-01,9.159E-02,8.232E-02,7.078E-02,6.082E-02,5.338E-02,3.649E-02,,
200219-ybfb-col,cut-n-flow,5.240E-03,5.220E-03,5.680E-03,6.630E-03,8.810E-03,,,,,,1.201E-01,9.280E-02,7.300E-02,4.890E-02,,,,,
200619-ybfb-col-1,cut-n-flow,1.630E-02,1.670E-02,1.680E-02,1.890E-02,1.980E-02,,,,,,1.017E-01,7.338E-02,5.651E-02,4.854E-02,,,,,
200619-ybfb-col-2,cut-n-flow,3.420E-02,3.380E-02,3.530E-02,3.800E-02,4.400E-02,,,,,,1.123E-01,7.507E-02,6.052E-02,4.352E-02,,,,,
200702-ybfb-col-1,cut-n-flow,1.620E-02,1.740E-02,1.930E-02,2.110E-02,2.720E-02,,,,,,9.780E-02,7.496E-02,5.470E-02,3.330E-02,,,,,
200703-ybfb-col-2,cut-n-flow,5.320E-02,5.490E-02,6.060E-02,8.380E-02,,,,,,,1.010E-01,6.910E-02,4.640E-02,,,,,,
200703-ybfb-col-3,cut-n-flow,1.510E-02,1.700E-02,1.990E-02,2.220E-02,,,,,,,6.533E-02,4.300E-02,2.946E-02,,,,,,
200724-ybfb-col-1,cut-n-flow,1.800E-02,2.050E-02,2.430E-02,2.770E-02,3.470E-02,,,,,,1.179E-01,9.521E-02,7.544E-02,5.730E-02,,,,,
200619-ybfb-e11-2,cut-n-flow,3.820E-03,3.990E-03,3.960E-03,4.140E-03,,,,,,,1.040E-01,6.885E-02,4.467E-02,,,,,,
200703-ybfb-e11-3,cut-n-flow,3.500E-03,3.300E-03,4.290E-03,3.910E-03,,,,,,,5.117E-02,3.270E-02,2.220E-02,,,,,,
200721-ybfb-e11-2,cut-n-flow,2.030E-03,2.260E-03,2.460E-03,2.420E-03,,,,,,,8.031E-02,4.095E-02,2.898E-02,,,,,,
200724-ybfb-e11-2,cut-n-flow,4.200E-03,4.710E-03,4.780E-03,5.180E-03,5.300E-03,5.640E-03,,,,,1.024E-01,7.822E-02,6.251E-02,4.969E-02,4.045E-02,,,,
200812-ybfb-e11-3,cut-n-flow,1.100E-03,1.590E-03,1.330E-03,1.510E-03,,,,,,,7.171E-02,5.361E-02,3.859E-02,,,,,,
200619-ybfb-e15-1,cut-n-flow,6.090E-03,6.660E-03,7.200E-03,7.600E-03,8.320E-03,,,,,,1.168E-01,8.525E-02,6.234E-02,4.233E-02,,,,,
200619-ybfb-e15-2,cut-n-flow,6.820E-03,7.040E-03,7.350E-03,8.960E-03,9.070E-03,,,,,,9.699E-02,7.014E-02,4.879E-02,3.677E-02,,,,,
200703-ybfb-e15-3,cut-n-flow,6.340E-03,6.420E-03,6.810E-03,7.350E-03,,,,,,,5.426E-02,4.037E-02,2.971E-02,,,,,,
200721-ybfb-e15-1,cut-n-flow,2.660E-03,2.940E-03,3.120E-03,3.690E-03,,,,,,,7.099E-02,5.413E-02,4.169E-02,,,,,,
200721-ybfb-e15-2,cut-n-flow,4.380E-03,4.510E-03,5.370E-03,9.970E-03,,,,,,,6.618E-02,5.101E-02,3.910E-02,,,,,,
200812-ybfb-e15-1,cut-n-flow,1.540E-03,1.930E-03,2.030E-03,2.560E-03,,,,,,,6.434E-02,4.707E-02,3.706E-02,,,,,,
200812-ybfb-e15-3,cut-n-flow,5.470E-03,5.580E-03,5.750E-03,6.090E-03,,,,,,,6.146E-02,3.563E-02,2.968E-02,,,,,,
