distance_from_base_(mm)	lateral_root_length_(mm)	order
1.47	49.25	1
2.98	56.7	1
4.07	45.62	1
5.07	51.72	1
5.84	50.75	1
6.44	49.43	1
7.14	44.53	1
7.93	24.39	1
8.54	48.08	1
9.94	48.68	1
12.86	41.23	1
15.2	39.21	1
16.51	39.99	1
18.17	31.69	1
20.05	18.72	1
22.43	44.98	1
24.86	21.23	1
27.34	35.05	1
30.33	4.99	1
31.86	25.45	1
33.14	3.31	1
35.21	32.5	1
39.35	18.23	1
41.29	38.54	1
45.52	26.55	1
47.18	3.84	1
50.44	1.78	1
52.27	0.39	1
54.92	13.37	1
55.35	0.34	1
58.24	9.71	1
58.6	0.6	1
60.11	1.33	1
63.14	4.96	1
65.85	0.97	1
66.5	4.09	1
68.33	8.63	1
72.32	1.32	1
72.94	2.47	1
74.6	0.66	1
76.32	3.61	1
79.86	1.19	1
80.31	1.48	1
86.51	0.43	1
87.22	0.85	1
88.73	1.17	1
93.09	0.34	1
94.36	0.43	1
95.78	0.37	1
96.91	0.21	1
122.14	0	1
6.36	2.35	1-1
14.44	0.42	1-1
20.78	0.45	1-1
22.23	1.02	1-1
24.59	0.95	1-1
27.27	0.56	1-1
49.03	0	1-1
5.81	3.32	1-2
8.46	0.21	1-2
10.67	0.24	1-2
12.89	0.36	1-2
18.03	0.52	1-2
24.73	0.69	1-2
56.6	0	1-2
6.51	3	1-3
9.23	0.29	1-3
11.85	0.34	1-3
45.75	0	1-3
2.84	15.41	1-4
4	0.26	1-4
7.92	0.43	1-4
9.48	0.26	1-4
11.2	0.31	1-4
13.15	0.33	1-4
17.9	0.55	1-4
21.82	0.29	1-4
24.68	0.35	1-4
51.59	0	1-4
3.79	0.19	1-5
7.17	0.44	1-5
11.92	0.6	1-5
14.88	0.32	1-5
21.61	0.31	1-5
50.85	0	1-5
2.83	0.15	1-6
6.83	2.31	1-6
7.84	7.72	1-6
12.95	0.37	1-6
14.43	2.78	1-6
49.45	0	1-6
2.29	0.72	1-7
3.99	0.3	1-7
44.51	0	1-7
2.99	0.41	1-10
6.72	0.69	1-10
9.37	0.3	1-10
14.03	0.51	1-10
17.86	0.47	1-10
48.75	0	1-10

