simulated plant id,total length simulated (m),plant id,plant names,total length (m)
1,1.5594,1,20-06-09-FB-hydroroot-1ter.txt,1.626
1,1.5191,2,20-06-09-FB-160212-3-Col.txt,1.8761
1,1.3918,3,20-06-09-FB-160212-4-Col.txt,1.5992
1,1.6972,4,20-06-09-FB-hydroroot-5.txt,0.7099
1,1.5602,5,20-06-09-FB-hydroroot-7.txt,1.8824
1,1.4327,6,20-06-10-FB-hydroroot-8.txt,1.1174
1,1.3904,7,20-06-16-FB-170426-full-archi-ch3G1.txt,2.1262
1,1.4844,8,20-06-16-FB-170426-full-archi-ch4G1c.txt,2.1082
1,1.5143,9,200721-YBFB-Col-2-correct-scale.txt,1.1336
1,1.563,10,200812-YBFB-col-2.txt,0.7824
2,1.7646,,,
2,1.8527,,,
2,1.9497,,,
2,1.9399,,,
2,1.6175,,,
2,2.0163,,,
2,2.2999,,,
2,1.7583,,,
2,2.0292,,,
2,2.0291,,,
3,1.6111,,,
3,1.439,,,
3,1.5515,,,
3,1.4794,,,
3,1.5481,,,
3,1.7688,,,
3,1.6816,,,
3,1.4363,,,
3,1.3434,,,
3,1.652,,,
4,0.7425,,,
4,0.8214,,,
4,0.8256,,,
4,0.7764,,,
4,0.7211,,,
4,0.7108,,,
4,0.8219,,,
4,0.7503,,,
4,0.7065,,,
4,0.6838,,,
5,1.8057,,,
5,1.5481,,,
5,2.0291,,,
5,1.4594,,,
5,1.403,,,
5,1.6415,,,
5,1.9497,,,
5,1.5962,,,
5,1.7688,,,
5,1.8527,,,
6,1.2863,,,
6,1.4756,,,
6,1.1373,,,
6,1.1158,,,
6,1.3566,,,
6,1.1774,,,
6,1.1735,,,
6,1.2105,,,
6,1.1506,,,
6,1.0979,,,
7,2.2497,,,
7,2.4529,,,
7,2.5241,,,
7,1.9497,,,
7,2.2255,,,
7,1.9535,,,
7,2.2422,,,
7,2.1494,,,
7,2.0352,,,
7,1.7583,,,
8,2.1559,,,
8,2.5032,,,
8,2.2497,,,
8,2.6476,,,
8,2.2255,,,
8,2.7735,,,
8,2.6723,,,
8,2.3407,,,
8,2.4038,,,
8,2.3017,,,
9,1.0332,,,
9,0.993,,,
9,1.2434,,,
9,1.0116,,,
9,1.0376,,,
9,1.0254,,,
9,1.1528,,,
9,1.1285,,,
9,1.1724,,,
9,1.1489,,,
10,0.7158,,,
10,0.7046,,,
10,0.6746,,,
10,0.7259,,,
10,0.7577,,,
10,0.6784,,,
10,0.7065,,,
10,0.6299,,,
10,0.6188,,,
10,0.7688,,,
