Time (sec);Pressure (kPa);FLOW (g.h-1);FLOW (?L.s-1)
0;6.826;0.088;0.02450254
1;0.783;0.066;0.018376537
2;12.319;0.063;0.017545372
3;39.237;0.063;0.017543068
4;41.984;0.066;0.018380627
5;85.932;0.072;0.02005109
6;91.975;0.082;0.022831821
7;116.696;0.09;0.025065697
8;165.588;0.102;0.028401952
9;165.038;0.114;0.031745045
10;176.025;0.125;0.034810292
11;193.055;0.137;0.038148447
12;220.523;0.15;0.041768666
13;254.582;0.165;0.045944611
14;267.767;0.179;0.049843541
15;265.569;0.189;0.052636064
16;280.402;0.194;0.054020429
17;274.359;0.201;0.055965187
18;279.303;0.206;0.057365521
19;274.359;0.209;0.058191666
20;282.599;0.213;0.0593143
21;280.951;0.218;0.060706959
22;285.346;0.22;0.061252052
23;283.149;0.221;0.061545831
24;286.445;0.223;0.062092348
25;284.247;0.224;0.062382045
26;286.994;0.225;0.062648854
27;286.994;0.227;0.063215998
28;288.642;0.227;0.063211498
29;288.093;0.228;0.063491554
30;289.741;0.229;0.063767661
31;290.29;0.229;0.063761972
32;290.29;0.23;0.064040152
33;290.29;0.232;0.064598577
34;290.84;0.233;0.064871361
35;289.741;0.233;0.064880986
36;291.938;0.231;0.064329291
37;293.586;0.232;0.064594368
38;292.488;0.232;0.064595857
39;291.938;0.233;0.064873442
40;293.586;0.233;0.064870841
41;293.586;0.233;0.064869866
42;293.586;0.233;0.06488014
43;292.488;0.234;0.065147625
44;294.136;0.233;0.064868696
45;295.234;0.231;0.06432439
46;294.136;0.232;0.064592231
47;294.136;0.233;0.064869541
48;294.136;0.234;0.065155461
49;294.685;0.233;0.064881766
50;294.685;0.234;0.0651488
51;294.685;0.234;0.065157616
52;295.234;0.233;0.064883262
53;295.234;0.233;0.064873767
54;295.234;0.233;0.064875458
55;295.234;0.232;0.064602851
56;294.685;0.233;0.064869216
57;294.685;0.234;0.065159249
58;295.234;0.234;0.065152065
59;294.685;0.233;0.064878515
60;294.685;0.234;0.065157486
61;295.234;0.234;0.065157094
62;295.234;0.233;0.064882482
63;294.685;0.233;0.064875393
64;295.234;0.233;0.064871947
65;295.234;0.234;0.065149192
66;295.234;0.235;0.065428853
67;295.234;0.234;0.065160556
68;295.234;0.235;0.065439348
69;295.234;0.237;0.065992441
70;295.784;0.236;0.065708064
71;295.234;0.237;0.065994492
72;295.234;0.234;0.065146057
73;295.234;0.234;0.065160229
74;295.234;0.234;0.065160098
75;295.234;0.235;0.065431673
76;295.234;0.234;0.065143315
77;295.234;0.234;0.065154351
78;295.234;0.235;0.065431673
79;295.234;0.235;0.065430755
80;296.333;0.234;0.065155787
81;295.234;0.233;0.064865445
82;295.234;0.232;0.064599742
83;295.234;0.232;0.064586341
84;295.234;0.233;0.06486577
85;295.234;0.234;0.065158008
86;295.234;0.233;0.064869151
87;295.234;0.234;0.065155983
88;295.234;0.235;0.065430624
89;296.333;0.234;0.065154873
90;295.234;0.232;0.0645877
91;295.234;0.234;0.065158596
92;295.234;0.234;0.065146319
93;295.234;0.234;0.065148735
94;295.234;0.235;0.06543528
95;295.234;0.235;0.065431148
96;295.234;0.235;0.065420853
97;294.685;0.236;0.065711752
98;294.685;0.236;0.065711555
99;295.234;0.235;0.065429181
100;294.685;0.234;0.065144752
101;295.234;0.234;0.065151869
102;295.234;0.233;0.064872142
103;295.234;0.233;0.064866095
104;295.234;0.233;0.064873117
105;295.234;0.234;0.065141814
106;295.234;0.234;0.065152522
107;295.234;0.235;0.065427804
108;294.685;0.235;0.06541987
109;295.234;0.234;0.06514547
110;295.234;0.233;0.064876238
111;295.234;0.233;0.064869476
112;295.234;0.234;0.065152718
113;295.234;0.232;0.064596634
114;295.784;0.232;0.064596699
115;295.234;0.234;0.065155004
116;295.234;0.234;0.065153502
117;295.234;0.232;0.064582004
118;295.234;0.232;0.064587829
119;295.234;0.232;0.064587959
120;295.784;0.232;0.0645888
121;295.234;0.232;0.064593073
122;295.234;0.233;0.064871687
123;295.234;0.234;0.065148082
124;295.234;0.234;0.065150694
125;295.234;0.235;0.065416264
126;295.234;0.235;0.065416067
127;295.234;0.234;0.065144948
128;294.685;0.234;0.065150889
129;295.234;0.236;0.065709842
130;294.685;0.235;0.065416067
131;296.333;0.235;0.065429509
132;295.234;0.235;0.06541692
133;295.234;0.236;0.065698252
134;295.234;0.235;0.065415281
135;295.234;0.235;0.065422164
136;295.234;0.235;0.065417051
137;295.234;0.234;0.065150694
138;294.685;0.234;0.065150889
139;295.234;0.234;0.065146906
140;295.234;0.234;0.065142989
141;295.234;0.234;0.065149714
142;294.685;0.233;0.06486096
143;295.234;0.234;0.065140051
144;295.234;0.234;0.065141944
145;295.234;0.233;0.064870321
146;294.685;0.234;0.065152326
147;295.234;0.235;0.065426689
148;295.234;0.235;0.065421902
149;295.234;0.236;0.065702071
150;295.234;0.236;0.065693644
151;294.685;0.235;0.065427673
152;295.234;0.234;0.065149714
153;295.234;0.233;0.064856215
154;294.685;0.233;0.06485771
155;295.234;0.233;0.06485784
156;295.234;0.232;0.064593267
157;294.685;0.234;0.065133002
158;295.234;0.234;0.065149583
159;295.234;0.235;0.065412265
160;295.234;0.234;0.065138746
161;295.234;0.233;0.064855565
162;295.234;0.235;0.065411479
163;294.685;0.236;0.065703783
164;295.234;0.236;0.065702861
165;295.234;0.235;0.065418559
166;295.234;0.236;0.065690681
167;295.234;0.236;0.065693644
168;295.234;0.235;0.065424328
169;295.234;0.235;0.065409971
170;294.685;0.235;0.065419345
171;295.234;0.235;0.06542105
172;295.234;0.235;0.065421902
173;295.234;0.235;0.065419673
174;295.234;0.234;0.065142532
175;295.234;0.233;0.0648659
176;295.234;0.233;0.06485849
177;295.234;0.235;0.065412659
178;295.234;0.233;0.064858165
179;295.234;0.232;0.064572492
180;295.234;0.232;0.064580192
181;295.234;0.232;0.064588671
182;294.685;0.231;0.064299381
183;294.685;0.231;0.064298865
184;295.234;0.232;0.064585888
185;295.234;0.232;0.064585693
186;295.234;0.231;0.064307307
187;295.234;0.233;0.064851211
188;295.234;0.233;0.064851796
189;294.685;0.232;0.064574109
190;295.234;0.233;0.064866745
191;295.234;0.234;0.065131305
192;295.784;0.235;0.065416788
193;295.234;0.234;0.06513855
194;295.234;0.234;0.065138746
195;295.234;0.232;0.064584852
196;295.234;0.232;0.064585046
197;295.234;0.231;0.064308467
198;295.234;0.232;0.064573527
199;295.234;0.232;0.064583104
200;295.234;0.234;0.065137244
201;295.234;0.234;0.065129804
202;295.234;0.233;0.06486148
203;295.234;0.234;0.065140704
204;295.234;0.235;0.065420066
205;295.234;0.234;0.065138419
206;295.234;0.234;0.065130522
207;295.234;0.235;0.065417378
208;295.234;0.234;0.065140378
