index,length,axfold,radfold,surface,volume,Jv,i0,i1
0,0.08,1.0,50,0.002984651797626334,6.194416423612216e-08,0.042839043879750065,294,0
1,0.08,1.0,100,0.002984651797626334,6.194416423612216e-08,0.08214464263266423,294,0
2,0.08,1.0,150,0.002984651797626334,6.194416423612216e-08,0.11834829406228088,294,0
3,0.08,1.0,200,0.002984651797626334,6.194416423612216e-08,0.1518135294049167,294,0
4,0.08,1.0,250,0.002984651797626334,6.194416423612216e-08,0.18284881706485606,294,0
5,0.08,1.0,300,0.002984651797626334,6.194416423612216e-08,0.2117176316551419,294,0
6,0.08,1.0,350,0.002984651797626334,6.194416423612216e-08,0.23864638945941846,294,0
7,0.08,1.0,400,0.002984651797626334,6.194416423612216e-08,0.26383075997759053,294,0
8,0.08,1.0,450,0.002984651797626334,6.194416423612216e-08,0.28744072864395,294,0
9,0.08,1.0,500,0.002984651797626334,6.194416423612216e-08,0.309624689934231,294,0
10,0.08,1.0,550,0.002984651797626334,6.194416423612216e-08,0.33051278092338443,294,0
11,0.08,1.0,600,0.002984651797626334,6.194416423612216e-08,0.35021961489361114,294,0
12,0.08,1.0,650,0.002984651797626334,6.194416423612216e-08,0.36884653737188755,294,0
13,0.08,1.0,700,0.002984651797626334,6.194416423612216e-08,0.386483499245881,294,0
14,0.08,1.0,750,0.002984651797626334,6.194416423612216e-08,0.4032106207523046,294,0
15,0.08,1.0,800,0.002984651797626334,6.194416423612216e-08,0.41909950430867393,294,0
16,0.08,1.0,850,0.002984651797626334,6.194416423612216e-08,0.4342143420544632,294,0
17,0.08,1.0,900,0.002984651797626334,6.194416423612216e-08,0.44861285463450684,294,0
18,0.08,1.0,950,0.002984651797626334,6.194416423612216e-08,0.46234709050841394,294,0
19,0.08,1.0,1000,0.002984651797626334,6.194416423612216e-08,0.4754641094000921,294,0
20,0.08,1.0,1050,0.002984651797626334,6.194416423612216e-08,0.48800656903791756,294,0
21,0.08,1.0,1100,0.002984651797626334,6.194416423612216e-08,0.5000132308000135,294,0
22,0.08,1.0,1150,0.002984651797626334,6.194416423612216e-08,0.511519397061194,294,0
23,0.08,1.0,1200,0.002984651797626334,6.194416423612216e-08,0.5225572907799632,294,0
24,0.08,1.0,1250,0.002984651797626334,6.194416423612216e-08,0.5331563860444799,294,0
25,0.08,1.0,1300,0.002984651797626334,6.194416423612216e-08,0.543343696823004,294,0
26,0.08,1.0,1350,0.002984651797626334,6.194416423612216e-08,0.5531440299654676,294,0
27,0.08,1.0,1400,0.002984651797626334,6.194416423612216e-08,0.5625802075224695,294,0
28,0.08,1.0,1450,0.002984651797626334,6.194416423612216e-08,0.5716732626431902,294,0
29,0.085,1.0,50,0.0020466661818488814,4.937776598685447e-08,0.029649644185034428,172,0
30,0.085,1.0,100,0.0020466661818488814,4.937776598685447e-08,0.057346405767198246,172,0
31,0.085,1.0,150,0.0020466661818488814,4.937776598685447e-08,0.08328890801341997,172,0
32,0.085,1.0,200,0.0020466661818488814,4.937776598685447e-08,0.10764915343354303,172,0
33,0.085,1.0,250,0.0020466661818488814,4.937776598685447e-08,0.1305768841068232,172,0
34,0.085,1.0,300,0.0020466661818488814,4.937776598685447e-08,0.15220310730920056,172,0
35,0.085,1.0,350,0.0020466661818488814,4.937776598685447e-08,0.17264296774529178,172,0
36,0.085,1.0,400,0.0020466661818488814,4.937776598685447e-08,0.19199810393416072,172,0
37,0.085,1.0,450,0.0020466661818488814,4.937776598685447e-08,0.21035859409316313,172,0
38,0.085,1.0,500,0.0020466661818488814,4.937776598685447e-08,0.22780457291467968,172,0
39,0.085,1.0,550,0.0020466661818488814,4.937776598685447e-08,0.24440758264752555,172,0
40,0.085,1.0,600,0.0020466661818488814,4.937776598685447e-08,0.2602317082691927,172,0
