index,length,axfold,radfold,surface,volume,Jv,i0,i1
0,0.12,1.0,400,0.0013770424326274644,4.130631480105656e-08,0.1348576380161065,65,4
1,0.12,1.0,400,0.001345650068036526,4.053827096826578e-08,0.13187406968243823,74,3
2,0.12,1.0,400,0.001114771596491285,3.486069661873544e-08,0.11008119317416762,43,2
3,0.12,1.0,400,0.0012823630610212136,3.888743511676454e-08,0.1261551083942425,67,3
4,0.12,1.0,400,0.0013374979492598554,4.010089682111029e-08,0.13086234385654502,73,3
5,0.12,1.0,400,0.0015411378763038872,4.526650734525071e-08,0.15005738250899575,94,3
6,0.12,1.0,400,0.0014960426950889865,4.39736663375656e-08,0.14623010424449925,74,4
7,0.12,1.0,400,0.0012395577301427315,3.806279427023932e-08,0.1218625671894734,61,2
8,0.12,1.0,400,0.0013204416144248993,3.994389541409074e-08,0.12970694885926518,62,4
9,0.12,1.0,400,0.0013981213883596548,4.183800663139491e-08,0.13687257088885854,73,4
10,0.12,1.0,400,0.00149188953473385,4.3504842719643196e-08,0.14658456337617262,76,3
11,0.12,1.0,400,0.0014133674118437655,4.229272667083601e-08,0.13635189068934,75,3
12,0.12,1.0,400,0.0011601727625475027,3.604158980589443e-08,0.11383278779015771,55,2
13,0.12,1.0,400,0.0013706254154733943,4.085753153606392e-08,0.1349972339198653,71,3
14,0.12,1.0,400,0.0011338449594734516,3.52147377933628e-08,0.11199624368537109,49,1
15,0.12,1.0,400,0.0012783026153482936,3.8889892275758966e-08,0.12552242192224636,69,2
16,0.12,1.0,400,0.0014821293352083279,4.402211125451776e-08,0.14272345884277848,84,3
17,0.12,1.0,400,0.0015912344604570624,4.627401142196751e-08,0.15525685154547778,81,3
18,0.12,1.0,400,0.0012762877863158187,3.8947714636291435e-08,0.1252704268998088,70,2
19,0.12,1.0,400,0.001423521164963851,4.253426530767131e-08,0.13959470042743044,79,2
20,0.12,1.0,400,0.0012586170187899037,3.81999847751368e-08,0.12396931944729367,65,3
21,0.12,1.0,400,0.0013757713442397752,4.1426209443531254e-08,0.13308357782785257,79,3
22,0.12,1.0,400,0.0015234159573661425,4.5115066566621875e-08,0.1476479739578856,86,4
23,0.12,1.0,400,0.0013931637038249243,4.158538999744722e-08,0.13675686359761238,79,3
24,0.12,1.0,400,0.0013279929350225948,4.02058673245446e-08,0.12962875329115764,69,2
25,0.12,1.0,400,0.0012683863666328103,3.86587998743202e-08,0.12493245607949277,62,2
26,0.12,1.0,400,0.001457323759438679,4.320443995275382e-08,0.14262970139239525,82,4
27,0.12,1.0,400,0.0014409957714445517,4.3053806038820923e-08,0.13861627965733225,87,2
28,0.12,1.0,400,0.0014122471827353893,4.2098177774657024e-08,0.13780483360159687,77,5
29,0.12,1.0,400,0.001377955505116442,4.098727882885245e-08,0.13595295147708084,72,3
