index,length,axfold,radfold,surface,volume,Jv,i0,i1
0,0.08,1.0,50,0.0010074725791428016,2.636345570513855e-08,0.01482935264141644,59,0
1,0.08,1.0,100,0.0010074725791428016,2.636345570513855e-08,0.029115816677359407,59,0
2,0.08,1.0,150,0.0010074725791428016,2.636345570513855e-08,0.04289121727090701,59,0
3,0.08,1.0,200,0.0010074725791428016,2.636345570513855e-08,0.0561848654316254,59,0
4,0.08,1.0,250,0.0010074725791428016,2.636345570513855e-08,0.06902380495543847,59,0
5,0.08,1.0,300,0.0010074725791428016,2.636345570513855e-08,0.08143303060311868,59,0
6,0.08,1.0,350,0.0010074725791428016,2.636345570513855e-08,0.0934356813677942,59,0
7,0.08,1.0,400,0.0010074725791428016,2.636345570513855e-08,0.10505321210233694,59,0
8,0.08,1.0,450,0.0010074725791428016,2.636345570513855e-08,0.11630554629440121,59,0
9,0.08,1.0,500,0.0010074725791428016,2.636345570513855e-08,0.1272112123727532,59,0
10,0.08,1.0,550,0.0010074725791428016,2.636345570513855e-08,0.1377874655892425,59,0
11,0.08,1.0,600,0.0010074725791428016,2.636345570513855e-08,0.1480503972349491,59,0
12,0.08,1.0,650,0.0010074725791428016,2.636345570513855e-08,0.15801503270752545,59,0
13,0.08,1.0,700,0.0010074725791428016,2.636345570513855e-08,0.16769541974190424,59,0
14,0.08,1.0,750,0.0010074725791428016,2.636345570513855e-08,0.17710470794247754,59,0
15,0.08,1.0,800,0.0010074725791428016,2.636345570513855e-08,0.18625522060628416,59,0
16,0.08,1.0,850,0.0010074725791428016,2.636345570513855e-08,0.19515851969975173,59,0
17,0.08,1.0,900,0.0010074725791428016,2.636345570513855e-08,0.20382546474262023,59,0
18,0.08,1.0,950,0.0010074725791428016,2.636345570513855e-08,0.21226626625896902,59,0
19,0.08,1.0,1000,0.0010074725791428016,2.636345570513855e-08,0.220490534374616,59,0
20,0.08,1.0,1050,0.0010074725791428016,2.636345570513855e-08,0.22850732307031665,59,0
21,0.08,1.0,1100,0.0010074725791428016,2.636345570513855e-08,0.2363251705397796,59,0
22,0.08,1.0,1150,0.0010074725791428016,2.636345570513855e-08,0.24395213604908683,59,0
23,0.08,1.0,1200,0.0010074725791428016,2.636345570513855e-08,0.2513958336484116,59,0
24,0.08,1.0,1250,0.0010074725791428016,2.636345570513855e-08,0.2586634630471273,59,0
25,0.08,1.0,1300,0.0010074725791428016,2.636345570513855e-08,0.26576183792862906,59,0
26,0.08,1.0,1350,0.0010074725791428016,2.636345570513855e-08,0.2726974119507284,59,0
27,0.08,1.0,1400,0.0010074725791428016,2.636345570513855e-08,0.2794763026507351,59,0
28,0.08,1.0,1450,0.0010074725791428016,2.636345570513855e-08,0.28610431345088644,59,0
29,0.081,1.0,50,0.0009475283900735084,2.5275039744533936e-08,0.01395434228911216,51,0
30,0.081,1.0,100,0.0009475283900735084,2.5275039744533936e-08,0.027411713977489316,51,0
31,0.081,1.0,150,0.0009475283900735084,2.5275039744533936e-08,0.04040061449083727,51,0
32,0.081,1.0,200,0.0009475283900735084,2.5275039744533936e-08,0.052947337643511026,51,0
33,0.081,1.0,250,0.0009475283900735084,2.5275039744533936e-08,0.06507618403783255,51,0
34,0.081,1.0,300,0.0009475283900735084,2.5275039744533936e-08,0.0768096491912745,51,0
35,0.081,1.0,350,0.0009475283900735084,2.5275039744533936e-08,0.0881685905818062,51,0
36,0.081,1.0,400,0.0009475283900735084,2.5275039744533936e-08,0.09917237632996562,51,0
37,0.081,1.0,450,0.0009475283900735084,2.5275039744533936e-08,0.1098390178416497,51,0
38,0.081,1.0,500,0.0009475283900735084,2.5275039744533936e-08,0.12018528840445608,51,0
39,0.081,1.0,550,0.0009475283900735084,2.5275039744533936e-08,0.13022682945150246,51,0
40,0.081,1.0,600,0.0009475283900735084,2.5275039744533936e-08,0.13997824597098804,51,0
41,0.081,1.0,650,0.0009475283900735084,2.5275039744533936e-08,0.14945319234004426,51,0
42,0.081,1.0,700,0.0009475283900735084,2.5275039744533936e-08,0.1586644496915309,51,0
43,0.081,1.0,750,0.0009475283900735084,2.5275039744533936e-08,0.16762399577770787,51,0
44,0.081,1.0,800,0.0009475283900735084,2.5275039744533936e-08,0.1763430681708165,51,0
45,0.081,1.0,850,0.0009475283900735084,2.5275039744533936e-08,0.18483222153448037,51,0
46,0.081,1.0,900,0.0009475283900735084,2.5275039744533936e-08,0.19310137960853715,51,0
47,0.081,1.0,950,0.0009475283900735084,2.5275039744533936e-08,0.2011598824712297,51,0
48,0.081,1.0,1000,0.0009475283900735084,2.5275039744533936e-08,0.20901652957475672,51,0
49,0.081,1.0,1050,0.0009475283900735084,2.5275039744533936e-08,0.21667961899126542,51,0
50,0.081,1.0,1100,0.0009475283900735084,2.5275039744533936e-08,0.2241569832552771,51,0
51,0.081,1.0,1150,0.0009475283900735084,2.5275039744533936e-08,0.23145602214410044,51,0
52,0.081,1.0,1200,0.0009475283900735084,2.5275039744533936e-08,0.23858373269898778,51,0
53,0.081,1.0,1250,0.0009475283900735084,2.5275039744533936e-08,0.24554673675592764,51,0
54,0.081,1.0,1300,0.0009475283900735084,2.5275039744533936e-08,0.2523513062253065,51,0
55,0.081,1.0,1350,0.0009475283900735084,2.5275039744533936e-08,0.25900338633367803,51,0
56,0.081,1.0,1400,0.0009475283900735084,2.5275039744533936e-08,0.2655086170179696,51,0
57,0.081,1.0,1450,0.0009475283900735084,2.5275039744533936e-08,0.27187235264235715,51,0
58,0.08199999999999999,1.0,50,0.0008366018322358701,2.3158851825657596e-08,0.012335153960086663,42,0
59,0.08199999999999999,1.0,100,0.0008366018322358701,2.3158851825657596e-08,0.02425846393419819,42,0
60,0.08199999999999999,1.0,150,0.0008366018322358701,2.3158851825657596e-08,0.03579242818530809,42,0
61,0.08199999999999999,1.0,200,0.0008366018322358701,2.3158851825657596e-08,0.046957873604539645,42,0
62,0.08199999999999999,1.0,250,0.0008366018322358701,2.3158851825657596e-08,0.05777411094708683,42,0
63,0.08199999999999999,1.0,300,0.0008366018322358701,2.3158851825657596e-08,0.06825907290313499,42,0
64,0.08199999999999999,1.0,350,0.0008366018322358701,2.3158851825657596e-08,0.07842943719182925,42,0
65,0.08199999999999999,1.0,400,0.0008366018322358701,2.3158851825657596e-08,0.08830073655205478,42,0
66,0.08199999999999999,1.0,450,0.0008366018322358701,2.3158851825657596e-08,0.09788745723948293,42,0
67,0.08199999999999999,1.0,500,0.0008366018322358701,2.3158851825657596e-08,0.10720312741639144,42,0
68,0.08199999999999999,1.0,550,0.0008366018322358701,2.3158851825657596e-08,0.1162603966320297,42,0
69,0.08199999999999999,1.0,600,0.0008366018322358701,2.3158851825657596e-08,0.12507110743109198,42,0
70,0.08199999999999999,1.0,650,0.0008366018322358701,2.3158851825657596e-08,0.13364635999144311,42,0
71,0.08199999999999999,1.0,700,0.0008366018322358701,2.3158851825657596e-08,0.14199657057565154,42,0
72,0.08199999999999999,1.0,750,0.0008366018322358701,2.3158851825657596e-08,0.15013152448119443,42,0
73,0.08199999999999999,1.0,800,0.0008366018322358701,2.3158851825657596e-08,0.15806042408840024,42,0
74,0.08199999999999999,1.0,850,0.0008366018322358701,2.3158851825657596e-08,0.1657919325315116,42,0
75,0.08199999999999999,1.0,900,0.0008366018322358701,2.3158851825657596e-08,0.17333421345450878,42,0
76,0.08199999999999999,1.0,950,0.0008366018322358701,2.3158851825657596e-08,0.18069496725825013,42,0
77,0.08199999999999999,1.0,1000,0.0008366018322358701,2.3158851825657596e-08,0.18788146419774257,42,0
78,0.08199999999999999,1.0,1050,0.0008366018322358701,2.3158851825657596e-08,0.19490057464675925,42,0
79,0.08199999999999999,1.0,1100,0.0008366018322358701,2.3158851825657596e-08,0.20175879681087763,42,0
80,0.08199999999999999,1.0,1150,0.0008366018322358701,2.3158851825657596e-08,0.20846228213840395,42,0
81,0.08199999999999999,1.0,1200,0.0008366018322358701,2.3158851825657596e-08,0.21501685865103326,42,0
82,0.08199999999999999,1.0,1250,0.0008366018322358701,2.3158851825657596e-08,0.22142805239182617,42,0
83,0.08199999999999999,1.0,1300,0.0008366018322358701,2.3158851825657596e-08,0.227701107166838,42,0
84,0.08199999999999999,1.0,1350,0.0008366018322358701,2.3158851825657596e-08,0.23384100273801597,42,0
85,0.08199999999999999,1.0,1400,0.0008366018322358701,2.3158851825657596e-08,0.23985247160842665,42,0
86,0.08199999999999999,1.0,1450,0.0008366018322358701,2.3158851825657596e-08,0.24574001452634342,42,0
87,0.08299999999999999,1.0,50,0.0005783230367332231,1.7988567649118158e-08,0.008550800317961408,25,0
88,0.08299999999999999,1.0,100,0.0005783230367332231,1.7988567649118158e-08,0.016861635210489747,25,0
89,0.08299999999999999,1.0,150,0.0005783230367332231,1.7988567649118158e-08,0.0249440678598197,25,0
90,0.08299999999999999,1.0,200,0.0005783230367332231,1.7988567649118158e-08,0.03280888660132218,25,0
91,0.08299999999999999,1.0,250,0.0005783230367332231,1.7988567649118158e-08,0.04046617075139431,25,0
92,0.08299999999999999,1.0,300,0.0005783230367332231,1.7988567649118158e-08,0.04792534971591478,25,0
93,0.08299999999999999,1.0,350,0.0005783230367332231,1.7988567649118158e-08,0.05519525617478217,25,0
94,0.08299999999999999,1.0,400,0.0005783230367332231,1.7988567649118158e-08,0.062284174031507884,25,0
95,0.08299999999999999,1.0,450,0.0005783230367332231,1.7988567649118158e-08,0.0691998817261171,25,0
96,0.08299999999999999,1.0,500,0.0005783230367332231,1.7988567649118158e-08,0.07594969143219729,25,0
97,0.08299999999999999,1.0,550,0.0005783230367332231,1.7988567649118158e-08,0.08254048459261405,25,0
98,0.08299999999999999,1.0,600,0.0005783230367332231,1.7988567649118158e-08,0.08897874419155129,25,0
99,0.08299999999999999,1.0,650,0.0005783230367332231,1.7988567649118158e-08,0.09527058411153938,25,0
100,0.08299999999999999,1.0,700,0.0005783230367332231,1.7988567649118158e-08,0.10142177588185868,25,0
101,0.08299999999999999,1.0,750,0.0005783230367332231,1.7988567649118158e-08,0.10743777308820286,25,0
102,0.08299999999999999,1.0,800,0.0005783230367332231,1.7988567649118158e-08,0.11332373368172435,25,0
103,0.08299999999999999,1.0,850,0.0005783230367332231,1.7988567649118158e-08,0.11908454039810175,25,0
104,0.08299999999999999,1.0,900,0.0005783230367332231,1.7988567649118158e-08,0.1247248194732342,25,0
105,0.08299999999999999,1.0,950,0.0005783230367332231,1.7988567649118158e-08,0.130248957821226,25,0
106,0.08299999999999999,1.0,1000,0.0005783230367332231,1.7988567649118158e-08,0.1356611188220368,25,0
107,0.08299999999999999,1.0,1050,0.0005783230367332231,1.7988567649118158e-08,0.14096525685005953,25,0
108,0.08299999999999999,1.0,1100,0.0005783230367332231,1.7988567649118158e-08,0.1461651306608377,25,0
109,0.08299999999999999,1.0,1150,0.0005783230367332231,1.7988567649118158e-08,0.1512643157406635,25,0
110,0.08299999999999999,1.0,1200,0.0005783230367332231,1.7988567649118158e-08,0.15626621571291183,25,0
111,0.08299999999999999,1.0,1250,0.0005783230367332231,1.7988567649118158e-08,0.16117407288524643,25,0
112,0.08299999999999999,1.0,1300,0.0005783230367332231,1.7988567649118158e-08,0.16599097801330573,25,0
113,0.08299999999999999,1.0,1350,0.0005783230367332231,1.7988567649118158e-08,0.17071987934891986,25,0
114,0.08299999999999999,1.0,1400,0.0005783230367332231,1.7988567649118158e-08,0.17536359103410373,25,0
115,0.08299999999999999,1.0,1450,0.0005783230367332231,1.7988567649118158e-08,0.1799248008961783,25,0
116,0.08399999999999999,1.0,50,0.0005750672786025965,1.788837594165241e-08,0.008503412484652377,24,0
117,0.08399999999999999,1.0,100,0.0005750672786025965,1.788837594165241e-08,0.01676963584470314,24,0
118,0.08399999999999999,1.0,150,0.0005750672786025965,1.788837594165241e-08,0.024810062600683927,24,0
119,0.08399999999999999,1.0,200,0.0005750672786025965,1.788837594165241e-08,0.03263532338728467,24,0
120,0.08399999999999999,1.0,250,0.0005750672786025965,1.788837594165241e-08,0.04025535159604542,24,0
121,0.08399999999999999,1.0,300,0.0005750672786025965,1.788837594165241e-08,0.047679441425608385,24,0
122,0.08399999999999999,1.0,350,0.0005750672786025965,1.788837594165241e-08,0.05491630011945977,24,0
123,0.08399999999999999,1.0,400,0.0005750672786025965,1.788837594165241e-08,0.061974095066695295,24,0
124,0.08399999999999999,1.0,450,0.0005750672786025965,1.788837594165241e-08,0.06886049635245063,24,0
125,0.08399999999999999,1.0,500,0.0005750672786025965,1.788837594165241e-08,0.07558271526876814,24,0
126,0.08399999999999999,1.0,550,0.0005750672786025965,1.788837594165241e-08,0.08214753923167926,24,0
127,0.08399999999999999,1.0,600,0.0005750672786025965,1.788837594165241e-08,0.08856136349453765,24,0
128,0.08399999999999999,1.0,650,0.0005750672786025965,1.788837594165241e-08,0.09483021999961988,24,0
129,0.08399999999999999,1.0,700,0.0005750672786025965,1.788837594165241e-08,0.10095980366855825,24,0
130,0.08399999999999999,1.0,750,0.0005750672786025965,1.788837594165241e-08,0.10695549639639017,24,0
131,0.08399999999999999,1.0,800,0.0005750672786025965,1.788837594165241e-08,0.11282238898285572,24,0
132,0.08399999999999999,1.0,850,0.0005750672786025965,1.788837594165241e-08,0.11856530120763448,24,0
133,0.08399999999999999,1.0,900,0.0005750672786025965,1.788837594165241e-08,0.12418880023263894,24,0
134,0.08399999999999999,1.0,950,0.0005750672786025965,1.788837594165241e-08,0.12969721749394403,24,0
135,0.08399999999999999,1.0,1000,0.0005750672786025965,1.788837594165241e-08,0.13509466422799657,24,0
136,0.08399999999999999,1.0,1050,0.0005750672786025965,1.788837594165241e-08,0.14038504576094235,24,0
137,0.08399999999999999,1.0,1100,0.0005750672786025965,1.788837594165241e-08,0.14557207467612637,24,0
138,0.08399999999999999,1.0,1150,0.0005750672786025965,1.788837594165241e-08,0.15065928296258763,24,0
139,0.08399999999999999,1.0,1200,0.0005750672786025965,1.788837594165241e-08,0.15565003323669363,24,0
140,0.08399999999999999,1.0,1250,0.0005750672786025965,1.788837594165241e-08,0.1605475291195138,24,0
141,0.08399999999999999,1.0,1300,0.0005750672786025965,1.788837594165241e-08,0.1653548248441788,24,0
142,0.08399999999999999,1.0,1350,0.0005750672786025965,1.788837594165241e-08,0.1700748341600405,24,0
143,0.08399999999999999,1.0,1400,0.0005750672786025965,1.788837594165241e-08,0.17471033859378063,24,0
144,0.08399999999999999,1.0,1450,0.0005750672786025965,1.788837594165241e-08,0.17926399512183255,24,0
145,0.08499999999999998,1.0,50,0.0005455993908392953,1.7216875063804597e-08,0.00807041512497651,23,0
146,0.08499999999999998,1.0,100,0.0005455993908392953,1.7216875063804597e-08,0.015920996765247195,23,0
147,0.08499999999999998,1.0,150,0.0005455993908392953,1.7216875063804597e-08,0.023562164409622798,23,0
148,0.08499999999999998,1.0,200,0.0005455993908392953,1.7216875063804597e-08,0.031003645470912014,23,0
149,0.08499999999999998,1.0,250,0.0005455993908392953,1.7216875063804597e-08,0.038254533814393574,23,0
150,0.08499999999999998,1.0,300,0.0005455993908392953,1.7216875063804597e-08,0.04532334232624272,23,0
151,0.08499999999999998,1.0,350,0.0005455993908392953,1.7216875063804597e-08,0.052218050226563666,23,0
152,0.08499999999999998,1.0,400,0.0005455993908392953,1.7216875063804597e-08,0.058946145737382306,23,0
