distance_from_base_(mm)	lateral_root_length_(mm)	order
9.15	76.16	1
10.31	61.31	1
10.99	61.11	1
11.89	58.84	1
12.4	50.75	1
12.9	45.88	1
13.6	10.33	1
14.19	59.75	1
15.43	43.83	1
16.86	78.25	1
17.15	68.71	1
17.78	0.13	1
18.31	85.6	1
19.53	73.73	1
19.87	68.49	1
20.57	56.98	1
21.43	3.6	1
21.68	35.05	1
23.13	1.41	1
24.39	0.4	1
26.34	0.22	1
29.88	0.57	1
31.52	0.93	1
33.05	2.35	1
34.52	2.8	1
38.24	0.88	1
74.6	0.0	1
1.65	10.23	1-1
5.35	32.17	1-1
6.67	23.91	1-1
9.49	12.01	1-1
9.8	15.36	1-1
11.23	6.7	1-1
13.78	16.31	1-1
14.93	18.88	1-1
15.17	17.52	1-1
19.0	20.63	1-1
21.3	10.84	1-1
21.95	13.31	1-1
24.12	9.74	1-1
24.74	8.29	1-1
27.63	7.82	1-1
28.25	4.17	1-1
31.11	5.15	1-1
33.4	4.08	1-1
33.64	2.69	1-1
34.98	3.9	1-1
36.52	2.68	1-1
39.31	1.4	1-1
40.85	0.36	1-1
41.66	0.04	1-1
42.75	0.5	1-1
45.5	0.29	1-1
47.88	0.23	1-1
49.74	0.18	1-1
50.91	0.23	1-1
76.16	0.0	1-1
4.78	22.56	1-2
7.2	8.59	1-2
8.07	3.29	1-2
8.62	19.22	1-2
9.47	13.12	1-2
11.04	19.4	1-2
14.97	12.15	1-2
17.68	16.39	1-2
18.49	16.12	1-2
20.51	10.93	1-2
21.13	8.19	1-2
23.12	1.43	1-2
25.24	4.37	1-2
28.82	2.51	1-2
29.63	5.69	1-2
31.09	3.43	1-2
32.61	4.5	1-2
33.37	1.71	1-2
35.48	4.44	1-2
37.5	0.68	1-2
38.03	0.84	1-2
38.77	2.29	1-2
39.74	1.4	1-2
42.14	1.21	1-2
43.2	0.34	1-2
44.2	0.44	1-2
45.64	0.09	1-2
47.64	0.13	1-2
61.31	0.0	1-2
0.53	3.37	1-3
3.74	6.78	1-3
4.1	1.09	1-3
4.86	1.09	1-3
6.47	5.18	1-3
7.96	4.52	1-3
10.71	5.65	1-3
13.08	7.22	1-3
15.82	1.69	1-3
16.16	0.2	1-3
17.08	2.49	1-3
19.16	0.31	1-3
20.97	0.83	1-3
22.49	0.37	1-3
24.12	0.2	1-3
25.95	0.15	1-3
27.14	0.13	1-3
