distance_from_base_(mm)	lateral_root_length_(mm)	order
8.31	67.14	1
8.54	45.45	1
8.73	46.44	1
8.83	25.8	1
9.02	69.75	1
9.32	68.62	1
10.05	54.79	1
10.29	74.23	1
11.09	11.26	1
12.15	19.74	1
13.01	45.75	1
13.31	44.54	1
13.57	52.51	1
14.05	58.77	1
15.21	1.15	1
15.65	57.5	1
15.99	55.7	1
16.28	58.86	1
17.52	5.61	1
19.49	43.05	1
21.28	2.81	1
23.32	37.91	1
25.99	54.27	1
26.36	0.53	1
27.86	48.14	1
29.97	40.63	1
33.22	52.81	1
36.53	26.2	1
37.34	22.52	1
38.04	33.85	1
39.93	31.09	1
41.98	4.64	1
42.92	0.96	1
44.17	46.15	1
46.83	39.39	1
47.61	0.24	1
49.3	37.62	1
49.7	5.37	1
51.58	0.24	1
53.87	0.16	1
54.84	19.7	1
55.74	9.58	1
57.22	5.35	1
57.51	2.37	1
60.23	0.1	1
62.19	0.09	1
80.01	0	1
16.68	1.19	1-1
18.23	3.68	1-1
20.95	0.32	1-1
22.39	0.32	1-1
25.3	0.35	1-1
27.25	0.14	1-1
31.22	0.85	1-1
33.05	0.19	1-1
34.28	1.15	1-1
38.78	7.96	1-1
41.48	4.17	1-1
43.64	4.11	1-1
43.78	2.45	1-1
48.64	0.94	1-1
49.41	2.18	1-1
52.51	0.99	1-1
54.38	1.29	1-1
57.29	0.32	1-1
59.08	0.19	1-1
78.78	0	1-1
2.02	0.61	1-2
3.79	4.15	1-2
7.29	18.31	1-2
9.09	15.98	1-2
13.73	9.08	1-2
16.27	4.73	1-2
17.43	2.61	1-2
20.97	0.81	1-2
22.66	1.05	1-2
23.49	0.52	1-2
24.68	0.76	1-2
25.63	0.39	1-2
44.73	0	1-2
1.83	2.94	1-3
4.08	0.36	1-3
5.51	1.51	1-3
8.24	2.49	1-3
11.14	0.79	1-3
13.01	2.88	1-3
15.05	1.24	1-3
16.28	0.64	1-3
18.76	0.98	1-3
45.98	0	1-3
12.06	11.52	1-4
25.74	0	1-4
1.64	1.56	1-5
5.6	4.3	1-5
10.25	0.39	1-5
11.3	0.4	1-5
16.6	0.84	1-5
19.87	1.2	1-5
22.74	1.73	1-5
26.1	3.44	1-5
27.66	8.09	1-5
30.57	8.08	1-5
31.8	7.08	1-5
32.59	9.62	1-5
37.07	1.04	1-5
38.22	0.99	1-5
40.9	2.16	1-5
42.69	1.37	1-5
42.92	0.65	1-5
45.3	0.73	1-5
48.13	0.66	1-5
49.68	0.33	1-5
68.61	0	1-5
1.92	1.18	1-6
3.19	0.74	1-6
4.42	1.26	1-6
5.05	2.09	1-6
9.73	1.03	1-6
12.12	2.11	1-6
16.64	4.2	1-6
19.17	2.27	1-6
21.64	8.13	1-6
25.41	3.19	1-6
26.68	1.96	1-6
27.73	6.22	1-6
28.72	6.93	1-6
29.17	15.07	1-6
29.44	8.14	1-6
32.08	1.46	1-6
34.81	2.56	1-6
35.75	2.6	1-6
38.7	2.38	1-6
39.97	1.21	1-6
40.6	1.11	1-6
41.31	0.18	1-6
42.83	1.58	1-6
45.67	0.25	1-6
68.51	0	1-6
3.41	8.57	1-7
5.9	0.41	1-7
7.33	0.89	1-7
11.38	0.32	1-7
16.78	3.4	1-7
19.05	2.15	1-7
22.3	1.27	1-7
23.05	0.24	1-7
25.8	0.38	1-7
28.83	0.89	1-7
29.88	0.89	1-7
32.41	0.09	1-7
34.27	0.27	1-7
35.31	0.19	1-7
54.3	0	1-7
5.31	0.36	1-8
6.78	0.91	1-8
9.02	0.49	1-8
11.74	0.37	1-8
13.78	0.73	1-8
14.91	0.32	1-8
15.94	1.99	1-8
18.58	2.28	1-8
21.23	3.87	1-8
23.73	0.35	1-8
24.91	18.18	1-8
28.11	16.99	1-8
28.34	5.09	1-8
30.42	8.9	1-8
32.14	3.59	1-8
33.69	2.92	1-8
36.37	3.27	1-8
39.26	2.67	1-8
40.66	0.53	1-8
41.56	2.17	1-8
44.35	1.64	1-8
46.39	0.23	1-8
48.07	0.06	1-8
51.17	0.14	1-8
73.62	0	1-8
7.53	0.23	1-10
19.53	0	1-10
0.26	4.5	1-11
5.15	0.61	1-11
5.47	0.13	1-11
13.41	0.98	1-11
19.91	1.54	1-11
22.62	0.39	1-11
25	0.41	1-11
26.33	0.59	1-11
27.06	0.68	1-11
29.27	0.23	1-11
30.87	0.15	1-11
33.53	0.35	1-11
45.07	0	1-11
6.42	0.19	1-12
8.95	0.35	1-12
11.77	0.5	1-12
15.38	1.08	1-12
18.42	2.97	1-12
19.95	3.9	1-12
23.66	1.95	1-12
44.64	0	1-12
1.86	1.26	1-13
2.21	0.86	1-13
7.73	0.54	1-13
15.88	0.1	1-13
17.3	3.24	1-13
19.83	1.44	1-13
20.25	5.64	1-13
27.55	0.9	1-13
30.88	0.29	1-13
52.26	0	1-13
2.42	0.5	1-14
4.66	0.33	1-14
7.94	0.31	1-14
10.25	0.27	1-14
12.09	0.27	1-14
15.11	0.82	1-14
17.27	0.6	1-14
22.87	0.23	1-14
26.03	7.9	1-14
30.23	1.02	1-14
31.93	1.23	1-14
33.85	1.71	1-14
35.18	0.74	1-14
39.76	0.14	1-14
58.31	0	1-14
2.42	0.5	1-16
4.66	0.33	1-16
7.94	0.31	1-16
10.25	0.27	1-16
12.09	0.27	1-16
15.11	0.82	1-16
17.27	0.6	1-16
22.87	0.23	1-16
26.03	7.9	1-16
30.23	1.02	1-16
31.93	1.23	1-16
33.85	1.71	1-16
35.18	0.74	1-16
39.76	0.14	1-16
58.31	0	1-16
4.31	0.29	1-17
9.37	0.7	1-17
13.64	0.86	1-17
15.22	11.6	1-17
16.82	13.74	1-17
19.59	8.92	1-17
23.47	0.99	1-17
27.06	1.13	1-17
29.18	0.7	1-17
30.65	1.21	1-17
32.28	1	1-17
33.93	0.26	1-17
35.58	0.13	1-17
55.26	0	1-17
2.93	0.46	1-18
4.84	0.36	1-18
6.24	0.85	1-18
8.74	0.68	1-18
15.77	8.35	1-18
17.07	5.4	1-18
18.33	2.22	1-18
20.15	2.39	1-18
23.84	2.15	1-18
25.03	1.49	1-18
26.4	1.21	1-18
30.42	2.37	1-18
33.37	1.12	1-18
36.89	0.14	1-18
39.44	0.13	1-18
47.57	0.13	1-18
58.64	0	1-18
0.82	0.43	1-20
2.59	0.54	1-20
7.99	2.26	1-20
10.22	1.97	1-20
13.48	1.79	1-20
15.65	1.05	1-20
16.56	0.99	1-20
42.87	0	1-20
16.14	0.32	1-22
38.29	0	1-22
4.76	0.18	1-23
7.04	1.17	1-23
7.75	0.23	1-23
12.68	20.98	1-23
14.79	6.43	1-23
17.04	4.81	1-23
20.11	2.23	1-23
20.91	2.17	1-23
24.32	0.66	1-23
24.75	0.79	1-23
27.09	1.06	1-23
28.14	1.18	1-23
29.75	0.38	1-23
31.4	0.33	1-23
54.15	0	1-23
1.64	0.48	1-25
13.17	3.85	1-25
14.31	2.86	1-25
16.71	2.21	1-25
21.48	1.59	1-25
27.31	0.42	1-25
28	0.39	1-25
47.84	0	1-25
3.16	0.2	1-26
5.83	0.49	1-26
8.72	0.51	1-26
13.84	0.5	1-26
16.35	1.16	1-26
27.61	1.38	1-26
39.89	0	1-26
0.59	0.23	1-27
4.31	1.18	1-27
7.33	1.03	1-27
10.99	0.33	1-27
11.49	0.13	1-27
13.46	0.72	1-27
17.3	0.77	1-27
18.52	2.2	1-27
22.19	1.3	1-27
25.74	0.49	1-27
52.79	0	1-27
8.98	0.32	1-30
11.15	0.8	1-30
13.44	0.82	1-30
33.62	0	1-30
5.79	0.77	1-31
9.58	1.27	1-31
11.15	0.35	1-31
16.33	0.2	1-31
30.81	0	1-31
3.32	0.14	1-34
4.05	0.18	1-34
5.14	0.6	1-34
6.24	0.45	1-34
11.73	0.65	1-34
13.07	0.24	1-34
14.63	0.33	1-34
16.29	0.36	1-34
17.44	0.36	1-34
18.74	0.99	1-34
21.01	0.79	1-34
23.19	0.09	1-34
24.78	0.27	1-34
26.95	0.18	1-34
45.9	0	1-34
2.81	0.53	1-35
4.11	1.95	1-35
8.38	0.97	1-35
12.33	1.03	1-35
13.42	1.32	1-35
39.04	0	1-35

