distance_from_base_(mm)	lateral_root_length_(mm)	order
1.93	66.788	1
3.86	62.195	1
5.79	47.801	1
7.72	40.599	1
9.65	27.86	1
11.58	25.34	1
13.51	17.83	1
15.44	13.71	1
16.35	31.5	1
19.27	26.01	1
21.34	24.2	1
23.36	20.871	1
25.27	12.86	1
29.44	1.51	1
31.95	9.36	1
32.28	0.78	1
35.2	3.61	1
35.46	1.84	1
37.63	1.44	1
39.459	1.02	1
40.37	11.02	1
42.193	10.56	1
44.14	9.32	1
46.692	17.56	1
48.34	11.53	1
48.974	1.69	1
51.203	8.6	1
53.146	5.642	1
56.617	7.03	1
57.177	1.37	1
61.017	0.83	1
61.527	6.01	1
63.947	0.96	1
66.747	2.96	1
68.487	1.08	1
73.868	0.703	1
75.607	0.496	1
76.7	0.389	1
79.028	0.171	1
103.949	0.0	1
13.87	2.27	1-1
17.84	4.21	1-1
21.29	1.05	1-1
23.87	2.53	1-1
66.788	0.0	1-1
11.24	0.42	1-3
16.89	0.34	1-3
47.801	0.0	1-3
9.81	0.56	1-4
40.599	0.0	1-4
3.86	0.29	1-9
9.48	0.42	1-9
31.34	0.0	1-9
2.61	0.74	1-10
10.58	0.63	1-10
25.97	0.0	1-10
2.594	0.203	1-11
23.995	0.0	1-11
1.945	0.396	1-12
4.845	0.755	1-12
20.864	0.0	1-12
