distance_from_base_(mm)	lateral_root_length_(mm)	order
25.408762	29.6199595	1
25.85594	32.720161	1
26.562316	29.3275646	1
27.776237	13.724958	1
29.496605	15.5944297	1
31.14591	17.711282	1
31.456869	11.656564	1
33.659072	15.6244777	1
34.767034	5.9043167	1
35.11531	7.9020778	1
37.001393	1.9823438	1
37.090752	10.367281	1
41.118917	4.618254	1
43.97638	6.0549134	1
46.58938	5.750675	1
46.59147	2.614628	1
47.8	0.5234331	1
51.5865362	3.6020297	1
53.632937	3.850287	1
56.2371454	12.663296	1
57.441088	6.7799425	1
57.524245	12.121452	1
58.023027	16.69451	1
58.146224	11.265031	1
58.194293	11.822926	1
60.104334	10.539451	1
60.137328	11.401684	1
61.278701	1.6863564	1
62.861316	10.101253	1
63.29755	4.5865366	1
63.448013	10.90196	1
63.485621	1.5161549	1
63.772915	6.3036954	1
64.186241	5.2839667	1
64.771987	8.0739945	1
65.699465	8.765371	1
65.931304	2.5156704	1
66.515636	3.3589405	1
67.366826	1.23732634	1
67.5522	3.1112945	1
67.589199	1.3906841	1
70.60533016	8.0502325	1
70.9842786	6.602541	1
72.050595	5.6352663	1
72.6340833	9.005931	1
73.3503657	6.6749966	1
74.0693992	1.8782951	1
74.2410433	3.4583285	1
75.0441575	5.7149297	1
75.802143	4.3696487	1
75.897776	5.899422	1
76.4751327	2.7046472	1
77.7020365	2.173823	1
79.018822	5.8572143	1
79.6099424	3.045552	1
79.742875	3.93215	1
80.749193	3.820649	1
81.862739	2.6569203	1
82.257665	2.751443	1
83.943765	0.7892685	1
85.165703	1.717534	1
86.923426	3.5382932	1
87.236123	4.9010274	1
88.52501	1.6626278	1
90.385072	2.5753698	1
90.842195	3.4487286	1
91.526597	2.2687	1
91.731725	1.20834	1
92.4756	2.9048783	1
93.041042	1.0641496	1
93.795254	2.7533707	1
94.087815	2.646348	1
94.311762	1.7297071	1
94.503217	1.4527088	1
95.627143	1.99713	1
96.370285	3.5811955	1
97.413623	0.58762006	1
97.646365	2.9596168	1
97.917132	2.250349	1
98.206418	2.2234768	1
99.252627	1.4291744	1
100.346251	1.675024	1
101.321964	0.6046781	1
101.560824	0.73895425	1
102.700542	2.3052256	1
102.850575	2.7019107	1
104.057379	2.53139	1
104.811032	1.2980892	1
105.064349	1.464182	1
105.415972	2.805396	1
106.279006	2.1241106	1
107.069952	1.362368	1
107.788182	1.2221068	1
110.4688625	2.7443373	1
110.5434048	1.893289	1
111.807583	2.5548255	1
112.425281	2.375012	1
115.265192	1.2806003	1
116.4293645	1.1313268	1
116.99009	2.3633794	1
119.51201	1.8804187	1
119.940678	1.7472498	1
120.814139	2.1085647	1
121.560484	1.9942604	1
122.811715	1.4548138	1
123.423455	1.6711636	1
124.594041	0.4735309	1
125.122114	1.9894497	1
125.641779	2.617191	1
127.432312	1.6582906	1
128.856832	1.1876986	1
129.549196	2.3975092	1
130.809526	1.4794907	1
135.97012	0.9988121	1
136.87199	0.51650446	1
137.01903	0.9794749	1
138.727898	1.3800006	1
139.734702	1.2490215	1
140.926099	1.0324214	1
141.153705	0.5225601	1
142.439551	0.1203091	1
148.841132	0.42635955	1
149.788144	0.5774876	1
150.398301	0.63290045	1
150.492245	0.2331828	1
152.83421	0.36682107	1
153.964822	0.5074355	1
154.951823	1.2427603	1
155.352233	0.39833527	1
159.895459	0.23260163	1
160.727373	0.5441939	1
161.829005	0.7291036	1
163.799149	0.69431834	1
164.814715	0.37281375	1
166.270449	0.41877158	1
167.011737	0.15779166	1
167.559556	0.54003567	1
168.786575	0.33860344	1
169.700517	0.45126613	1
298.663498	0.0	1
