arch,exp,Jbase,J1,J2,J3,J4,J5,J6,J7,J8,J9,lcut1,lcut2,lcut3,lcut4,lcut5,lcut6,lcut7,lcut8,lcut9
170426-full-archi-ch3g1,full,1.97E-02,,,,,,,,,,,,,,,,,,
170426-full-archi-ch4g1c,full,2.07E-02,,,,,,,,,,,,,,,,,,
hydroroot-1ter,full,4.52E-03,,,,,,,,,,,,,,,,,,
160212-3-col,full,9.50E-03,,,,,,,,,,,,,,,,,,
160212-4-col,full,9.88E-03,,,,,,,,,,,,,,,,,,
hydroroot-5,full,3.40E-03,,,,,,,,,,,,,,,,,,
hydroroot-7,full,1.38E-02,,,,,,,,,,,,,,,,,,
hydroroot-8,full,7.18E-03,,,,,,,,,,,,,,,,,,
200812-ybfb-col-2,full,2.96E-03,,,,,,,,,,,,,,,,,,
200721-ybfb-col-2,full,1.18E-02,,,,,,,,,,,,,,,,,,
160316#2,cut-n-flow,3.49E-02,3.74E-02,3.94E-02,4.42E-02,4.66E-02,4.93E-02,5.08E-02,6.30E-02,9.01E-02,,1.32E-01,1.21E-01,9.98E-02,8.49E-02,7.26E-02,6.08E-02,5.20E-02,4.25E-02,
2020-01-19-9h06,cut-n-flow,4.56E-03,5.00E-03,5.67E-03,6.01E-03,6.33E-03,6.64E-03,6.98E-03,,,,9.12E-02,7.67E-02,6.62E-02,5.68E-02,4.56E-02,3.71E-02,,,
15012020-1045,cut-n-flow,6.20E-03,6.50E-03,7.30E-03,9.10E-03,1.00E-02,1.08E-02,1.21E-02,1.55E-02,,,1.11E-01,9.16E-02,8.23E-02,7.08E-02,6.08E-02,5.34E-02,3.65E-02,,
200219-ybfb-col,cut-n-flow,5.24E-03,5.22E-03,5.68E-03,6.63E-03,8.81E-03,,,,,,1.20E-01,9.28E-02,7.30E-02,4.89E-02,,,,,
200619-ybfb-col-1,cut-n-flow,1.63E-02,1.67E-02,1.68E-02,1.89E-02,1.98E-02,,,,,,1.02E-01,7.34E-02,5.65E-02,4.85E-02,,,,,
200619-ybfb-col-2,cut-n-flow,3.42E-02,3.38E-02,3.53E-02,3.80E-02,4.40E-02,,,,,,1.12E-01,7.51E-02,6.05E-02,4.35E-02,,,,,
200702-ybfb-col-1,cut-n-flow,1.62E-02,1.74E-02,1.93E-02,2.11E-02,2.72E-02,,,,,,9.78E-02,7.50E-02,5.47E-02,3.33E-02,,,,,
200703-ybfb-col-2,cut-n-flow,5.32E-02,5.49E-02,6.06E-02,8.38E-02,,,,,,,1.01E-01,6.91E-02,4.64E-02,,,,,,
200703-ybfb-col-3,cut-n-flow,1.51E-02,1.70E-02,1.99E-02,2.22E-02,,,,,,,6.53E-02,4.30E-02,2.95E-02,,,,,,
200724-ybfb-col-1,cut-n-flow,1.80E-02,2.05E-02,2.43E-02,2.77E-02,3.47E-02,,,,,,1.18E-01,9.52E-02,7.54E-02,5.73E-02,,,,,
200619-ybfb-e11-2,cut-n-flow,3.82E-03,3.99E-03,3.96E-03,4.14E-03,,,,,,,1.04E-01,6.89E-02,4.47E-02,,,,,,
200703-ybfb-e11-3,cut-n-flow,3.50E-03,3.30E-03,4.29E-03,3.91E-03,,,,,,,5.12E-02,3.27E-02,2.22E-02,,,,,,
200721-ybfb-e11-2,cut-n-flow,2.03E-03,2.26E-03,2.46E-03,2.42E-03,,,,,,,8.03E-02,4.09E-02,2.90E-02,,,,,,
200724-ybfb-e11-2,cut-n-flow,4.20E-03,4.71E-03,4.78E-03,5.18E-03,5.30E-03,5.64E-03,,,,,1.02E-01,7.82E-02,6.25E-02,4.97E-02,4.05E-02,,,,
200812-ybfb-e11-3,cut-n-flow,1.10E-03,1.59E-03,1.33E-03,1.51E-03,,,,,,,7.17E-02,5.36E-02,3.86E-02,,,,,,
200619-ybfb-e15-1,cut-n-flow,6.09E-03,6.66E-03,7.20E-03,7.60E-03,8.32E-03,,,,,,1.17E-01,8.53E-02,6.23E-02,4.23E-02,,,,,
200619-ybfb-e15-2,cut-n-flow,6.82E-03,7.04E-03,7.35E-03,8.96E-03,9.07E-03,,,,,,9.70E-02,7.01E-02,4.88E-02,3.68E-02,,,,,
200703-ybfb-e15-3,cut-n-flow,6.34E-03,6.42E-03,6.81E-03,7.35E-03,,,,,,,5.43E-02,4.04E-02,2.97E-02,,,,,,
200721-ybfb-e15-1,cut-n-flow,2.66E-03,2.94E-03,3.12E-03,3.69E-03,,,,,,,7.10E-02,5.41E-02,4.17E-02,,,,,,
200721-ybfb-e15-2,cut-n-flow,4.38E-03,4.51E-03,5.37E-03,9.97E-03,,,,,,,6.62E-02,5.10E-02,3.91E-02,,,,,,
200812-ybfb-e15-1,cut-n-flow,1.54E-03,1.93E-03,2.03E-03,2.56E-03,,,,,,,6.43E-02,4.71E-02,3.71E-02,,,,,,
200812-ybfb-e15-3,cut-n-flow,5.47E-03,5.58E-03,5.75E-03,6.09E-03,,,,,,,6.15E-02,3.56E-02,2.97E-02,,,,,,
