arch,exp,P0,P-Jv0,J0,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,dP0,dP1,dP2,dP3,dP4,dP5,dP6,dP7,dP8,dP9,dP10,dP11,dP12,dP13,dP14
Exp01_P1,ctr,,-0.0548,0.01845,0.0553666666666667,0.0703666666666667,0.0987,0.122588888888889,,,,,,,,,,,0,0.098,0.146,0.198,0.295,,,,,,,,,,
Exp02_S5,ctr,,,0.0102527777777778,0.0341694444444444,0.0491694444444445,0.0663916666666667,0.0725027777777778,,,,,,,,,,,0,0.15667,0.23267,0.31467,0.34367,,,,,,,,,,
Exp02_S4,ctr,,,0.0501666666666667,0.0729444444444444,0.0893333333333333,0.0973888888888889,,,,,,,,,,,,0.158,0.235,0.317,0.344,,,,,,,,,,,
Exp02_P8,ctr,,,0.00719444444444444,0.0441666666666667,0.0666666666666667,0.0775,,,,,,,,,,,,0,0.15278,0.23178,0.31178,,,,,,,,,,,
Exp02_S8,ctr,,,0.0147194444444444,0.0952194444444445,0.133552777777778,0.163275,0.176886111111111,,,,,,,,,,,0,0.15686,0.23386,0.31486,0.34686,,,,,,,,,,
Exp02_P11,ctr,,,0.012093115942029,0.0703805555555555,0.089825,0.125936111111111,0.139825,0.145380555555556,,,,,,,,,,0,0.0933814956521603,0.14338149565216,0.19238149565216,0.24138149565216,0.29138149565216,,,,,,,,,
Exp03_P2,ctr,,-0.085,0.02483,0.0399,0.053,0.1091,0.158,0.2494,,,,,,,,,,0,0.0488,0.0955,0.198,0.344,0.494,,,,,,,,,
Exp03_P1-original,ctr,,,0.0225,0.0102,0.0321,0.0229,0.1026,0.1337,0.2403,,,,,,,,,0,0,0.0476,0.0955,0.1964,0.3434,0.4934,,,,,,,,
Exp03_P1-test,ctr,,,0.0225,0.0321,0.1026,0.1337,0.2403,,,,,,,,,,,0,0.0476,0.1964,0.3434,0.4934,,,,,,,,,,
Exp03_P1,ctr,,,0.0225,0.0321,0.1026,0.1337,0.2403,,,,,,,,,,,0,0.0476,0.1964,0.3434,0.4934,,,,,,,,,,
Exp03_P5-dp-croissant,150-150,,,-0.006983,-0.002528,-0.001695,-0.000806,0.0013889,0.00002777778,0.00772,0.010028,0.01742,,,,,,,0,0.0491,0.0953,0.148,0.195,0.297,0.494,0.594,0.792,,,,,,
Exp03_P5,150-150,0.274,,-0.006983,-0.001695,-0.002528,0.0013889,-0.000806,0.00772,0.00002777778,0.010028,0.01742,,,,,,,0,0.0953,0.0491,0.195,0.148,0.494,0.297,0.594,0.792,,,,,,
Exp03_S2,ctr,,,0.0077,0.0204,0.0339,0.0867,0.1034,0.1637,,,,,,,,,,0,0.0491,0.0953,0.199,0.344,0.494,,,,,,,,,
Exp03_S1,ctr,,,0.005175,0.021,0.03619,0.06619,0.10203,0.163134,,,,,,,,,,0,0.04805,0.09635,0.19735,0.34435,0.49435,,,,,,,,,
Exp03_S5-dp-croissant,150-150,,,-0.00939,-0.00146,0.00103,0.00244,0.00544,0.00379,0.01061,0.01239,0.0208,,,,,,,0,0.0486,0.0953,0.147,0.195,0.295,0.494,0.594,0.791,,,,,,
Exp03_S5-cylindre,150-150,,,-0.00939,0.00103,-0.00146,0.00544,0.00244,0.01061,0.00379,0.01239,0.0208,,,,,,,0,0.0953,0.0486,0.195,0.147,0.494,0.295,0.594,0.791,,,,,,
Exp03_S5,150-150,,,-0.00939,0.00103,-0.00146,0.00544,0.00244,0.01061,0.00379,0.01239,0.0208,,,,,,,0,0.0953,0.0486,0.195,0.147,0.494,0.295,0.594,0.791,,,,,,
Exp03_S5-02,150-150,,,-0.00146,0.00103,0.00244,0.00544,0.00379,0.01061,0.01239,0.0208,,,,,,,,0.0486,0.0953,0.147,0.195,0.295,0.494,0.594,0.791,,,,,,,
Exp03_P4,150-150,,,-0.00329416666666667,-0.00439444444444445,-0.00263611111111111,-0.00218611111111111,-0.000138888888888889,0.000833333333333334,0.00161111111111111,0.00569444444444444,0.00833333333333333,0.0169722222222222,,,,,,0,0,0.0513,0.0991,0.15,0.198,0.299,0.497,0.595,0.893,,,,,
Exp04_P7-original,150-150,,,-0.00296944444444444,0.00788888888888889,0.00469444444444444,0.0191388888888889,0.0075,0.0126666666666667,-0.00308611111111111,0.00138888888888889,-0.000666666666666666,0.001,,,,,,0,0.34,0.297,0.739,0.495,0.592,0.098,0.195,0.05,0.145,,,,,
Exp04_P7-dp-croissant,150-150,,,-0.00296944444444444,-0.000666666666666666,-0.00308611111111111,0.001,0.00138888888888889,0.00469444444444444,0.00788888888888889,0.0075,0.0126666666666667,0.0191388888888889,,,,,,0,0.05,0.098,0.145,0.195,0.297,0.34,0.495,0.592,0.739,,,,,
Exp04_P7,150-150,0.138,0.088,-0.00296944444444444,0.0191388888888889,0.0075,0.0126666666666667,-0.00308611111111111,0.00138888888888889,-0.000666666666666666,0.001,,,,,,,,0,0.739,0.495,0.592,0.098,0.195,0.05,0.145,,,,,,,
Exp04_P7-cylindre,150-150,,,-0.00296944444444444,0.00788888888888889,0.00469444444444444,0.0191388888888889,0.0075,0.0126666666666667,-0.00308611111111111,0.00138888888888889,-0.000666666666666666,0.001,,,,,,0,0.34,0.297,0.739,0.495,0.592,0.098,0.195,0.05,0.145,,,,,
Exp04_P4-one-offset,150-150,,,-0.00430555555555556,0.0110277777777778,0.00369444444444444,0.00647222222222222,-0.00734444444444445,-0.00294444444444444,-0.00513888888888889,-0.00263888888888889,,,,,,,,0,0.69281,0.49481,0.59181,0.09681,0.19481,0.04761,0.14481,,,,,,,
Exp04_P4-old-2021,150-150,,,0.00940740740740741,0.00524537037037037,0.00833333333333333,-0.000462962962962963,-0.00234722222222222,0.000462962962962963,-0.00306018518518518,,,,,,,,,0.69281,0.49481,0.59181,0.19481,0.04761,0.14481,0,,,,,,,,
Exp04_P4,150-150,0.217,,-0.00399537037037037,0.0027037037037037,0.001875,0.00524537037037037,0.00833333333333333,-0.000462962962962963,-0.00234722222222222,0.000462962962962963,-0.00306018518518518,,,,,,,0,0.34381,0.29681,0.495,0.59181,0.19481,0.04761,0.14481,,,,,,,
Exp04_S4-dp-croissant,150-150,,,0.00366388888888889,-0.000925,-0.00639166666666667,0.000441666666666667,0.0000722222222222222,0.000358333333333334,0.00505277777777778,0.00346944444444444,0.00508055555555556,0.00796944444444445,,,,,,0,0,0.04667,0.09567,0.14267,0.19267,0.34167,0.48867,0.58867,0.68667,,,,,
Exp04_S4-real,150-150,,,-0.00437222222222222,0.00505277777777778,0.00260833333333333,0.00796944444444445,0.00346944444444444,0.00508055555555556,-0.00101111111111111,0.000358333333333334,-0.00639166666666667,0.0000722222222222222,-0.000925,,,,,0,0.34167,0.29367,0.68667,0.48867,0.58867,0.09567,0.19267,0.04667,0.14267,0,,,,
Exp04_S4,150-150,,,-0.00437222222222222,0.00796944444444445,0.00346944444444444,0.00508055555555556,-0.00101111111111111,0.000358333333333334,0.0000722222222222222,-0.000925,,,,,,,,0,0.68667,0.48867,0.58867,0.09567,0.19267,0.14267,0,,,,,,,
Exp04_P2-old-2021,150-150,,,-0.00315555555555556,0.00196388888888889,0.0107888888888889,0.00437222222222222,0.00781666666666667,-0.00279444444444444,0.000233333333333333,-0.00290555555555556,0.000872222222222222,-0.00254444444444445,,,,,,0,0.337,0.7,0.496,0.592,0.0982,0.195,0.049,0.145,0,,,,,
Exp04_P2,150-150,0.305,,-0.0033979797979798,0.0014790404040404,0.0100616161616162,0.00340252525252525,0.00660454545454545,-0.00352676767676768,-0.00146363636363636,-0.00130959595959596,-0.00457979797979798,,,,,,,0,0.337,0.7,0.496,0.592,0.0982,0.195,0.145,0,,,,,,
Exp04_S6,ctr,,,0.00424444444444444,0.0132722222222222,0.01705,0.0233555555555556,0.0271888888888889,0.0566333333333333,0.0638555555555556,0.0455222222222222,0.0508,0.0605222222222222,,,,,,0,0.0489,0.0986,0.145,0.195,0.297,0.341,0.496,0.594,0.691,,,,,
Exp04_S7-all,150-150,,,-0.000194444444444444,0.00525,0.00125,0.00205555555555555,-0.00144444444444445,-0.000361111111111112,-0.00197222222222222,-0.000277777777777778,,,,,,,,0,0.74,0.494,0.591,0.097,0.194,0.05,0.145,,,,,,,
Exp04_S7,150-150,,,-0.000194444444444444,0.00525,0.00125,0.00205555555555555,-0.000361111111111112,-0.000277777777777778,,,,,,,,,,0,0.74,0.494,0.591,0.194,0.145,,,,,,,,,
Exp05_P1-full,150-150,,0.0106,-0.00124291666666667,0.000357083333333333,0.00230708333333333,0.00131541666666667,0.00514041666666667,0.00394597222222222,0.00791819444444444,0.00530708333333333,0.0101126388888889,0.00744597222222222,0.0126404166666667,0.00241819444444444,-0.00497069444444444,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.4,0.5,0.25,0,,
Exp05_P1,150-150,0.142,0.0106,-0.00124291666666667,0.000357083333333333,0.00230708333333333,0.00131541666666667,0.00514041666666667,0.00394597222222222,0.00791819444444444,0.00530708333333333,0.0101126388888889,0.00744597222222222,0.0126404166666667,0.00241819444444444,,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.4,0.5,0.25,,,
Exp05_S1,150-150,,,0.000833333333333333,0.00263888888888889,0.00408611111111111,0.00283055555555555,0.00583333333333333,0.00372222222222222,0.00777777777777778,0.00636111111111111,0.0103333333333333,0.00902777777777778,0.0114166666666667,0.00566666666666667,0.00230555555555555,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0.4,0.45,0.5,0.25,0,,
Exp05_P3-all,ctr,,,0.0211111111111111,0.0594444444444445,0.132222222222222,0.0958333333333333,0.2125,0.173333333333333,0.288055555555555,0.243055555555556,0.321388888888889,0.288055555555555,0.343611111111111,0.168333333333333,0.00611111111111111,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.4,0.5,0.25,0,,
Exp05_P3-11pts,ctr,,,0.0211111111111111,0.0594444444444445,0.132222222222222,0.0958333333333333,0.2125,0.173333333333333,0.288055555555555,0.243055555555556,0.321388888888889,0.288055555555555,0.343611111111111,,,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.4,0.5,,,,
Exp05_P3,ctr,,,0.0211111111111111,0.0594444444444445,0.132222222222222,0.0958333333333333,0.2125,0.173333333333333,0.288055555555555,0.243055555555556,0.00611111111111111,,,,,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0,,,,,,
Exp05_P3-1-pt,ctr,,,0.243055555555556,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,
Exp05_P4-all,PEG-Ctr,,,0.00595833333333333,0.0218194444444444,0.0476527777777778,0.0340416666666667,0.0470972222222222,0.0343194444444444,0.0765416666666667,0.0634861111111111,0.107652777777778,0.0945972222222222,0.0990416666666667,0.113208333333333,0.132652777777778,0.012375,,0,0.05,0.15,0.1,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.4,0.5,0,
Exp05_P4,PEG-Ctr,,,0.0218194444444444,0.0476527777777778,0.0340416666666667,0.0470972222222222,0.0343194444444444,0.0765416666666667,0.0634861111111111,0.107652777777778,0.0945972222222222,0.113208333333333,0.132652777777778,0.012375,,,,0.05,0.15,0.1,0.15,0.1,0.25,0.2,0.35,0.3,0.4,0.5,0,,,
Exp05_S4,PEG-Ctr,,,0.00265277777777778,0.009625,0.0182361111111111,0.0135138888888889,0.0185138888888889,0.0132361111111111,0.0260138888888889,0.0215694444444444,0.0362916666666667,0.029625,0.0412916666666667,0.0360138888888889,0.0432361111111111,0.00318055555555556,,0,0.05,0.15,0.1,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.4,0.5,0,
Exp05_P11,PEG-Ctr,,,0.0145194444444444,0.0299638888888889,0.0521861111111111,0.0399638888888889,0.0813527777777778,0.076075,0.125519444444444,0.112463888888889,0.162463888888889,0.174963888888889,0.0215194444444444,,,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.5,0,,,,
Exp05_P14,PEG-Ctr,,,0.0141805555555556,0.0307916666666667,0.0602361111111111,0.0449583333333333,0.091625,0.0752361111111111,0.0885694444444444,0.0721805555555556,0.118013888888889,0.102180555555556,0.148013888888889,0.160791666666667,0.0830138888888889,0.0147083333333333,,0,0.05,0.15,0.1,0.25,0.2,0.25,0.2,0.35,0.3,0.45,0.5,0.25,0,
Exp05_P16,150-150,0.113,,-0.00252777777777778,0.000547222222222222,0.00340277777777778,0.00213611111111111,0.0045,0.00315,0.00655555555555555,0.00444444444444444,0.00858333333333333,0.00983333333333333,0.00249722222222222,-0.000261111111111111,,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.5,0.25,0,,,
Exp05_P6-all,PEG-Ctr,,,0.0132152777777778,0.0327152777777778,0.0632708333333333,0.0457708333333333,0.0963263888888889,0.0777152777777778,0.131326388888889,0.110770833333333,0.127715277777778,0.137993055555555,0.162993055555555,0.0849375,0.0121597222222222,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.4,0.5,0.25,0,,
Exp05_P6,PEG-Ctr,,-0.042,0.0132152777777778,0.0327152777777778,0.0632708333333333,0.0457708333333333,0.0963263888888889,0.0777152777777778,0.131326388888889,0.110770833333333,0.0849375,0.0121597222222222,,,,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0.25,0,,,,,
Exp05_P8,150-150,0.162,,0.000334722222222222,0.00547361111111111,0.0068625,0.00283472222222222,0.00950138888888889,0.00325138888888889,0.0104458333333333,0.00694583333333333,0.0154180555555556,0.0091125,0.0177236111111111,-0.00955416666666667,,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.4,0.5,0,,,
Exp05_P8-small,150-150,,0.062,0.000334722222222222,0.0068625,0.00283472222222222,0.00950138888888889,0.00325138888888889,0.0104458333333333,0.00694583333333333,0.0154180555555556,0.0177236111111111,,,,,,,0,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.5,,,,,,
Exp05_P9,ctr,,,0.0300694444444444,0.0579027777777778,0.0934583333333333,0.0765138888888889,0.130402777777778,0.113180555555556,0.166791666666667,0.147625,0.199847222222222,0.179291666666667,0.212902777777778,0.115680555555556,0.0281527777777778,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.4,0.5,0.25,0,,
Exp05_P10,150-150,,0.0883,-0.00277333333333333,-0.000962777777777778,0.00180722222222222,0.000293333333333333,0.00367111111111111,0.00180722222222222,0.00675444444444444,0.00431,0.01131,0.0187544444444445,0.00242111111111111,-0.00233722222222222,,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.5,0.25,0,,,
Exp05_P10-positive,150-150,,,0.00180722222222222,0.000293333333333333,0.00367111111111111,0.00180722222222222,0.00675444444444444,0.00431,0.01131,0.0187544444444445,0.000976666666666667,,,,,,,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.5,0.25,,,,,,
Exp05_P13,150-150,0.242,0.0225233644859813,0.000558333333333334,0.00175277777777778,0.00183611111111111,0.000391666666666667,0.002725,0.00139166666666667,0.00511388888888889,0.00325277777777778,0.009975,0.0133916666666667,0.00319722222222222,-0.00203611111111111,,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.5,0.25,0,,,
Exp05_P15,ctr,,,0.0443333333333333,0.0885,0.161277777777778,0.1185,0.177111111111111,0.176555555555556,0.226833333333333,0.215722222222222,0.301277777777778,0.3235,0.157944444444444,0.0212222222222222,,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.5,0.25,0,,,
Exp05_P17,ctr,,,0.0295416666666667,0.0612083333333333,0.113708333333333,0.0834305555555556,0.172041666666667,0.140652777777778,0.228986111111111,0.193708333333333,0.264541666666667,0.277875,0.137041666666667,0.0144305555555556,,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.5,0.25,0,,,
Exp05_S10-cst-offset,150-150,,,-0.00188555555555556,0.00236944444444444,0.00528611111111111,0.00425833333333333,0.00709166666666667,0.0133694444444444,0.0153138888888889,0.0128694444444444,0.0184805555555556,,,,,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0.45,,,,,,
Exp05_S10,150-150,,,-0.00188555555555556,0.0020959595959596,0.00473914141414141,0.00343787878787879,0.0136729797979798,0.0109550505050505,0.0162926767676768,,,,,,,,,0,0.05,0.15,0.1,0.35,0.3,0.45,,,,,,,,
Exp05_P7,PEG-Ctr,,-0.0386,0.0105138888888889,0.0242638888888889,0.0520416666666667,0.0375972222222222,0.0800972222222222,0.0650972222222222,0.112319444444444,0.0998194444444444,0.140930555555556,0.126208333333333,0.153986111111111,0.0817638888888889,0.0103194444444445,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.4,0.5,0.25,0,,
Exp05_S9,ctr,,,0.0121625,0.0261625,0.0461069444444445,0.0352736111111111,0.0599958333333333,0.0505513888888889,0.0699958333333333,0.0611069444444444,0.0649958333333333,0.0694402777777778,0.0783291666666667,0.0469402777777778,0.0105236111111111,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0.4,0.45,0.5,0.25,0,,
Exp05_S13,150-150,,,-0.00111111111111111,-0.000666666666666666,0.000805555555555555,-0.000527777777777778,0.00144444444444444,0.000222222222222222,0.00183333333333333,0.000527777777777778,0.00416666666666667,0.00522222222222222,,,,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.5,,,,,
Exp05_S14,PEG-Ctr,,,-0.00111111111111111,0.0197222222222222,0.00541666666666667,0.0216666666666667,0.0130555555555556,0.0347222222222222,0.0272222222222222,0.0330555555555556,0.0261111111111111,0.0427777777777778,0.0375,0.0463888888888889,0.0511111111111111,0.025,-0.000611111111111111,0,0.15,0.05,0.15,0.1,0.25,0.2,0.25,0.2,0.35,0.3,0.45,0.5,0.25,0
test,150-150,,,0.000334722222222222,0.00547361111111111,0.0068625,0.00283472222222222,0.00950138888888889,0.00325138888888889,0.0104458333333333,0.00694583333333333,0.0154180555555556,0.0091125,0.0177236111111111,-0.00955416666666667,,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.4,0.5,0,,,
Exp07_P3,ctr,,,0.015180787037037,0.0333060185185185,0.0729034722222222,0.0650009259259259,0.122653935185185,0.113918055555556,0.183793287037037,0.16727962962963,0.241321527777778,0.259252314814815,0.0349608796296296,,,,,0,0.05,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.5,0,,,,
Exp07_P13,ctr,,,0.00390277777777778,0.0411694444444445,0.04655,0.0724861111111111,0.0600888888888889,0.101580555555556,0.109738888888889,0.158175,0.176888888888889,0.0161027777777778,,,,,,0,0.15,0.1,0.25,0.2,0.35,0.3,0.45,0.5,0,,,,,
Exp07_P19,ctr,,,0.0143465811965812,0.0651070512820513,0.111694017094017,0.0931489316239316,0.290159401709402,0.268836538461538,0.300847008547009,0.30896858974359,0.0131179487179487,,,,,,,0,0.05,0.25,0.2,0.35,0.3,0.45,0.5,0,,,,,,
