arch,exp,P0,dP_Mpa,J0,J1,J2,J3,J4,J5,J6,J7,J8,J9,lcut1,lcut2,lcut3,lcut4,lcut5,lcut6,lcut7,lcut8,lcut9,dP0,dP1,dP2,dP3,dP4,dP5,dP6,dP7,dP8,dP9
Exp01_P1-1,ctr,,0.3,0.141,0.152,0.184,0.179,0.238,,,,,,0.33,0.2,0.13,0.087,,,,,,,,,,,,,,,
Exp01_P1,ctr,,0.3,0.138866666666667,0.149866666666667,0.181866666666667,0.314533333333333,,,,,,,0.33,0.2,0.087,,,,,,,,,,,,,,,,
Exp02_S5,ctr,,0.3,0.0594166666666667,0.0524722222222222,0.0833055555555555,0.0949722222222222,0.103583333333333,0.103861111111111,0.108027777777778,,,,0.3174,0.2528,0.1743,0.1147,0.071,0.0558,,,,,,,,,,,,,
Exp02_S5-small,ctr,,0.3,0.0594166666666667,0.0524722222222222,0.0833055555555555,0.0949722222222222,0.103583333333333,,,,,,0.3174,0.2528,0.1743,0.1147,,,,,,,,,,,,,,,
Exp02_S4,ctr,,0.3,0.08,0.08,0.09,0.09,0.1,0.1,0.12,,,,0.33,0.29,0.25,0.2,0.16,0.12,,,,,,,,,,,,,
Exp02_P8_all,ctr,,0.3,0.0825,0.0838888888888889,0.0880555555555556,0.0855555555555556,0.0836111111111111,0.0963888888888889,0.105833333333333,0.753611111111111,,,0.2345,0.1991,0.1669,0.1323,0.1013,0.072,0.0516,,,,,,,,,,,,
Exp02_P8,ctr,,0.3,0.0825,0.0838888888888889,0.0880555555555556,0.0855555555555556,0.0836111111111111,0.0963888888888889,0.105833333333333,,,,0.2345,0.1991,0.1669,0.1323,0.1013,0.072,,,,,,,,,,,,,
Exp02_S8,ctr,,0.3,0.158797222222222,0.151297222222222,0.167130555555556,0.167963888888889,0.171019444444444,0.211575,0.218241666666667,0.258797222222222,,,0.361,0.3195,0.2599,0.223,0.1898,0.1509,0.08236,,,,,,,,,,,,
Exp02_S8_original,ctr,,0.3,0.158797222222222,0.151297222222222,0.167130555555556,0.167963888888889,0.171019444444444,0.211575,0.218241666666667,0.189075,0.258797222222222,0.204908333333333,0.361,0.3195,0.2599,0.223,0.1898,0.1509,0.1203,0.08236,0.06309,,,,,,,,,,
Exp02_P11_all,ctr,,0.2,0.126252777777778,0.129030555555556,0.131252777777778,0.128197222222222,0.178197222222222,0.249863888888889,0.259030555555555,0.871,,,0.66,0.55,0.45,0.33,0.24,0.15,0.08,,,,,,,,,,,,
Exp02_P11,ctr,,0.2,0.126252777777778,0.129030555555556,0.131252777777778,0.128197222222222,0.178197222222222,0.249863888888889,0.259030555555555,,,,0.66,0.55,0.45,0.33,0.24,0.15,,,,,,,,,,,,,
Exp03_P2_original,ctr,,0.2,0.119,0.125,0.121,0.124,0.14,0.205,,,,,0.3717,0.2966,0.2493,0.2035,0.1358,,,,,,,,,,,,,,
Exp03_P2,ctr,,0.2,0.0986666666666667,0.105333333333333,0.101444444444444,0.103666666666667,0.1195,0.184777777777778,,,,,0.3717,0.2966,0.2493,0.2035,0.1358,,,,,,,,,,,,,,
Exp03_P1-01,ctr,,0.2,0.1051,0.1059,0.1084,0.1093,0.122,0.1437,0.1884,,,,0.3368,0.2564,0.2235,0.1751,0.1342,0.09718,,,,,,,,,,,,,
Exp03_P1,ctr,,0.2,0.101583333333333,0.102416666666667,0.104916666666667,0.10575,0.118527777777778,0.140194444444445,0.184916666666667,,,,0.3368,0.2564,0.2235,0.1751,0.1342,0.09718,,,,,,,,,,,,,
Exp03_P5,150-150,0.274,0.3,0.002972,0.01058,0.01153,0.01544,0.02317,0.04233,0.04928,,,,0.2338,0.1815,0.1406,0.1092,0.0691,0.0545,,,,,,,,,,,,,
Exp03_S2,ctr,,0.2,0.0822333333333333,0.0955666666666667,0.107233333333333,0.1139,0.140011111111111,0.177511111111111,0.237233333333333,,,,0.2407,0.2011,0.1543,0.1083,0.06968,0.0515,,,,,,,,,,,,,
Exp03_S1_original,ctr,,0.2,0.0806944444444445,0.0843055555555556,0.102638888888889,0.11625,0.129027777777778,0.159305555555556,0.21375,0.33625,1.02791666666667,,0.335,0.279,0.23,0.185,0.145,0.114,0.076,0.0492,,,,,,,,,,,
Exp03_S1,ctr,,0.2,0.0806944444444445,0.0843055555555556,0.102638888888889,0.11625,0.129027777777778,0.159305555555556,0.21375,0.33625,,,0.335,0.279,0.23,0.185,0.145,0.114,0.076,,,,,,,,,,,,
Exp03_S5,150-150,,0.3,0.00611111111111111,0.00975,0.018,0.0258611111111111,0.0336388888888889,0.0411388888888889,,,,,0.2057,0.1509,0.0954,0.06991,0.05996,,,,,,,,,,,,,,
Exp03_S5-cylindre,150-150,,0.3,0.00611111111111111,0.00975,0.018,0.0258611111111111,0.0336388888888889,0.0411388888888889,,,,,0.2057,0.1509,0.0954,0.06991,0.05996,,,,,,,,,,,,,,
Exp04_P7_all,150-150,,0.3,0.00483333333333333,0.0119166666666667,0.0122222222222222,0.0180277777777778,0.0242222222222222,0.1345,0.215333333333333,,,,0.1924,0.1667,0.1371,0.1058,0.0755,0.0546,,,,,,,,,,,,,
