distance_from_base_(mm)	lateral_root_length_(mm)	order
3.15	89.56	1
4.03	51.32	1
5.39	75.9	1
6.49	89.46	1
7.7	30.04	1
8.76	30.21	1
9.47	63.29	1
10.84	97.7	1
12.81	38.67	1
13.57	0.61	1
14.66	9.79	1
16.05	55.4	1
17.87	60.07	1
19.31	64.49	1
19.87	43.95	1
21.54	56.78	1
22.23	1.92	1
22.44	59.8	1
23.93	7.23	1
24.34	5.32	1
25.0	38.9	1
27.08	13.64	1
27.46	8.46	1
30.61	5.5	1
35.0	0.41	1
39.99	1.67	1
43.42	1.47	1
44.78	1.09	1
45.12	0.44	1
46.26	1.41	1
50.27	0.26	1
51.78	0.64	1
53.75	0.68	1
55.73	1.13	1
56.57	0.52	1
59.54	0.24	1
92.46	0.0	1
7.27	19.5	1-1
8.87	0.64	1-1
9.28	6.25	1-1
10.29	17.78	1-1
10.85	0.54	1-1
11.84	2.48	1-1
14.42	10.1	1-1
17.46	9.14	1-1
19.55	13.55	1-1
21.36	16.06	1-1
23.08	6.6	1-1
24.84	5.28	1-1
27.33	1.91	1-1
28.23	7.48	1-1
29.18	7.09	1-1
32.98	7.45	1-1
36.05	7.13	1-1
37.66	6.8	1-1
39.79	6.5	1-1
43.17	2.37	1-1
44.27	1.37	1-1
46.65	0.51	1-1
48.9	0.55	1-1
50.63	0.44	1-1
52.35	0.67	1-1
55.41	0.18	1-1
89.56	0.0	1-1
10.6	0.24	1-2
12.78	15.26	1-2
15.06	2.72	1-2
17.33	1.0	1-2
18.55	1.81	1-2
21.41	0.84	1-2
22.87	2.66	1-2
23.29	0.39	1-2
51.32	0.0	1-2
7.15	6.47	1-3
8.02	2.02	1-3
16.35	2.21	1-3
19.45	1.75	1-3
21.26	1.19	1-3
23.1	1.56	1-3
25.34	0.94	1-3
26.76	0.57	1-3
28.14	0.62	1-3
30.91	0.19	1-3
31.43	0.16	1-3
33.65	0.06	1-3
75.9	0.0	1-3
8.25	18.18	1-4
11.35	16.5	1-4
14.43	16.06	1-4
16.2	11.06	1-4
18.37	5.62	1-4
20.96	4.97	1-4
21.71	4.65	1-4
23.25	5.6	1-4
25.15	3.77	1-4
26.98	3.14	1-4
27.61	2.76	1-4
29.27	3.5	1-4
31.2	2.96	1-4
32.95	2.3	1-4
34.98	2.99	1-4
37.52	1.66	1-4
40.95	1.08	1-4
42.4	0.64	1-4
89.46	0.0	1-4
2.28	10.35	1-7
3.08	14.11	1-7
3.59	4.1	1-7
5.18	3.17	1-7
7.2	21.79	1-7
7.76	16.91	1-7
8.99	8.21	1-7
11.33	9.6	1-7
13.17	9.0	1-7
15.37	5.93	1-7
16.99	6.54	1-7
17.52	7.61	1-7
20.01	7.32	1-7
22.85	6.39	1-7
23.25	1.66	1-7
24.91	4.2	1-7
26.11	5.85	1-7
28.6	3.53	1-7
30.78	2.87	1-7
33.01	0.54	1-7
34.62	0.34	1-7
63.29		1-7
0.84	3.73	1-8
4.15	1.12	1-8
4.87	28.1	1-8
5.45	0.32	1-8
7.22	25.89	1-8
9.93	7.24	1-8
11.48	18.17	1-8
14.01	23.37	1-8
14.82	18.1	1-8
17.9	17.14	1-8
19.53	13.86	1-8
22.76	13.12	1-8
23.18	6.1	1-8
26.1	12.5	1-8
28.61	9.99	1-8
30.02	4.77	1-8
31.4	8.56	1-8
32.88	8.24	1-8
34.64	6.27	1-8
35.63	6.51	1-8
36.61	5.12	1-8
38.81	5.88	1-8
40.19	2.38	1-8
43.0	3.09	1-8
44.79	2.06	1-8
45.51	2.99	1-8
47.0	2.73	1-8
52.39	0.66	1-8
54.42	0.57	1-8
55.8	0.34	1-8
56.81	0.41	1-8
97.7	0.0	1-8
1.57	0.46	1-12
12.05	5.49	1-12
15.3	0.69	1-12
17.87	4.45	1-12
18.95	1.64	1-12
24.37	1.78	1-12
27.09	0.35	1-12
55.4	0.0	1-12
7.75	4.73	1-13
12.28	2.28	1-13
16.98	3.43	1-13
22.8	0.69	1-13
24.87	0.29	1-13
25.75	0.18	1-13
60.07	0.0	1-13
5.08	12.2	1-14
10.55	0.65	1-14
21.09	1.15	1-14
24.5	0.85	1-14
26.64	0.55	1-14
27.69	0.53	1-14
29.55	0.16	1-14
30.22	0.38	1-14
32.38	0.25	1-14
64.49	0.0	1-14
3.51	0.43	1-15
7.36	0.85	1-15
13.89	0.19	1-15
28.16	0.44	1-15
29.94	0.75	1-15
43.95	0.0	1-15
8.67	1.59	1-16
11.45	1.68	1-16
25.31	0.14	1-16
56.78	0.0	1-16
