seed,primary_length,Jv,k0,surface,length,axfold,radfold,delta,nude_length,integral_diff,0.01,0.02,0.03,0.045,0.06,0.08
37813882,0.16,0.0181260517897,327.66,0.00115695102787,4.345,1,1,0.001,0.005,-0.00176077770418,17,40,62,78,53,25
24034489,0.16,0.0191168910724,327.66,0.00098191300857,3.6747,1,1,0.001,0.01,-0.00387109562503,15,36,53,60,43,25
7505613,0.16,0.0205846327798,327.66,0.00114301132259,4.2849,1,1,0.001,0.015,-0.00210172051755,23,48,73,61,44,29
25228385,0.16,0.0206966589402,327.66,0.00107520130808,4.0845,1,1,0.001,0.02,-0.00286442065359,18,52,72,63,41,25
80573734,0.16,0.0195669629459,327.66,0.00110623798784,4.1121,1,1,0.001,0.025,-0.00144765403602,16,48,59,61,57,26
79288767,0.16,0.0216893444289,327.66,0.000955886396266,3.5485,1,1,0.001,0.03,-0.00401872332981,23,43,59,53,35,20
49962637,0.16,0.023425780301,327.66,0.0011038110007,4.2271,1,1,0.001,0.035,-0.00399464043359,24,51,71,70,58,23
128736,0.16,0.0172687906116,327.66,0.00081598596611,2.955,1,1,0.00125,0.005,-0.00252178113057,14,35,42,44,40,19
29268962,0.16,0.021439720117,327.66,0.000935103221483,3.4877,1,1,0.00125,0.01,-0.00270204708466,22,45,48,57,46,20
55278306,0.16,0.021156367001,327.66,0.00101667437314,3.9014,1,1,0.00125,0.015,-0.00304236572518,17,42,61,57,41,29
78133182,0.16,0.0175877956513,327.66,0.00096931502725,3.6943,1,1,0.00125,0.02,-0.00331232690359,13,35,56,61,53,23
71476343,0.16,0.0173931743334,327.66,0.000901463757348,3.3245,1,1,0.00125,0.025,-0.00226416656515,10,31,42,57,44,16
30331479,0.16,0.0160704309535,327.66,0.000865443487486,3.1953,1,1,0.00125,0.03,-0.00317230603443,14,31,33,51,44,15
80847209,0.16,0.021615189864,327.66,0.00127771911478,5.0029,1,1,0.00125,0.035,-0.000729049796061,21,54,71,78,66,25
46679770,0.16,0.0131746440507,327.66,0.000513331464376,1.7505,1,1,0.0015,0.005,-0.0042467783729,9,19,27,24,14,11
56915705,0.16,0.0168594811499,327.66,0.000675822301906,2.4392,1,1,0.0015,0.01,-0.00364441471632,12,25,33,46,21,18
98755007,0.16,0.019936951918,327.66,0.000867838455513,3.2562,1,1,0.0015,0.015,-0.0012813561572,12,34,43,49,37,24
43518278,0.16,0.0192164892005,327.66,0.000869514840769,3.2394,1,1,0.0015,0.02,-0.000512695199975,12,29,36,50,40,22
34288210,0.16,0.015366826835,327.66,0.000519796862057,1.7802,1,1,0.0015,0.025,-0.00492278362862,14,21,22,25,19,5
61095119,0.16,0.0134920889082,327.66,0.000465747061071,1.6095,1,1,0.0015,0.03,-0.00625705983448,8,19,17,17,15,12
5956803,0.16,0.0138440717137,327.66,0.000570205412644,1.9679,1,1,0.0015,0.035,-0.00332886623373,12,24,30,32,22,10
