dist Col1,bn Col1,dist Col2,nb Col2,dist Col3,nb col3,dist Col4,nb col4,dist colesk11,nb colesk11,dist colesk2,nb colesk2,dist colirx1,nb irx1,dist 1,nb 1,dist 2,nb 2,dist 4,nb 4,dist 5,nb 5,dist 7,nb 7,dist 8,nb 8,dist II 1,nb dist II 1,dist II 4,nb II 4,dist II 7,nb II 7,dist II col2,nb II Col2,dist II Col4,nb II col4,dist II col22,nb II col22,dist II Col23,nb II Col23,dist II colesk1,nb II colesk1,dist II colirx,nb II colirx
129.62,59,54.75,41,68.9,37,52.12,30,147.68,60,93.06,44,153.18,75,90.98,53,101.75,40,97.19,42,80.77,27,61.11,29,70.89,26,89.37,32,87.08,34,54.61,27,78.9,45,68.68,43,69.8,27,80.22,35,101.33,31,108.87,52
127.13,58,54.54,40,68.68,36,51.44,29,146.94,59,92.85,43,150.36,74,89.57,52,99.66,39,95.1,41,79.73,26,59.75,28,68.95,25,87.83,31,84.48,33,52.2,25,78.01,44,65.82,42,69.13,26,78.06,34,98.5,30,106.07,51
125.21,57,53.44,39,64.02,35,51.03,28,144.26,58,91.34,42,149.57,73,88.81,51,97.14,38,93.55,40,75.5,25,58.9,27,66.69,24,87.52,30,84.1,32,51.34,24,76.16,43,64.05,41,63.59,25,77.26,33,96.19,29,103.34,50
125.04,56,52.51,38,62.98,34,49.75,27,138.22,57,89.63,41,148.8,72,87.51,50,94.22,37,92.05,39,71.37,24,57.9,26,65.56,23,85.23,29,82.07,31,50.82,23,72.48,42,62.97,40,57.58,24,76.38,32,95.77,28,102.26,49
123.56,55,51.25,37,59.75,33,47.59,26,136.77,56,88.4,40,148.13,71,87.29,49,93.71,36,91.52,38,70.76,23,57.53,25,64.6,22,82.19,28,79.64,30,49.99,22,71.7,41,62.01,39,54.69,23,73.54,31,91.49,27,101.72,48
122.09,54,50.26,36,59.49,32,47.06,25,133.31,55,87.31,39,147.53,70,87.04,48,92.1,35,91.1,37,69.17,22,57.28,24,63.19,21,80.41,27,75.17,29,48.49,21,71.17,40,60.81,38,52.72,22,71.42,30,89.07,26,99.94,47
117.91,53,49.05,35,57.25,31,44.99,24,128.78,54,86.11,38,146.72,69,86.26,47,90.58,34,90.2,36,68.62,21,56.9,23,62.65,20,78.28,26,72.83,28,44.58,20,69.27,39,60.51,37,50.02,21,69.44,29,85.22,25,98.23,46
116.56,52,48.27,34,55.38,30,44.18,23,122.2,53,84.82,37,144.73,68,85.45,46,89.66,33,89.91,35,67.54,20,56.58,22,62.4,19,77.37,25,72.37,27,42.51,19,68.27,38,60.38,36,49.08,20,67.46,28,81.35,24,97.31,45
116.04,51,47.93,33,53.37,29,43.66,22,120,52,83.61,36,142.54,67,83.68,45,87.72,32,87.88,34,66.03,19,55.6,21,61.43,18,75.92,24,71.11,26,41.37,18,64.32,37,58.32,35,45.78,19,64.31,27,75.71,23,94.43,44
115.89,50,47.2,32,51.26,28,42.42,21,115.97,51,82.75,35,139.53,66,82.55,44,85.95,31,87.6,33,64.68,18,54.37,20,60.95,17,75,23,69.81,25,39.84,17,63.13,36,55.58,34,45.09,18,61.78,26,73.51,22,91.63,43
