dist to base (m),n Col0,95 - Col,95 + Col,esk1-1,95 - esk1-1,95 + esk1-1,esk1-5,95 - esk1-5,95 + esk1-5
0.001,1,1,1,1.14,0.793,1.49,1.29,0.834,1.74
0.002,1.5,0.622,2.38,1.14,0.793,1.49,1.57,1.08,2.07
0.003,2,1.34,2.66,1.43,0.934,1.92,2.14,0.899,3.39
0.004,2.17,1.38,2.96,1.71,1.26,2.17,3.14,2.02,4.27
0.005,2.67,1.81,3.52,2.57,1.84,3.3,4,2.49,5.51
0.006,3.5,2.62,4.38,2.43,1.38,3.48,4.14,2.05,6.24
0.007,5,4.06,5.94,3.29,2.01,4.56,4.71,3.05,6.38
0.008,5.33,3.5,7.17,3.86,2.4,5.31,6,4,8
0.009,6.17,4.62,7.71,4.29,2.71,5.86,7.29,4.69,9.89
0.01,7.67,5.95,9.38,5.43,4.03,6.83,7.71,5.74,9.69
0.011,8.5,6.78,10.2,6,4.93,7.07,7.29,5.9,8.67
0.012,9,7.52,10.5,5.57,4.07,7.07,8.71,7.14,10.3
0.013,9.33,7.62,11,5.86,4.31,7.41,10.1,8.42,11.9
0.014,10.7,8.21,13.1,6.43,4.44,8.42,10.3,8.54,12
0.015,12.3,10.3,14.4,7.43,5.44,9.42,11.9,9.9,13.8
0.016,12.2,9.1,15.2,8.29,5.91,10.7,12.3,10.8,13.8
0.017,13.3,11,15.7,9.57,7.45,11.7,12.9,10.1,15.7
0.018,13.8,12.6,15.1,9.86,7.63,12.1,13,10.1,15.9
0.019,14.5,11.8,17.2,10.1,8.11,12.2,12.9,10.9,14.8
0.02,15.7,13.2,18.1,10.7,8.97,12.5,12.9,10.9,14.8
0.021,15.7,13.1,18.2,12,10.2,13.8,14.1,12.5,15.8
0.022,17.2,14.4,19.9,12.4,10.8,14,13.9,12.2,15.5
0.023,19.2,16.9,21.4,12.7,11.1,14.3,15.1,13.1,17.2
0.024,20.3,17.2,23.5,12.7,10.9,14.5,14.3,11.9,16.7
0.025,20,17.5,22.5,13.7,11.6,15.8,14.3,11.9,16.7
0.026,21.2,19.1,23.2,13.9,11.5,16.2,14.1,11.1,17.2
0.027,20,15.6,24.4,14,12.4,15.6,14,10.7,17.3
0.028,21.8,18.8,24.9,14,12.2,15.8,14.7,11.6,17.8
0.029,23.7,19.5,27.8,14.9,13.2,16.5,14,11.4,16.6
0.03,23.7,19,28.3,15.1,13.3,17,14.3,11,17.6
0.031,22.8,18.7,26.9,15.4,13.8,17.1,14.3,10.6,18
0.032,24.3,18.2,30.4,15.3,13.4,17.2,14.1,10.3,18
0.033,23.3,17,29.6,15.9,13.5,18.2,13.4,10.1,16.8
0.034,24.5,18.5,30.5,15.6,13.2,18,12.9,9.68,16
0.035,24.7,19.5,29.8,15.9,13.3,18.4,12.3,9.38,15.2
0.036,23.3,19.6,27.1,16,13.7,18.3,12.6,9.61,15.5
0.037,23.8,17.4,30.3,15.9,13.6,18.1,12.3,8.84,15.7
0.038,23.5,18.4,28.6,16,13.2,18.8,11.6,9.81,13.3
0.039,24.8,19.1,30.5,15.7,12.8,18.7,11.7,9.23,14.2
0.04,24.8,18.1,31.6,16.3,13.1,19.5,11.9,9.56,14.1
0.041,24.8,18.3,31.4,14.9,11.5,18.2,11.3,8.86,13.7
0.042,23.5,17.6,29.4,14.4,10.2,18.6,11.4,8.14,14.7
0.043,23,18.1,27.9,14.1,10.9,17.4,11.4,7.77,15.1
0.044,22.3,18.6,26.1,13.6,9.08,18.1,11.6,8.24,14.9
0.045,23.2,18.3,28,12.7,8.01,17.4,11.3,7.23,15.3
0.046,23.5,19.9,27.1,12.6,7.68,17.5,11.4,7.33,15.5
0.047,23.5,18.5,28.5,11.4,6.28,16.6,10.9,6.95,14.8
0.048,22.7,17.9,27.4,11.9,6.43,17.3,10.6,6.65,14.5
0.049,21.7,17.8,25.6,11.9,6.95,16.8,10.6,7.16,14
0.05,22.2,18.3,26.1,11.3,5.87,16.7,11.1,6.69,15.6
0.051,22.5,18.1,26.9,11.3,6.2,16.4,9.86,5.54,14.2
0.052,20.8,16.4,25.3,10.7,6.69,14.7,10,5.93,14.1
0.053,21,16.2,25.8,10.9,6.71,15,10,6.38,13.6
0.054,20.7,16,25.3,10.7,7.18,14.2,10.1,7.1,13.2
0.055,20.8,17,24.7,10.3,6.3,14.3,9.43,6.02,12.8
0.056,21.5,17.6,25.4,10.3,6.96,13.6,9.29,6.23,12.3
0.057,21.7,17.6,25.7,9.29,6.47,12.1,8.71,5.71,11.7
0.058,21,16.5,25.5,9.43,6.66,12.2,8.43,5.32,11.5
0.059,21,16.6,25.4,9.43,6.99,11.9,8.57,5.16,12
0.06,21.2,17.3,25,9,6.61,11.4,8.14,4.88,11.4
0.061,21,16.5,25.5,8.71,6.89,10.5,8.43,4.77,12.1
0.062,21.3,16.4,26.2,8.57,6.9,10.2,8.57,4.92,12.2
0.063,20.7,15.9,25.4,8.14,6.34,9.95,8.43,4.89,12
0.064,21,15.4,26.6,8,6.49,9.51,9,5.8,12.2
0.065,21,16.2,25.8,8.29,6.62,9.95,8.71,6.11,11.3
0.066,20.8,15.8,25.9,8.14,6.11,10.2,9.14,6.15,12.1
0.067,20.7,14.6,26.7,8.14,6.05,10.2,8.71,6.23,11.2
0.068,20.2,14.3,26,8,5.93,10.1,8.43,5.51,11.3
0.069,20.2,14.3,26.1,7.29,5.17,9.4,8.14,5.25,11
0.07,19.8,14.5,25.2,7.14,4.56,9.73,8,5.17,10.8
0.071,20.2,14.6,25.7,7,4.44,9.56,7.86,5.44,10.3
0.072,19.2,14,24.4,7.29,4.91,9.66,7,5,9
0.073,18.8,13.1,24.6,7.29,5.46,9.11,6.43,4.93,7.93
0.074,19,13.6,24.4,7,5.15,8.85,5.71,3.6,7.83
0.075,18.3,12.4,24.3,6.86,5.5,8.21,6,4,8
0.076,18,12.4,23.6,6.57,4.9,8.25,5.86,4.13,7.58
0.077,17.7,12,23.3,5.71,4.55,6.87,5.71,4.05,7.38
0.078,17.3,11.8,22.9,4.71,3.44,5.99,6.57,4.73,8.41
0.079,17.2,10.8,23.5,3.86,2.87,4.85,5.86,4.05,7.66
0.08,16.8,11.7,21.9,3.86,2.87,4.85,6.29,4.04,8.53
0.081,15.7,10.7,20.6,3.86,2.5,5.21,6.57,4.51,8.63
0.082,15.2,10.1,20.3,4,2.23,5.77,5.71,2.9,8.53
0.083,14.5,9.28,19.7,3.71,1.81,5.62,6.29,4.1,8.47
