seed,primary_length (m),k (10-8 m/s/MPa),ax,length (m),surface (m2),Jv (uL/s)
90177815,0.04,1.638279,1.0,0.3281,0.00010377974871,0.000491162236266
90177815,0.04,8.191395,1.0,0.3281,0.00010377974871,0.00214346207658
90177815,0.04,16.38279,1.0,0.3281,0.00010377974871,0.00371325850768
90177815,0.04,24.574185,1.0,0.3281,0.00010377974871,0.00492937785277
90177815,0.04,32.76558,1.0,0.3281,0.00010377974871,0.00591097742927
90177815,0.04,40.956975,1.0,0.3281,0.00010377974871,0.00672834379076
90177815,0.04,49.14837,1.0,0.3281,0.00010377974871,0.0074257001651
90177815,0.04,57.339765,1.0,0.3281,0.00010377974871,0.00803231795411
90177815,0.04,65.53116,1.0,0.3281,0.00010377974871,0.00856838194164
75303180,0.04,1.638279,1.0,0.1895,6.36203928278e-05,0.000304198559409
75303180,0.04,8.191395,1.0,0.1895,6.36203928278e-05,0.00137518454423
75303180,0.04,16.38279,1.0,0.1895,6.36203928278e-05,0.0024663275977
75303180,0.04,24.574185,1.0,0.1895,6.36203928278e-05,0.00336566305512
75303180,0.04,32.76558,1.0,0.1895,6.36203928278e-05,0.00412849456686
75303180,0.04,40.956975,1.0,0.1895,6.36203928278e-05,0.00479008917991
75303180,0.04,49.14837,1.0,0.1895,6.36203928278e-05,0.00537406305736
75303180,0.04,57.339765,1.0,0.1895,6.36203928278e-05,0.00589687279079
75303180,0.04,65.53116,1.0,0.1895,6.36203928278e-05,0.00637037196111
37891450,0.04,1.638279,1.0,0.1699,5.73920597284e-05,0.000275862196147
37891450,0.04,8.191395,1.0,0.1699,5.73920597284e-05,0.00126941631196
37891450,0.04,16.38279,1.0,0.1699,5.73920597284e-05,0.00231487403471
37891450,0.04,24.574185,1.0,0.1699,5.73920597284e-05,0.00319840915049
37891450,0.04,32.76558,1.0,0.1699,5.73920597284e-05,0.00396055733427
37891450,0.04,40.956975,1.0,0.1699,5.73920597284e-05,0.00462901059869
37891450,0.04,49.14837,1.0,0.1699,5.73920597284e-05,0.00522338327389
37891450,0.04,57.339765,1.0,0.1699,5.73920597284e-05,0.00575799083274
37891450,0.04,65.53116,1.0,0.1699,5.73920597284e-05,0.00624354847782
79499597,0.04,1.638279,1.0,0.7702,0.000196107166976,0.0008868751644
79499597,0.04,8.191395,1.0,0.7702,0.000196107166976,0.00344128015078
79499597,0.04,16.38279,1.0,0.7702,0.000196107166976,0.0055269829152
79499597,0.04,24.574185,1.0,0.7702,0.000196107166976,0.00703435666879
79499597,0.04,32.76558,1.0,0.7702,0.000196107166976,0.00821670263325
79499597,0.04,40.956975,1.0,0.7702,0.000196107166976,0.00918893256444
79499597,0.04,49.14837,1.0,0.7702,0.000196107166976,0.010013550757
79499597,0.04,57.339765,1.0,0.7702,0.000196107166976,0.0107286177645
79499597,0.04,65.53116,1.0,0.7702,0.000196107166976,0.0113591444417
43310155,0.04,1.638279,1.0,0.3846,0.000113231544367,0.000534332048378
43310155,0.04,8.191395,1.0,0.3846,0.000113231544367,0.00231281877176
43310155,0.04,16.38279,1.0,0.3846,0.000113231544367,0.00398438923484
43310155,0.04,24.574185,1.0,0.3846,0.000113231544367,0.00527349640151
43310155,0.04,32.76558,1.0,0.3846,0.000113231544367,0.00631268527573
43310155,0.04,40.956975,1.0,0.3846,0.000113231544367,0.00717768956553
43310155,0.04,49.14837,1.0,0.3846,0.000113231544367,0.00791532948492
43310155,0.04,57.339765,1.0,0.3846,0.000113231544367,0.00855632747242
43310155,0.04,65.53116,1.0,0.3846,0.000113231544367,0.00912180636521
99324719,0.04,1.638279,1.0,0.6435,0.000171702753739,0.000795490073809
99324719,0.04,8.191395,1.0,0.6435,0.000171702753739,0.00328344035007
99324719,0.04,16.38279,1.0,0.6435,0.000171702753739,0.00549083477653
99324719,0.04,24.574185,1.0,0.6435,0.000171702753739,0.00715371845387
99324719,0.04,32.76558,1.0,0.6435,0.000171702753739,0.00848377505518
99324719,0.04,40.956975,1.0,0.6435,0.000171702753739,0.00958815207236
99324719,0.04,49.14837,1.0,0.6435,0.000171702753739,0.0105292341168
99324719,0.04,57.339765,1.0,0.6435,0.000171702753739,0.0113467758484
99324719,0.04,65.53116,1.0,0.6435,0.000171702753739,0.0120677481798
35978751,0.04,1.638279,1.0,0.4381,0.000127255299814,0.000595831307447
35978751,0.04,8.191395,1.0,0.4381,0.000127255299814,0.00252157098611
35978751,0.04,16.38279,1.0,0.4381,0.000127255299814,0.00427262395779
35978751,0.04,24.574185,1.0,0.4381,0.000127255299814,0.00559880330551
35978751,0.04,32.76558,1.0,0.4381,0.000127255299814,0.00665925237514
35978751,0.04,40.956975,1.0,0.4381,0.000127255299814,0.0075392651629
35978751,0.04,49.14837,1.0,0.4381,0.000127255299814,0.00828945844197
35978751,0.04,57.339765,1.0,0.4381,0.000127255299814,0.00894215118943
