seed,primary_length (m),k (10-8 m/s/MPa),ax,length (m),surface (m2),Jv (uL/s)
90177815,0.04,32.76558,0.05,0.3281,0.00010377974871,0.000961381066958
90177815,0.04,32.76558,0.25,0.3281,0.00010377974871,0.00286791030648
90177815,0.04,32.76558,0.5,0.3281,0.00010377974871,0.00428419097082
90177815,0.04,32.76558,0.75,0.3281,0.00010377974871,0.00522933635572
90177815,0.04,32.76558,1.0,0.3281,0.00010377974871,0.00591097742927
90177815,0.04,32.76558,1.25,0.3281,0.00010377974871,0.0064271277283
90177815,0.04,32.76558,1.5,0.3281,0.00010377974871,0.006831934641
90177815,0.04,32.76558,1.75,0.3281,0.00010377974871,0.00715807449093
90177815,0.04,32.76558,2.0,0.3281,0.00010377974871,0.00742651701536
75303180,0.04,32.76558,0.05,0.1895,6.36203928278e-05,0.000859264166751
75303180,0.04,32.76558,0.25,0.1895,6.36203928278e-05,0.00227804783591
75303180,0.04,32.76558,0.5,0.1895,6.36203928278e-05,0.00318518598055
75303180,0.04,32.76558,0.75,0.1895,6.36203928278e-05,0.00374433152694
75303180,0.04,32.76558,1.0,0.1895,6.36203928278e-05,0.00412849456686
75303180,0.04,32.76558,1.25,0.1895,6.36203928278e-05,0.00440975256334
75303180,0.04,32.76558,1.5,0.1895,6.36203928278e-05,0.00462488797507
75303180,0.04,32.76558,1.75,0.1895,6.36203928278e-05,0.00479488585623
75303180,0.04,32.76558,2.0,0.1895,6.36203928278e-05,0.0049326551954
37891450,0.04,32.76558,0.05,0.1699,5.73920597284e-05,0.000881471670356
37891450,0.04,32.76558,0.25,0.1699,5.73920597284e-05,0.0022653140438
37891450,0.04,32.76558,0.5,0.1699,5.73920597284e-05,0.00312177423891
37891450,0.04,32.76558,0.75,0.1699,5.73920597284e-05,0.00362592730723
37891450,0.04,32.76558,1.0,0.1699,5.73920597284e-05,0.00396055733427
37891450,0.04,32.76558,1.25,0.1699,5.73920597284e-05,0.00419939605409
37891450,0.04,32.76558,1.5,0.1699,5.73920597284e-05,0.00437859211084
37891450,0.04,32.76558,1.75,0.1699,5.73920597284e-05,0.00451807088104
37891450,0.04,32.76558,2.0,0.1699,5.73920597284e-05,0.00462974806941
79499597,0.04,32.76558,0.05,0.7702,0.000196107166976,0.00114561044311
79499597,0.04,32.76558,0.25,0.7702,0.000196107166976,0.00368455305082
79499597,0.04,32.76558,0.5,0.7702,0.000196107166976,0.00567957222086
79499597,0.04,32.76558,0.75,0.7702,0.000196107166976,0.00710847880184
79499597,0.04,32.76558,1.0,0.7702,0.000196107166976,0.00821670263325
