seed,primary_length (m),k (10-8 m/s/MPa),_length (m),surface (m2),Jv (uL/s)
78678465,0.04,32.76558,1.4254,0.0003584135867338645,0.013114922575773066
68261998,0.04,32.76558,0.7504000000000001,0.0002092457786923744,0.010087022831271603
17166111,0.04,32.76558,0.48310000000000003,0.000143511156840501,0.007169951891472684
64666035,0.04,32.76558,1.3195000000000001,0.0003372883616250554,0.01185976165786438
33761857,0.04,32.76558,0.7924,0.00022096662105994418,0.011304364193073254
72533425,0.04,32.76558,1.7443000000000002,0.0004260324101956077,0.015223234653897215
14099172,0.04,32.76558,0.5544,0.00016733768667569833,0.008062708032201675
51304826,0.04,32.76558,0.6916,0.0001929899216656421,0.008230335842309776
45550765,0.04,32.76558,0.5011,0.00014486889035352968,0.007567545555535415
50236817,0.04,32.76558,0.6706000000000001,0.00019214941996708785,0.009588958640246345
62153214,0.04,32.76558,0.6016,0.00017793478135108592,0.008247632456486633
42208064,0.04,32.76558,0.3294,0.00010487270879398769,0.006253548194346822
31057612,0.04,32.76558,0.5639000000000001,0.0001616265853907594,0.007860474071788848
59795462,0.04,32.76558,0.518,0.0001497210173751491,0.007821999104706514
33567066,0.04,32.76558,0.5087,0.00014675617072424835,0.007889966207051506
85356231,0.04,32.76558,0.2346,7.709920761251487e-05,0.004844384774603687
33923301,0.04,32.76558,0.6404000000000001,0.00018178938987335177,0.008681819357529139
49053161,0.04,32.76558,0.7585000000000001,0.0002131711987130298,0.009402945344322754
26122774,0.04,32.76558,0.3719,0.0001125449807088778,0.0060502906514337184
21257202,0.04,32.76558,0.6991,0.0001897664591075098,0.008612176928692022
10862114,0.04,32.76558,0.4903,0.0001399644243983012,0.0065050124327836415
54544356,0.04,32.76558,0.7653000000000001,0.0002028142473801123,0.009575012722697408
76238578,0.04,32.76558,0.1789,6.033843381449484e-05,0.0039813406883232585
26743567,0.04,32.76558,0.2107,7.004576661852814e-05,0.004600169064614294
47867076,0.04,32.76558,0.8808,0.0002350848944629032,0.01021176491331084
58131184,0.04,32.76558,0.8365,0.0002192680687263301,0.009284158791860272
77248238,0.04,32.76558,0.23870000000000002,7.680056781486439e-05,0.004905208529335299
65261020,0.04,32.76558,0.49450000000000005,0.00013747986443228102,0.007365866951718333
81958693,0.04,32.76558,0.48760000000000003,0.0001391516315469639,0.007379210969826421
18658213,0.04,32.76558,0.2343,7.61016891131469e-05,0.004867638674724879
27912172,0.04,32.76558,0.6417,0.0001773775256462183,0.007856916661115196
25721518,0.04,32.76558,0.3421,0.00010157843473743236,0.005756118530195409
91846765,0.04,32.76558,0.2248,7.200385848765725e-05,0.00450074371241151
67563644,0.04,32.76558,0.4277,0.00012142104809677002,0.006901213370886681
93469703,0.04,32.76558,0.23750000000000002,7.832455441112109e-05,0.004769022486766631
84047643,0.04,32.76558,0.324,9.382611504172767e-05,0.0056274349465781455
41850293,0.04,32.76558,0.3921,0.00011576228574541868,0.006303583653803059
48092902,0.04,32.76558,0.1922,6.440547683197914e-05,0.004419179951919539
64178606,0.04,32.76558,0.16690000000000002,5.6440722641039003e-05,0.003617960473640145
49424822,0.04,32.76558,0.26130000000000003,8.513477330186687e-05,0.005217387974483703
90371897,0.04,32.76558,0.24280000000000002,7.987317109378164e-05,0.004696833564417799
73474557,0.04,32.76558,0.2509,7.978080826976572e-05,0.0049802869295843865
86904601,0.05,32.76558,1.9938,0.000504571510252142,0.014880653822988492
29741721,0.05,32.76558,1.4878,0.00037970466908522393,0.014955541326852584
88181690,0.05,32.76558,0.8331000000000001,0.00023584187377912366,0.008485273583561525
24656845,0.05,32.76558,1.1378000000000001,0.0002980211426585241,0.012713717280273762
4416667,0.05,32.76558,0.5750000000000001,0.0001756921240193843,0.008864164999626828
96607539,0.05,32.76558,0.3376,0.00011052707291562495,0.005947933133332147
76593455,0.05,32.76558,0.7209,0.00020848400530571574,0.00941634812440016
38057505,0.05,32.76558,0.39330000000000004,0.00012529280971491103,0.006688499064610956
18299667,0.05,32.76558,0.7295,0.00021060527149727295,0.009832480864986027
56976279,0.05,32.76558,1.0174,0.0002863397084291595,0.010193785960796595
85842677,0.05,32.76558,0.5019,0.00015345423475725183,0.0066526624632990035
30571422,0.05,32.76558,1.1495,0.0003061730855061118,0.010975009827234554
73746477,0.05,32.76558,0.5033,0.0001486575254300554,0.007822541057424262
24913120,0.05,32.76558,0.7997000000000001,0.00021770797266409896,0.00925316204837495
26535972,0.05,32.76558,0.5676,0.0001687587546966317,0.007198117880263269
95137550,0.05,32.76558,0.5239,0.00015438094175822107,0.006641556534047539
9939669,0.05,32.76558,0.663,0.00019220967571418102,0.009572495159504096
21436464,0.05,32.76558,1.0493000000000001,0.0002780227440026963,0.011053397497336581
89310908,0.05,32.76558,0.34390000000000004,0.00010845814565767625,0.006060671005472169
20357723,0.05,32.76558,0.4932,0.00014504921777184595,0.006256816795010982
8038984,0.05,32.76558,0.5930000000000001,0.00016688071060833165,0.007849760631648182
60100712,0.05,32.76558,0.9133,0.0002482123346756234,0.010168094383214336
960772,0.05,32.76558,0.2321,7.720564477161833e-05,0.004229482191745696
76842624,0.05,32.76558,0.5905,0.00016551343293682064,0.008072867684374896
34180936,0.05,32.76558,1.1085,0.0002871272554419821,0.01056712467884002
42003838,0.05,32.76558,0.7629,0.00020836947540396708,0.008362892149495647
34068641,0.05,32.76558,0.7207,0.00019364992001669065,0.008765974938232298
19511098,0.05,32.76558,0.666,0.0001843773082376858,0.007871563216954142
45923520,0.05,32.76558,0.4975,0.00014665017338811638,0.005952698834183713
27739408,0.05,32.76558,0.5930000000000001,0.00016744412383482688,0.007887929831892009
47358196,0.05,32.76558,0.2751,8.796899253022895e-05,0.005363900898319976
79307750,0.05,32.76558,0.3306,0.00010306107797436798,0.005983447912761634
8387577,0.05,32.76558,0.6166,0.0001723178021820496,0.007760685261243213
30671812,0.05,32.76558,0.7244,0.0001967563896644156,0.00888855817638439
20704455,0.05,32.76558,0.21580000000000002,7.293540354129995e-05,0.004321802115854475
68472865,0.05,32.76558,0.7879,0.00021016254569419853,0.009215536709553067
38277751,0.05,32.76558,0.19290000000000002,6.597740413212925e-05,0.004085067457342013
44170287,0.05,32.76558,0.29550000000000004,9.512711139143347e-05,0.005485125359390899
84742675,0.05,32.76558,0.4978,0.00014320504005233402,0.0065056214945789234
89532441,0.05,32.76558,0.31010000000000004,0.00010138623209888686,0.0056057780446387385
12516907,0.05,32.76558,0.1482,5.2224579636215267e-05,0.003220655795394543
96628484,0.05,32.76558,0.3647,0.00011259907893437265,0.005637035645894343
25701280,0.060000000000000005,32.76558,2.4456,0.0006145789323271348,0.013746066315167452
27956996,0.060000000000000005,32.76558,1.3096,0.0003548993132269176,0.013275607341397246
10628567,0.060000000000000005,32.76558,0.9238000000000001,0.00026544591816794966,0.009061992696797036
21567335,0.060000000000000005,32.76558,1.867,0.0004935451483565527,0.015919614489319726
40027293,0.060000000000000005,32.76558,1.3008,0.00034498847433400145,0.01340586566711738
37558352,0.060000000000000005,32.76558,0.9693,0.00028318573790049557,0.009803365545833323
87404699,0.060000000000000005,32.76558,0.9329000000000001,0.0002668806207009918,0.008853243007768238
93920767,0.060000000000000005,32.76558,1.1858,0.00032773848544476804,0.010590432389751344
64997892,0.060000000000000005,32.76558,1.0673000000000001,0.0002961319270666923,0.012200616529559501
51549320,0.060000000000000005,32.76558,1.3941000000000001,0.00037178939497855217,0.01221834013256235
3827421,0.060000000000000005,32.76558,1.2675,0.00034565995206457,0.012188906518937278
33791562,0.060000000000000005,32.76558,1.0419,0.0002886536170822459,0.011602093637329764
77012573,0.060000000000000005,32.76558,0.677,0.000196398549694773,0.008013660985757102
44222890,0.060000000000000005,32.76558,0.7746000000000001,0.00022068381488926195,0.008878729648614902
64835820,0.060000000000000005,32.76558,1.5006000000000002,0.0003852300331293009,0.011140889739873826
23313950,0.060000000000000005,32.76558,1.0935000000000001,0.0002933456485422537,0.009835210993184329
78024839,0.060000000000000005,32.76558,1.1719000000000002,0.0003046770276685667,0.01109378036195752
68363915,0.060000000000000005,32.76558,0.8097000000000001,0.00022403289088808142,0.00897226826184273
2287214,0.060000000000000005,32.76558,0.6534,0.00018892947599272005,0.0077904760173749844
72303109,0.060000000000000005,32.76558,1.3977000000000002,0.000368398755708956,0.012557043584695648
