plant,primary_length (m),k (10-8 m/s/MPa),_length (m),surface (m2),Jv (uL/s)
plant-1.txt,0.103,3.79453424987,1.626,0.000462570175766,0.00455130413429
plant-2.txt,0.0925,12.3371926872,1.8761,0.000518335770145,0.00953083624124
plant-3.txt,0.0859,17.3056297028,1.5992,0.000447712515965,0.00990268936793
plant-4.txt,0.0842,7.08406150519,0.7099,0.000219626040643,0.00342643249962
plant-5.txt,0.0746,350.342010336,1.8824,0.000510136590311,0.0137691975747
plant-6.txt,0.0757,16.0728467365,1.1174,0.000335799121043,0.0072063749665
plant-7.txt,0.0617,644.747684298,2.1262,0.000602816966512,0.019672552503
plant-8.txt,0.0801,1574.75148914,2.1082,0.000605004645972,0.0206798278884
plant-9.txt,0.1222,21.360299255,1.1336,0.000360185545521,0.0118260467202
plant-10.txt,0.1399,7.95713498121,0.7824,0.000258634379808,0.00454810619954
