plant,primary_length (m),k (10-8 m/s/MPa),_length (m),surface (m2),Jv (uL/s)
2020-01-19-9h06-cut-n-flow-archi2.txt,0.1133,6.55893793745,0.7841,0.000250595735358,0.00458718365078
160316#2-cut-n-flow-archi2.txt,0.1536,12.9317234062,4.486,0.00123480827037,0.0349204282302
200219-YBFB-Col-cut-n-flow-archi2.txt,0.1687,2.52212463594,2.5189,0.000739537696495,0.00526114807245
200619-YBFB-Col-1-cut-n-flow-archi2.txt,0.1299,14.2819663367,1.5295,0.000478065139052,0.0163263933527
200619-YBFB-Col-2-cut-n-flow-archi2.txt,0.1621,19.2183085922,2.8045,0.000870136090716,0.0342285940631
200619-YBFB-e11-2-cut-n-flow-archi0.txt,0.1339,2.80234216689,1.5386,0.000485338491531,0.00384400194889
200619-YBFB-e15-1-cut-n-flow-archi0.txt,0.1561,3.50290084586,2.0232,0.000635432478786,0.00611969898283
200619-YBFB-e15-2-cut-n-flow-archi2.txt,0.1376,3.69966251165,2.1137,0.00065520164171,0.00684482683012
200702-YBFB-Col-1-cut-n-flow-archi2.txt,0.1458,7.57694355994,2.7905,0.000829445428684,0.0162229933633
200703-YBFB-Col-2-cut-n-flow-archi2.txt,0.1628,37.1065420639,3.3767,0.00101931436654,0.0531774740569
200703-YBFB-Col-3-cut-n-flow-archi2.txt,0.1231,9.42122949922,2.1405,0.000612254687834,0.0151314945024
200703-YBFB-e11-3-cut-n-flow-archi0.txt,0.0678,6.26033953342,0.6361,0.000196708185067,0.00352560681803
200703-YBFB-e15-3-cut-n-flow-archi2.txt,0.0973,6.37321977824,1.1683,0.000359520093366,0.00636283000225
200721-YBFB-e11-2-cut-n-flow-archi0.txt,0.1108,2.91349360494,0.7365,0.000241134263595,0.00205065873995
200721-YBFB-e15-1-cut-n-flow-archi0.txt,0.1117,2.18918193022,1.3657,0.000421862360638,0.00269090048946
200721-YBFB-e15-2-cut-n-flow-archi0.txt,0.0913,4.91635517772,1.0038,0.000315093135191,0.00440235553421
200724-YBFB-e11-2-cut-n-flow-archi2.txt,0.1409,2.12662300888,2.2862,0.000694383271126,0.00422118853142
200812-YBFB-e11-3-cut-n-flow-archi0.txt,0.104,1.79126956546,0.6562,0.000214323095075,0.0011273773782
200812-YBFB-e15-1-cut-n-flow-archi0.txt,0.1008,1.57727642366,1.0607,0.000336764972289,0.00156834469475
200812-YBFB-e15-3-cut-n-flow-archi2.txt,0.0928,13.9149499238,0.4298,0.000143280689603,0.00549204902653
15012020-1045-cut-n-flow-archi2.txt,0.1365,6.16541066933,1.2272,0.000379861465975,0.00622678568835
