plant,primary_length (m),k (10-8 m/s/MPa),_length (m),surface (m2),Jv (uL/s)
2020-01-19-9h06-cut-n-flow-archi2.txt,0.1133,8.3731576235,0.7841,0.000250595735358,0.00458371083327
160316#2-cut-n-flow-archi2.txt,0.1536,59.312764512,4.486,0.00123480827037,0.0348769700203
200219-YBFB-Col-cut-n-flow-archi2.txt,0.1687,3.10981105898,2.5189,0.000739537696495,0.0052165606618
200619-YBFB-Col-1-cut-n-flow-archi2.txt,0.1299,48.5420843647,1.5295,0.000478065139052,0.0162799470809
200619-YBFB-Col-2-cut-n-flow-archi2.txt,0.1621,105.999946703,2.8045,0.000870136090716,0.0341689099307
200619-YBFB-e11-2-cut-n-flow-archi0.txt,0.1339,3.39754531326,1.5386,0.000485338491531,0.00379158443363
200619-YBFB-e15-1-cut-n-flow-archi0.txt,0.1561,4.66875289352,2.0232,0.000635432478786,0.00611991821385
200619-YBFB-e15-2-cut-n-flow-archi2.txt,0.1376,4.54310355427,2.1137,0.00065520164171,0.0068420984974
200702-YBFB-Col-1-cut-n-flow-archi2.txt,0.1458,13.1025553121,2.7905,0.000829445428684,0.0162231786258
200703-YBFB-Col-2-cut-n-flow-archi2.txt,0.1628,810.215199953,3.3767,0.00101931436654,0.0531758539193
200703-YBFB-Col-3-cut-n-flow-archi2.txt,0.1231,15.414999134,2.1405,0.000612254687834,0.015120671154
200703-YBFB-e11-3-cut-n-flow-archi0.txt,0.0678,7.3752224147,0.6361,0.000196708185067,0.00352818983666
200703-YBFB-e15-3-cut-n-flow-archi2.txt,0.0973,8.26051895618,1.1683,0.000359520093366,0.00637053790717
200721-YBFB-e11-2-cut-n-flow-archi0.txt,0.1108,3.16351714341,0.7365,0.000241134263595,0.00205723222882
200721-YBFB-e15-1-cut-n-flow-archi0.txt,0.1117,2.38971969629,1.3657,0.000421862360638,0.00268299715172
200721-YBFB-e15-2-cut-n-flow-archi0.txt,0.0913,5.87127388944,1.0038,0.000315093135191,0.00440961582441
200724-YBFB-e11-2-cut-n-flow-archi2.txt,0.1409,2.50912166806,2.2862,0.000694383271126,0.00422255565349
200812-YBFB-e11-3-cut-n-flow-archi0.txt,0.104,1.91091020716,0.6562,0.000214323095075,0.00112662523512
200812-YBFB-e15-1-cut-n-flow-archi0.txt,0.1008,1.64401270455,1.0607,0.000336764972289,0.00156007436694
200812-YBFB-e15-3-cut-n-flow-archi2.txt,0.0928,17.709204787,0.4298,0.000143280689603,0.00549584232589
15012020-1045-cut-n-flow-archi2.txt,0.1365,10.3875990791,1.2272,0.000379861465975,0.00622627720555
