,ax,1 mm,20 mm,40 mm,65 mm,100 mm,120 mm,125 mm,130 mm,135 mm,140 mm,145 mm,150 mm,155 mm,base
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.75,0.502602304521,0.513517032451,0.528993068877,0.577310328211,0.665651235833,0.706717228354,0.722032929316,0.740898714508,0.75509965067,0.774302889159,0.791128082703,0.813072535317,0.84189777994,0.845349889953
2,0.5,0.160976155154,0.171601915566,0.187211161415,0.239607698256,0.352127029394,0.413017205469,0.436071729125,0.466386384822,0.490887355304,0.524519687501,0.554451595916,0.593667820443,0.649199550365,0.656750828091
3,0.25,0.0135691841247,0.0163636734568,0.0209143822423,0.0396014192193,0.0996496590719,0.145538604583,0.163805523914,0.190495910049,0.21537528565,0.25063152598,0.283884765542,0.327852326508,0.399076272515,0.41162202108
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.75,0.471092540766,0.481322989107,0.496264955401,0.541180091803,0.625325373219,0.680932286088,0.697676587839,0.712490367889,0.733261546531,0.742907820257,0.767259663916,0.783120305289,0.809044063441,0.823656414432
6,0.5,0.137349399231,0.146415597933,0.160138699924,0.204595706124,0.302700431702,0.379748231386,0.40478288248,0.426665124062,0.45810148793,0.474950464413,0.516745241408,0.543915358516,0.590738950691,0.61813957788
7,0.25,0.00977205371363,0.0117845475824,0.0151644996674,0.0286492063324,0.0736151297588,0.125216352528,0.144921230965,0.162324735674,0.188358386772,0.206322580427,0.249883197477,0.278429012681,0.333620485474,0.367933664082
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.75,0.503100353703,0.514025897483,0.530506432477,0.570064112632,0.654677687953,0.707871585827,0.72720562181,0.740554705823,0.758531351121,0.772786783291,0.791396623494,0.804150052037,0.828897280054,0.835938331949
10,0.5,0.161495800914,0.172155862253,0.188828353045,0.231718356627,0.338381414441,0.414975245364,0.445567715045,0.466634502311,0.497204158542,0.522131576473,0.554984471177,0.578285923777,0.625649945135,0.640554782357
11,0.25,0.0136195428481,0.0164244032471,0.0212982041376,0.0365076790956,0.0922925340674,0.146584877145,0.172810833537,0.191217093914,0.22162901392,0.248012106823,0.284553355125,0.311954539751,0.372551575539,0.395591081009
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.75,0.480299491761,0.490729882211,0.506463507766,0.543249437338,0.631639822658,0.681617617964,0.694537894861,0.708703322914,0.729486585114,0.739039031825,0.770164297145,0.784987778908,0.805041796487,0.821075111907
14,0.5,0.144385083702,0.153915695892,0.168821711806,0.206112587858,0.31057328657,0.380791946835,0.399477587631,0.420026525585,0.453048064184,0.469746116323,0.521020921957,0.54832251522,0.585214209846,0.613894115412
15,0.25,0.0108703694627,0.0131090546497,0.0169990542597,0.0287596542698,0.0776423623479,0.125969127386,0.140412355949,0.155996079365,0.185064887363,0.202968715982,0.252533567647,0.284739425273,0.330076125404,0.363206602306
16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,0.75,0.496079040793,0.506852106721,0.522127280027,0.559965325672,0.643816724213,0.698276294089,0.712544254205,0.727097648524,0.742479420549,0.752471321884,0.783954500278,0.80197770383,0.828254000541,0.832750759494
18,0.5,0.156332313152,0.166651541504,0.181810491646,0.221892625821,0.323611622213,0.400339461119,0.422510987085,0.445789344688,0.471541881124,0.48936508547,0.542769853592,0.576030894867,0.624748712838,0.634336588002
19,0.25,0.0128805980228,0.015533277317,0.0198530543977,0.0335681623116,0.0831516042312,0.135423872648,0.153761248028,0.174132604987,0.198933516066,0.218616972327,0.272091526762,0.311234568378,0.371682910426,0.386833657412
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,0.75,0.495689823041,0.506454436548,0.521717625134,0.559797613922,0.653293038284,0.694671757942,0.720383349505,0.728236639543,0.74791467103,0.764266493519,0.78504594814,0.800374404731,0.821386992611,0.833475801398
22,0.5,0.156239702278,0.166552817545,0.181702787563,0.222033671035,0.337746347688,0.397471352211,0.436642855585,0.448721802993,0.481668534075,0.509870775855,0.546243502063,0.57388272383,0.614068281277,0.638522098962
23,0.25,0.0128642439371,0.0155135552087,0.0198278476058,0.0336056151337,0.0924713628387,0.135608129801,0.166837312449,0.177690751037,0.209538540497,0.238633323349,0.278701755024,0.31066234361,0.362940628953,0.39748596976
24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,0.75,0.502841094804,0.513761008407,0.529244397619,0.572502416952,0.658111962335,0.705925215762,0.726522146484,0.734643494273,0.754493412501,0.768183336629,0.785986505659,0.801932220611,0.821362565222,0.836654349669
26,0.5,0.161332709263,0.171982005202,0.187625824747,0.23429078167,0.343289646255,0.414014755432,0.445584989611,0.459181838756,0.491202908905,0.513823468253,0.545446111938,0.575952578245,0.612376870861,0.640862052333
27,0.25,0.013567443941,0.0163615748931,0.0209117000718,0.037211710496,0.0951529889,0.14808454965,0.17353415202,0.186826135519,0.216470479565,0.238788638053,0.274208633576,0.312392550272,0.357969276265,0.393436795306
28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,0.75,0.480693538629,0.49113248637,0.505933912163,0.547642326536,0.62853455741,0.677679126735,0.69699515911,0.711623621044,0.730346220017,0.745831503339,0.766614327905,0.786874346524,0.810296264291,0.816868515655
30,0.5,0.14531391616,0.15490583899,0.16899637706,0.211504706307,0.306882527945,0.375363216784,0.40323967391,0.426115831085,0.454213425549,0.480233257025,0.515830236096,0.551036245156,0.593905249603,0.607523783024
31,0.25,0.0112336837276,0.0135471912347,0.0173146412717,0.031061200964,0.0758617257803,0.122361874882,0.143065909484,0.162616822993,0.185466346831,0.211195204068,0.248541426444,0.287018933538,0.339034826077,0.359471335388
32,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
33,0.75,0.518690444466,0.529954549366,0.545925968796,0.580918898211,0.664088772331,0.700644621149,0.714146681691,0.732675674382,0.747545486147,0.763181159075,0.778513559124,0.792697157116,0.824313445824,0.828737118683
34,0.5,0.175983206396,0.187599556569,0.20466397913,0.244412364359,0.351556587669,0.406369194289,0.427985339576,0.455946024216,0.479108358064,0.506189721611,0.533772141237,0.560375305289,0.618251889654,0.627631508125
35,0.25,0.0168900558136,0.0203684580783,0.026032890418,0.0417061283946,0.100412168965,0.14287140242,0.162076931247,0.184558802741,0.205121120074,0.232831686634,0.264488909762,0.296760476451,0.364971370761,0.379700341069
36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,0.75,0.493001670764,0.5037079072,0.518888322702,0.557844456414,0.643503672867,0.680855899503,0.703873586819,0.710628893201,0.732223361948,0.751994148498,0.770562025783,0.783769882783,0.816722191297,0.823935664138
38,0.5,0.154936928963,0.165164050393,0.180187695435,0.221378638387,0.326844652392,0.380628928666,0.412700884044,0.42379365007,0.459218357086,0.490161558086,0.520463001513,0.545374786653,0.605044581411,0.619877894279
