plant,primary_length (m),k (10-8 m/s/MPa),_length (m),surface (m2),Jv (uL/s)
20-06-09-FB-hydroroot-1ter.txt,0.103,3.39346682833,1.626,0.000462570175766,0.00454576678079
20-06-09-FB-160212-3-Col.txt,0.0925,7.08162187818,1.8761,0.000518335770145,0.00952756899717
20-06-09-FB-160212-4-Col.txt,0.0859,8.69929729703,1.5992,0.000447712515965,0.00985832891834
20-06-09-FB-hydroroot-5.txt,0.0842,5.58677410407,0.7099,0.000219626040643,0.00342856165066
20-06-09-FB-hydroroot-7.txt,0.0746,13.1240874954,1.8824,0.000510136590311,0.0137713055044
20-06-10-FB-hydroroot-8.txt,0.0757,8.29846861329,1.1174,0.000335799121043,0.00715656859526
20-06-16-FB-170426-full-archi-ch3G1.txt,0.0617,19.2247898356,2.1262,0.000602816966512,0.0196722884526
20-06-16-FB-170426-full-archi-ch4G1c.txt,0.0801,22.1321639368,2.1082,0.000605004645972,0.0206790720616
200721-YBFB-Col-2-correct-scale.txt,0.1222,12.7648294422,1.1336,0.000360185545521,0.0117746127452
200812-YBFB-col-2.txt,0.1399,4.02948564002,0.7824,0.000258634379808,0.00297998501343
