distance_from_base_(mm)	lateral_root_length_(mm)	order
4.12	78.31	1
6.12	71.6	1
8.52	64.4	1
11.3	14.05	1
11.78	59.4	1
13.32	42.84	1
14.77	18	1
15.65	81.61	1
17.5	55.38	1
19.19	59.24	1
20.56	0.72	1
22.18	75.99	1
24.99	54.36	1
25.21	41.47	1
25.71	52.99	1
27.29	55.44	1
28.21	4.9	1
30.33	1.31	1
30.83	6.53	1
33.7	0.31	1
36.35	0.75	1
37.01	1.49	1
37.79	0.82	1
39.07	0.62	1
39.9	4.69	1
41.07	0.26	1
42.5	0.14	1
44.25	3.72	1
46.18	1.62	1
48.12	1.89	1
49.86	1.74	1
51.64	0.66	1
52.89	1.11	1
54.55	1.01	1
55	0.8	1
56.41	0.3	1
58	0.82	1
60.42	0.73	1
62.64	0.44	1
64.87	0.38	1
101.21	0	1
3.08	6.76	1-1
5.55	3.22	1-1
12.96	2.87	1-1
17.61	2.54	1-1
20.38	1.17	1-1
25.62	2.13	1-1
29.62	2.01	1-1
32.46	2.93	1-1
34	1.63	1-1
36.34	1.47	1-1
38.14	1.16	1-1
40.24	1.89	1-1
40.37	2.6	1-1
43.84	0.61	1-1
47.55	0.38	1-1
77.93	0	1-1
1.58	9.12	1-2
3.27	9.2	1-2
3.77	13.11	1-2
4.29	10.2	1-2
8.96	7.68	1-2
9.93	3.15	1-2
10.57	4.55	1-2
13.5	4.22	1-2
16.7	6.14	1-2
18.62	3.66	1-2
21.56	3.57	1-2
22.77	1.83	1-2
23.33	2.56	1-2
25.04	1.13	1-2
26.66	0.89	1-2
28.89	0.76	1-2
29.9	0.78	1-2
33.57	0.13	1-2
36.07	0.15	1-2
38.12	0.11	1-2
71.36	0	1-2
4.38	0.7	1-3
8.72	2.41	1-3
10.54	3.39	1-3
12.62	0.22	1-3
14.7	1.23	1-3
15.77	0.29	1-3
17.36	0.54	1-3
20.12	1.49	1-3
23.7	0.33	1-3
27.19	0.28	1-3
63.52	0	1-3
6.89	0.53	1-5
11.31	0.49	1-5
11.8	1.3	1-5
17.2	1.07	1-5
17.84	0.34	1-5
18.95	0.67	1-5
20.18	1.18	1-5
21.53	1.8	1-5
28.3	0.28	1-5
31.84	0.19	1-5
59.62	0	1-5
3.48	0.13	1-6
6.41	0.15	1-6
10.02	0.37	1-6
11.63	2.16	1-6
15.41	0.42	1-6
19.46	0.86	1-6
27.63	0.09	1-6
42.66	0	1-6
2.52	1.99	1-8
4.77	0.46	1-8
6.73	0.47	1-8
10.58	7.6	1-8
14.14	1.33	1-8
16.08	1	1-8
19.69	5.45	1-8
24.11	1.7	1-8
26.27	3.77	1-8
28.4	1.55	1-8
31.55	1.51	1-8
34.49	1.41	1-8
41.56	0.4	1-8
44.09	0.32	1-8
81.11	0	1-8
4.85	0.26	1-9
8.29	0.56	1-9
10.43	5.34	1-9
11.84	0.61	1-9
14.68	1	1-9
16.32	1.7	1-9
17.47	1.52	1-9
19.5	0.53	1-9
54.76	0	1-9
3.55	0.35	1-10
5.41	0.35	1-10
8.29	0.53	1-10
9.04	0.35	1-10
10.99	1.02	1-10
11.81	1.38	1-10
15.48	0.87	1-10
17.45	3.09	1-10
20.91	0.99	1-10
24.96	0.31	1-10
27.45	0.25	1-10
30.28	0.25	1-10
32.25	0.18	1-10
58.89	0	1-10
3.33	2.37	1-12
5.31	1.47	1-12
9.29	0.66	1-12
10.85	1.21	1-12
13.94	1.2	1-12
14.97	3.16	1-12
19.04	2.72	1-12
21.71	0.84	1-12
23.87	1.74	1-12
25.31	1.69	1-12
29.6	1.1	1-12
33.36	0.36	1-12
34.98	0.31	1-12
38.07	0.11	1-12
39.16	0.12	1-12
74.86	0	1-12
2.27	0.25	1-13
8.07	0.36	1-13
9.96	1.33	1-13
11.67	0.24	1-13
15.24	0.09	1-13
23.27	0.19	1-13
54.42	0	1-13
7.35	0.26	1-15
10.75	1.7	1-15
16.96	0.21	1-15
52.88	0	1-15
5.36	0.32	1-16
11.76	0.29	1-16
13.44	0.44	1-16
18.51	0.29	1-16
55.19	0	1-16
