Col 1;;;
relative position;internode length (mm);LR length (mm);relative dist to tip
0.161749981;0.21;112.02;99.83825002
2.07964261;2.49;94.48;97.92035739
3.558499576;1.92;3.97;96.44150042
3.689440037;0.17;24.98;96.31055996
4.829392282;1.48;79.71;95.17060772
5.961642147;1.47;52.66;94.03835785
9.181237002;4.18;105.59;90.818763
10.22105831;1.35;84.17;89.77894169
10.62158207;0.52;84.71;89.37841793
10.73711777;0.15;54.06;89.26288223
12.22367712;1.93;41.95;87.77632288
13.48686744;1.64;89.28;86.51313256
16.57552184;4.01;51.74;83.42447816
17.72317646;1.49;14.01;82.27682354
18.46260494;0.96;57.72;81.53739506
20.19564045;2.25;21.35;79.80435955
22.90687823;3.52;5.53;77.09312177
25.02503274;2.75;2.08;74.97496726
25.8876993;1.12;54.11;74.1123007
28.24462759;3.06;13.8;71.75537241
30.016175;2.3;2.65;69.983825
32.15743665;2.78;61.73;67.84256335
33.55926981;1.82;1.02;66.44073019
36.24740045;3.49;23.77;63.75259955
37.13317415;1.15;8.2;62.86682585
38.53500732;1.82;30.64;61.46499268
39.52861434;1.29;0.97;60.47138566
41.16151891;2.12;1.52;58.83848109
42.75591158;2.07;62.39;57.24408842
44.16544712;1.83;57.38;55.83455288
46.15266117;2.58;54.69;53.84733883
49.07186321;3.79;47.38;50.92813679
50.89732727;2.37;24.86;49.10267273
53.1233151;2.89;18.68;46.8766849
53.33898175;0.28;12.82;46.66101825
54.15543403;1.06;5.49;45.84456597
55.96549334;2.35;1.11;44.03450666
56.55087422;0.76;3.51;43.44912578
57.3288146;1.01;9.58;42.6711854
60.08626666;3.58;21.11;39.91373334
60.3789571;0.38;15.1;39.6210429
61.36486174;1.28;15.28;38.63513826
63.05938535;2.2;3.47;36.94061465
63.68327813;0.81;10.63;36.31672187
63.86813525;0.24;14.53;36.13186475
64.80782562;1.22;7.28;35.19217438
65.94007548;1.47;11.34;34.05992452
67.39582531;1.89;5.55;32.60417469
68.69752754;1.69;4.68;31.30247246
69.64492028;1.23;9.78;30.35507972
70.66933683;1.33;4.58;29.33066317
72.98005084;3;1.1;27.01994916
73.8812293;1.17;0.43;26.1187707
74.71308634;1.08;0.83;25.28691366
75.56034815;1.1;0.54;24.43965185
76.73881229;1.53;0.52;23.26118771
78.1637526;1.85;0.47;21.8362474
79.65031195;1.93;0.1;20.34968805
80.39744281;0.97;0.29;19.60255719
100;25.45;0;0
