index,primary_length,axfold,radfold,delta,length,surface,Jv,i0,seed
1,0.12,1.0,1.0,0.0017,2.2082,0.00199472655912,0.231443137017,39,80745121
2,0.12,1.0,1.0,0.0018,1.3426,0.00129978495158,0.155351037218,16,81135891
3,0.12,1.0,1.0,0.0019,1.5855,0.00146215854487,0.179463326364,29,90907375
4,0.12,1.0,1.0,0.002,2.103,0.00188617965718,0.229913421622,34,4479573
5,0.13,1.0,1.0,0.0017,1.6252,0.00153924568877,0.184030882602,28,11062840
6,0.13,1.0,1.0,0.0018,2.4157,0.00216723849916,0.237176873087,45,61226499
7,0.13,1.0,1.0,0.0019,2.9149,0.00254278760143,0.294517672977,43,24924589
8,0.13,1.0,1.0,0.002,1.1885,0.00115068948813,0.141991184117,17,33840142
9,0.14,1.0,1.0,0.0017,3.3431,0.00289205388823,0.319174706485,50,49993704
10,0.14,1.0,1.0,0.0018,2.5346,0.00229613045565,0.256805263421,36,28318
11,0.14,1.0,1.0,0.0019,1.5492,0.00148359576783,0.180481921344,24,77635857
12,0.14,1.0,1.0,0.002,2.7531,0.00234334220951,0.275156883887,39,97234876
13,0.15,1.0,1.0,0.0017,2.7007,0.00245973675963,0.260528040268,35,30640104
14,0.15,1.0,1.0,0.0018,2.4698,0.00220371977889,0.259482692032,39,72214431
15,0.15,1.0,1.0,0.0019,2.8686,0.00249880791808,0.283420851575,39,43087786
16,0.15,1.0,1.0,0.002,1.976,0.00185005425707,0.207412946034,34,29896444
17,0.12,1.0,1.0,0.0017,1.8343,0.00170489659152,0.197657015028,24,18459586
18,0.12,1.0,1.0,0.0018,1.3229,0.00126145450528,0.160131454177,21,53441782
19,0.12,1.0,1.0,0.0019,1.3227,0.0012657491881,0.159043970727,24,39661332
20,0.12,1.0,1.0,0.002,1.0314,0.00100162217336,0.126861149112,18,82218498
21,0.13,1.0,1.0,0.0017,1.2333,0.00119724336736,0.141045120966,20,5334537
22,0.13,1.0,1.0,0.0018,1.425,0.00136114905256,0.166259753211,19,57091506
23,0.13,1.0,1.0,0.0019,2.6714,0.00229135081145,0.26205471684,52,26634326
24,0.13,1.0,1.0,0.002,1.777,0.00163064442083,0.198067532128,33,67190035
25,0.14,1.0,1.0,0.0017,2.9967,0.00258815280253,0.288297867679,43,96787877
26,0.14,1.0,1.0,0.0018,2.3813,0.0021982905036,0.242700037911,42,5950215
27,0.14,1.0,1.0,0.0019,1.4994,0.00144864316195,0.170666696409,20,12221352
28,0.14,1.0,1.0,0.002,2.5501,0.00231673206523,0.256891603001,43,67553928
29,0.15,1.0,1.0,0.0017,2.9938,0.00270436639691,0.282504510868,50,8223929
30,0.15,1.0,1.0,0.0018,2.403,0.00224177115124,0.236264055637,30,94212313
31,0.15,1.0,1.0,0.0019,2.6763,0.00239567682029,0.271806568625,38,99575140
32,0.15,1.0,1.0,0.002,2.3438,0.00214020029402,0.22910814508,36,72893422
33,0.12,1.0,1.0,0.0017,1.8173,0.00165747573324,0.190807808494,26,47026952
34,0.12,1.0,1.0,0.0018,1.9302,0.00174018939418,0.207357329851,35,14842359
35,0.12,1.0,1.0,0.0019,1.3052,0.00123941007529,0.146121993491,19,38868451
36,0.12,1.0,1.0,0.002,1.0701,0.00104114290628,0.13023183393,19,47683141
37,0.13,1.0,1.0,0.0017,2.3187,0.00208426908744,0.24186093722,42,54182327
38,0.13,1.0,1.0,0.0018,1.0555,0.00104097401426,0.13232759691,14,49265922
39,0.13,1.0,1.0,0.0019,1.7224,0.00158917258293,0.194963525923,24,46447922
40,0.13,1.0,1.0,0.002,1.7252,0.00160738557679,0.200191507336,30,2119550
41,0.14,1.0,1.0,0.0017,1.8195,0.00172876264259,0.192186880054,28,38623305
42,0.14,1.0,1.0,0.0018,3.3444,0.00282273899429,0.326531242453,54,5835471
43,0.14,1.0,1.0,0.0019,3.6318,0.00304901971986,0.346787871446,62,47137732
44,0.14,1.0,1.0,0.002,1.5466,0.00145972730401,0.176555981602,24,84340636
45,0.15,1.0,1.0,0.0017,4.624,0.00402035452729,0.388570156219,66,92549641
46,0.15,1.0,1.0,0.0018,1.8908,0.0017777523871,0.193094100392,37,47057501
47,0.15,1.0,1.0,0.0019,1.878,0.00177723766856,0.199477357331,29,96916691
48,0.15,1.0,1.0,0.002,2.3337,0.00208655938389,0.239418211216,32,7383881
