index,primary_length,axfold,radfold,delta,length,surface,Jv,i0,seed
1,0.12,1.0,1.0,0.0017,2.8669,0.00210038020501,0.0225204819274,46,31866479
2,0.12,1.0,1.0,0.0018,2.2623,0.00168470017199,0.0179137102575,36,21209105
3,0.12,1.0,1.0,0.0019,1.8372,0.00136600435888,0.0146266184483,35,34398909
4,0.12,1.0,1.0,0.002,1.7417,0.0013601811907,0.0146191376654,33,22933964
5,0.13,1.0,1.0,0.0017,2.2597,0.00175762432863,0.0187031934836,34,10495638
6,0.13,1.0,1.0,0.0018,1.2681,0.00105192661156,0.0112489877602,18,92091441
7,0.13,1.0,1.0,0.0019,1.4464,0.00118411716494,0.0127009021387,24,35312398
8,0.13,1.0,1.0,0.002,1.7138,0.00138109126697,0.0146571919944,24,29023668
9,0.14,1.0,1.0,0.0017,2.4381,0.00183518465921,0.0195426781619,39,63154849
10,0.14,1.0,1.0,0.0018,2.3967,0.00176658441477,0.0189558620241,48,97999374
11,0.14,1.0,1.0,0.0019,4.158,0.00284020645051,0.0300735058792,72,87872071
12,0.14,1.0,1.0,0.002,2.2198,0.00169194531297,0.0179977713275,30,19059789
13,0.15,1.0,1.0,0.0017,3.8172,0.00263372351406,0.0277338332208,59,43845817
14,0.15,1.0,1.0,0.0018,3.5103,0.00250653066911,0.0265834209094,50,47707262
15,0.15,1.0,1.0,0.0019,1.8613,0.0014721093511,0.0155341544759,22,81900209
16,0.15,1.0,1.0,0.002,1.8475,0.00146476518713,0.0156828579017,26,61859508
17,0.12,1.0,1.0,0.0017,1.4183,0.00114216270302,0.0122442872679,26,26811900
18,0.12,1.0,1.0,0.0018,1.595,0.00128272572648,0.0137641988198,23,51806698
19,0.12,1.0,1.0,0.0019,1.1451,0.000943319617244,0.0101299148037,19,96968149
20,0.12,1.0,1.0,0.002,1.6398,0.00130163987354,0.0139356104547,30,23460128
21,0.13,1.0,1.0,0.0017,2.9167,0.0019915437362,0.0214691789662,51,53722124
22,0.13,1.0,1.0,0.0018,2.3033,0.00173768882466,0.0185717543444,47,90265804
23,0.13,1.0,1.0,0.0019,2.1371,0.00166564766918,0.0177718327991,32,53954830
24,0.13,1.0,1.0,0.002,0.8637,0.00074266948738,0.00804216240685,9,3110390
25,0.14,1.0,1.0,0.0017,3.9039,0.00261787910514,0.0276236092464,48,1875137
26,0.14,1.0,1.0,0.0018,1.5042,0.00123991549471,0.01334193403,24,31866840
27,0.14,1.0,1.0,0.0019,2.1791,0.00164278066971,0.0175764335209,36,84149790
28,0.14,1.0,1.0,0.002,1.5064,0.00122492456855,0.0131998576456,22,81915862
29,0.15,1.0,1.0,0.0017,3.2332,0.00228886641485,0.0244322520454,51,95839286
30,0.15,1.0,1.0,0.0018,1.6393,0.00137126761984,0.0145508449764,26,61426007
31,0.15,1.0,1.0,0.0019,1.8287,0.00146555273414,0.0156874885389,31,14039586
32,0.15,1.0,1.0,0.002,1.7498,0.00136773865625,0.0146583569556,28,41052558
33,0.12,1.0,1.0,0.0017,1.2944,0.00108134310287,0.0116384499708,22,17299674
34,0.12,1.0,1.0,0.0018,2.8878,0.00205374559942,0.0217772378071,47,60430105
35,0.12,1.0,1.0,0.0019,1.6294,0.00130826976502,0.014065548339,28,61977284
36,0.12,1.0,1.0,0.002,1.3094,0.00108909630221,0.0117312101184,19,66104708
37,0.13,1.0,1.0,0.0017,2.3664,0.00170877248747,0.0183745597265,35,48224254
38,0.13,1.0,1.0,0.0018,2.2598,0.00171159421573,0.0183782355133,34,80846151
39,0.13,1.0,1.0,0.0019,1.5039,0.00124564312078,0.0133515559302,23,84925539
40,0.13,1.0,1.0,0.002,2.3103,0.00164023821647,0.017421885927,38,78242155
41,0.14,1.0,1.0,0.0017,2.5804,0.00180905635984,0.0193556973749,40,19032360
42,0.14,1.0,1.0,0.0018,3.017,0.00214907487858,0.0230752116524,47,24784278
43,0.14,1.0,1.0,0.0019,1.6398,0.00131828403142,0.014183571119,18,57709230
44,0.14,1.0,1.0,0.002,2.1792,0.00167304699953,0.0179286164996,34,93145758
45,0.15,1.0,1.0,0.0017,3.0545,0.00230055831686,0.024421105513,44,62819868
46,0.15,1.0,1.0,0.0018,1.9745,0.00159576557954,0.0169292005288,28,76975257
47,0.15,1.0,1.0,0.0019,2.4255,0.00187075697566,0.0199120481316,41,95664259
48,0.15,1.0,1.0,0.002,1.8937,0.00146619285249,0.0157284093857,29,98767311
