index;primary_length;k0;axfold;radfold;delta;length;surface;Jv;i3;i4;i6;i8;seed
1;0.12;50;0.0625;0.25;0.0017;2.3312;0.001636181;0.005300945;37;37;30;13;68205965
2;0.12;50;0.0625;0.5;0.0017;1.1029;0.000936649;0.005428604;17;11;10;10;17784246
3;0.12;50;0.0625;1;0.0017;1.7645;0.001360161;0.013255529;35;29;22;9;45641213
4;0.12;50;0.0625;2;0.0017;1.516;0.001236863;0.017656476;29;29;17;7;57227881
5;0.12;50;0.0625;4;0.0017;2.4317;0.001647504;0.032940636;38;43;29;20;53286487
6;0.12;50;0.0625;8;0.0017;1.6743;0.001319044;0.035263649;27;24;23;11;53076278
7;0.12;50;0.125;0.25;0.0017;2.3345;0.001789001;0.006136694;41;38;28;15;41015418
8;0.12;50;0.125;0.5;0.0017;1.7768;0.001288754;0.008336989;26;27;25;16;57069562
9;0.12;50;0.125;1;0.0017;1.6276;0.001313988;0.015359638;29;27;18;8;85305962
10;0.12;50;0.125;2;0.0017;1.1485;0.000951417;0.020181017;28;15;9;6;22472703
11;0.12;50;0.125;4;0.0017;2.2434;0.001613011;0.044505501;31;36;33;13;80471942
12;0.12;50;0.125;8;0.0017;1.7854;0.001314991;0.066505725;26;30;22;9;65357679
13;0.12;50;0.25;0.25;0.0017;3.2028;0.00230588;0.008194868;50;54;41;20;54744950
14;0.12;50;0.25;0.5;0.0017;2.0704;0.001560891;0.010772307;35;30;31;10;11215903
15;0.12;50;0.25;1;0.0017;2.0243;0.001529461;0.01948817;25;33;22;14;950871
16;0.12;50;0.25;2;0.0017;1.533;0.001154068;0.028524571;30;26;15;6;44153154
17;0.12;50;0.25;4;0.0017;2.1948;0.00164611;0.062627982;38;36;32;14;95170537
18;0.12;50;0.25;8;0.0017;1.9282;0.001509238;0.08323588;33;32;28;13;2197778
19;0.12;50;0.5;0.25;0.0017;2.6642;0.001957097;0.007138774;38;45;39;17;96830490
20;0.12;50;0.5;0.5;0.0017;1.4309;0.001157933;0.008388859;25;19;20;10;87194916
21;0.12;50;0.5;1;0.0017;1.9717;0.001502599;0.020969413;36;34;24;11;6407833
22;0.12;50;0.5;2;0.0017;2.7859;0.002024648;0.051709232;50;39;33;17;44143003
23;0.12;50;0.5;4;0.0017;1.9833;0.001504;0.066797563;27;37;28;12;80675
24;0.12;50;0.5;8;0.0017;2.9714;0.00218258;0.153300115;44;44;41;21;8079478
25;0.12;50;1;0.25;0.0017;2.0252;0.001485651;0.005493948;36;37;19;11;16212203
26;0.12;50;1;0.5;0.0017;1.9836;0.001480352;0.010867928;37;25;19;13;4569593
27;0.12;50;1;1;0.0017;1.2164;0.000996174;0.014322888;21;18;19;8;62505464
28;0.12;50;1;2;0.0017;1.3746;0.001106673;0.030711492;19;21;17;6;25621079
29;0.12;50;1;4;0.0017;1.5778;0.001276397;0.06722907;27;22;17;7;4137774
30;0.12;50;1;8;0.0017;1.8503;0.001414095;0.133649739;28;29;22;13;6305729
31;0.12;50;2;0.25;0.0017;1.3175;0.001097728;0.0040799;26;22;15;8;58213511
32;0.12;50;2;0.5;0.0017;2.1327;0.00159665;0.011810361;37;30;24;11;88682517
33;0.12;50;2;1;0.0017;2.4961;0.001882874;0.0273835;34;40;33;18;36588180
34;0.12;50;2;2;0.0017;3.7124;0.002419895;0.069705661;60;62;42;19;97407074
35;0.12;50;2;4;0.0017;2.5079;0.001818785;0.100567575;43;47;30;9;38351972
36;0.12;50;2;8;0.0017;1.9935;0.001535566;0.157529334;37;34;22;12;4448230
37;0.12;50;3;0.25;0.0017;1.9787;0.001515612;0.005637812;38;32;25;11;32625305
38;0.12;50;3;0.5;0.0017;1.4751;0.001166237;0.008660473;23;21;17;7;89062349
39;0.12;50;3;1;0.0017;1.7898;0.001436318;0.021149807;31;32;17;9;18585411
40;0.12;50;3;2;0.0017;2.1381;0.001654379;0.047923345;38;42;24;10;68682364
41;0.12;50;3;4;0.0017;1.1767;0.000992925;0.05684868;23;14;12;6;22369302
42;0.12;50;3;8;0.0017;2.2271;0.001688489;0.181343245;31;34;29;14;81370505
43;0.12;50;4;0.25;0.0017;2.8122;0.002110113;0.007851948;45;42;32;17;79884783
44;0.12;50;4;0.5;0.0017;1.3914;0.00114319;0.008497992;26;21;18;7;74963277
45;0.12;50;4;1;0.0017;2.1234;0.001636835;0.024196438;40;34;22;12;61866398
46;0.12;50;4;2;0.0017;1.6623;0.001280724;0.037667922;31;26;19;5;21760237
47;0.12;50;4;4;0.0017;2.1364;0.001599357;0.092069043;38;35;25;12;88750936
48;0.12;50;4;8;0.0017;2.7027;0.001880515;0.20619234;35;40;35;24;26426351
49;0.12;50;5;0.25;0.0017;2.2064;0.001684705;0.006277408;40;41;28;11;71385927
50;0.12;50;5;0.5;0.0017;2.0861;0.001576936;0.01172614;31;33;29;17;29162163
51;0.12;50;5;1;0.0017;1.8917;0.001486921;0.021972618;25;28;29;14;54115765
52;0.12;50;5;2;0.0017;1.7174;0.001339315;0.039471542;33;23;17;10;89292671
53;0.12;50;5;4;0.0017;2.5049;0.001918446;0.110057766;35;44;35;17;45749351
54;0.12;50;5;8;0.0017;1.9335;0.001483146;0.166789807;28;31;27;11;18771882
55;0.12;50;0.0625;0.25;0.0018;1.5036;0.001224021;0.003952102;24;26;14;7;11716889
56;0.12;50;0.0625;0.5;0.0018;1.0805;0.000905893;0.005382479;16;16;15;6;77107823
57;0.12;50;0.0625;1;0.0018;1.177;0.000987454;0.009613309;25;16;11;7;62168310
58;0.12;50;0.0625;2;0.0018;1.6053;0.001252914;0.019440671;27;23;19;7;66240492
59;0.12;50;0.0625;4;0.0018;2.1491;0.001622341;0.029235753;32;29;31;15;93017249
