index,primary_length,k0,axfold,radfold,delta,length,surface,Jv,i3,i4,i6,i8,seed
1,0.1,50,1.0,1.0,0.0015,1.5836,0.00125526984031,0.0180917811233,32,25,15,7,2397199
2,0.1,50,1.0,1.0,0.0016,2.1305,0.00162942214022,0.0231665207751,37,37,29,9,11429662
3,0.1,50,1.0,1.0,0.0017,1.3715,0.00109357156378,0.0157178908463,24,20,19,6,30272193
4,0.1,50,1.0,1.0,0.0018,1.5068,0.00117801493537,0.0170104176521,31,22,20,3,94813343
5,0.1,50,1.0,1.0,0.0019,0.9735,0.00081372100347,0.0118201401202,18,14,11,2,40520964
6,0.11,50,1.0,1.0,0.0015,2.0415,0.00152310119492,0.0218174550326,36,23,26,10,36516397
7,0.11,50,1.0,1.0,0.0016,2.3523,0.00175649624554,0.02516104384,43,35,24,15,84922552
8,0.11,50,1.0,1.0,0.0017,0.9468,0.000806755715566,0.011653717923,22,14,9,2,78923790
9,0.11,50,1.0,1.0,0.0018,1.3834,0.00112580417874,0.0161201230784,22,18,20,6,8737964
10,0.11,50,1.0,1.0,0.0019,1.1947,0.00096312263397,0.0139572836016,21,19,12,6,88110718
11,0.12,50,1.0,1.0,0.0015,2.6461,0.00196814329429,0.0279683674327,45,41,31,14,99854749
12,0.12,50,1.0,1.0,0.0016,1.4639,0.00118144857048,0.0171261165209,25,20,19,7,99271028
13,0.12,50,1.0,1.0,0.0017,1.5524,0.00125242808126,0.0179865207364,26,22,16,9,15427725
14,0.12,50,1.0,1.0,0.0018,2.4967,0.00188806551755,0.026761154843,34,45,33,19,47615107
15,0.12,50,1.0,1.0,0.0019,1.2955,0.00105389990874,0.01521112008,24,22,10,7,87347450
16,0.13,50,1.0,1.0,0.0015,2.2326,0.00172299530679,0.0244687911549,32,37,28,17,75109437
17,0.13,50,1.0,1.0,0.0016,2.7514,0.00203539523,0.0289653476893,49,49,31,12,28114314
18,0.13,50,1.0,1.0,0.0017,1.9386,0.00152348105117,0.0219253249042,29,27,20,10,30418501
19,0.13,50,1.0,1.0,0.0018,1.9904,0.00152100300058,0.0217580379161,30,29,21,14,52513826
20,0.13,50,1.0,1.0,0.0019,1.2309,0.00102077922837,0.0148376592215,23,18,8,5,2518046
21,0.14,50,1.0,1.0,0.0015,2.1338,0.0016432778456,0.0236305587234,37,34,23,13,39750054
22,0.14,50,1.0,1.0,0.0016,3.9904,0.00260124675965,0.0368541775616,64,72,42,23,19538652
23,0.14,50,1.0,1.0,0.0017,2.6939,0.00203894276669,0.0287066782411,40,33,33,24,52186758
24,0.14,50,1.0,1.0,0.0018,3.7102,0.00243921624084,0.0345111966476,53,57,50,24,36524792
25,0.14,50,1.0,1.0,0.0019,1.9466,0.00152571949877,0.0217520624481,38,29,21,14,63987741
26,0.15,50,1.0,1.0,0.0015,2.5808,0.00202247390968,0.0287058725139,41,40,36,17,59171207
27,0.15,50,1.0,1.0,0.0016,2.878,0.00217726019229,0.0307659033992,35,50,36,21,31585854
28,0.15,50,1.0,1.0,0.0017,1.7402,0.00143366354552,0.0202288298159,20,23,19,12,59254841
29,0.15,50,1.0,1.0,0.0018,2.5017,0.00196754265948,0.0275464284258,33,33,30,21,99154407
30,0.15,50,1.0,1.0,0.0019,3.3729,0.00244482385807,0.0346191598269,53,51,39,22,87124186
