index,primary_length,k0,axfold,radfold,delta,nude_length,length,surface,Jv,i3,i4,i6,i8,seed
1,0.1,50,1.0,1.0,0.001,0.009,3.059,0.00228851955789,0.0328207882343,75,29,19,11,97510955
2,0.1,50,1.0,1.0,0.001,0.014,2.408,0.0019076680504,0.026971091121,46,34,27,8,93641023
3,0.1,50,1.0,1.0,0.001,0.019,3.1167,0.00234498315132,0.033012498791,65,59,24,12,69406026
4,0.1,50,1.0,1.0,0.001,0.024,2.2268,0.00174394834749,0.0249756695471,44,30,21,8,78782395
5,0.1,50,1.0,1.0,0.001,0.029,2.2408,0.00176953724797,0.0252632129064,39,40,22,7,87535415
6,0.1,50,1.0,1.0,0.001,0.034,3.3613,0.00252028867095,0.0352384129661,74,54,29,13,70822334
7,0.1,50,1.0,1.0,0.0014,0.009,1.3865,0.0011230326657,0.0162262251053,26,15,15,5,52770039
8,0.1,50,1.0,1.0,0.0014,0.014,1.4851,0.00120865740179,0.0174391627254,28,26,12,5,19476186
9,0.1,50,1.0,1.0,0.0014,0.019,2.2858,0.00177294147777,0.0251688993567,49,27,27,10,86373256
10,0.1,50,1.0,1.0,0.0014,0.024,0.9952,0.000862877378057,0.012530778278,14,13,10,4,84867030
11,0.1,50,1.0,1.0,0.0014,0.029,1.4599,0.00118271664293,0.0170189193519,24,23,17,7,26993842
12,0.1,50,1.0,1.0,0.0014,0.034,1.7742,0.00142828740084,0.0203718646522,39,30,14,9,60436490
13,0.1,50,1.0,1.0,0.0018,0.009,1.0957,0.000928850823783,0.0134625610674,20,16,13,3,47256435
14,0.1,50,1.0,1.0,0.0018,0.014,0.9063,0.000799006286136,0.0115715183922,12,14,11,4,67625755
15,0.1,50,1.0,1.0,0.0018,0.019,1.3018,0.00107151180282,0.0154209087767,25,16,14,9,42702061
16,0.1,50,1.0,1.0,0.0018,0.024,0.4348,0.000415049628473,0.00605038578483,7,6,6,2,92170376
17,0.1,50,1.0,1.0,0.0018,0.029,0.9939,0.000840437610051,0.0121734908711,18,15,11,4,11009965
18,0.1,50,1.0,1.0,0.0018,0.034,0.9957,0.000845504370683,0.0123041040275,14,17,9,2,79417779
19,0.1,50,1.0,1.0,0.0022,0.009,0.7791,0.000673524792366,0.00975669144946,16,12,11,4,91621767
20,0.1,50,1.0,1.0,0.0022,0.014,1.0812,0.000894298331141,0.0129691947299,20,16,10,6,78446923
21,0.1,50,1.0,1.0,0.0022,0.019,0.9691,0.000830787894057,0.0120073588077,13,14,11,4,4704807
22,0.1,50,1.0,1.0,0.0022,0.024,0.5772,0.000518249690507,0.00758399380156,13,7,5,2,15638747
23,0.1,50,1.0,1.0,0.0022,0.029,0.8572,0.000734783335837,0.0107027271709,16,12,10,4,43621720
24,0.1,50,1.0,1.0,0.0022,0.034,0.8725,0.000753018396235,0.0108850887202,13,11,12,4,1934574
