index,primary_length,axfold,radfold,length,surface,Jv,i0,seed
1,0.1,1.0,1.0,1.139,0.00108864579782,0.137466776611,18,63362884
2,0.11,1.0,1.0,1.5694,0.00143921577018,0.180193902072,27,93990106
3,0.12,1.0,1.0,1.3528,0.00128270675126,0.164918521647,23,80854533
4,0.13,1.0,1.0,2.0038,0.00185222673122,0.215374264137,30,14000304
5,0.14,1.0,1.0,1.5626,0.00148322179264,0.183244865088,27,67508247
6,0.15,1.0,1.0,1.7755,0.00166302644994,0.193108622424,28,85470123
7,0.1,1.0,1.0,1.3939,0.00131837111637,0.161663206452,25,21445009
8,0.11,1.0,1.0,1.1136,0.00106859590218,0.133045847125,19,23015341
9,0.12,1.0,1.0,1.5054,0.00142156012,0.171505340929,25,1540639
10,0.13,1.0,1.0,1.7022,0.00159896108193,0.185132012514,28,52704901
11,0.14,1.0,1.0,2.6566,0.00229035032729,0.272428112561,42,83887580
12,0.15,1.0,1.0,5.9654,0.00441728133819,0.360780005051,93,95305814
13,0.1,1.0,1.0,1.0686,0.00100719963129,0.130783876577,16,81488666
14,0.11,1.0,1.0,0.9775,0.000952852591656,0.118511989283,16,66370959
15,0.12,1.0,1.0,1.5047,0.00139677320529,0.15883596795,25,40434496
16,0.13,1.0,1.0,2.3844,0.00214530264261,0.257620385258,34,54839336
17,0.14,1.0,1.0,2.1999,0.00198695913464,0.212441564382,35,68761272
18,0.15,1.0,1.0,1.9579,0.00183658712901,0.201104274388,29,4680291
