index,primary_length,axfold,radfold,length,surface,Jv,i0,seed
1,0.1,1.0,1.0,1.2233,0.00113244110738,0.144151082344,19,54445779
2,0.105,1.0,1.0,1.7604,0.00159599541846,0.195617145528,31,4460511
3,0.11,1.0,1.0,0.8657,0.000862917590443,0.109922541267,15,44924818
4,0.115,1.0,1.0,1.1684,0.00109198141524,0.135995085192,17,39197935
5,0.12,1.0,1.0,1.3315,0.00124587622695,0.156083021954,23,90908458
6,0.125,1.0,1.0,1.7603,0.00160669834711,0.194408887447,27,52266659
7,0.13,1.0,1.0,1.8493,0.00169517886632,0.191790097163,35,40870910
8,0.135,1.0,1.0,1.3084,0.00125567799603,0.156241689279,19,33354942
9,0.14,1.0,1.0,1.7492,0.00165628785936,0.187534851064,22,44480277
10,0.145,1.0,1.0,1.8466,0.0016951018596,0.191210995548,25,27026058
11,0.15,1.0,1.0,1.1245,0.00111819687496,0.136362644919,18,36680589
12,0.1,1.0,1.0,1.0168,0.000964522226063,0.125310699632,14,21713739
13,0.105,1.0,1.0,1.9909,0.00181547783805,0.206014856997,32,7736947
14,0.11,1.0,1.0,1.3919,0.00130812902167,0.159856474556,22,61241718
15,0.115,1.0,1.0,1.341,0.00124548496044,0.149254048954,30,65246983
16,0.12,1.0,1.0,1.2102,0.0011476856229,0.145411684149,16,99669635
17,0.125,1.0,1.0,2.4164,0.00211941350641,0.248090239097,40,20760481
18,0.13,1.0,1.0,1.3182,0.00126434577583,0.157252942561,17,88263469
19,0.135,1.0,1.0,1.4748,0.00139515063552,0.175228191339,26,50933176
20,0.14,1.0,1.0,3.6264,0.00312306841587,0.331152124222,60,75401561
21,0.145,1.0,1.0,1.7161,0.00160514353521,0.179455713364,24,35820649
22,0.15,1.0,1.0,1.4841,0.00140998196877,0.17482316928,24,97998907
23,0.1,1.0,1.0,1.266,0.0011986226522,0.152891756278,23,81365124
24,0.105,1.0,1.0,1.2815,0.00118168479311,0.152411762961,22,35955970
25,0.11,1.0,1.0,1.3799,0.00128520394043,0.15717198995,26,92391730
26,0.115,1.0,1.0,1.6796,0.00155106209838,0.190523002858,30,33316962
27,0.12,1.0,1.0,1.4659,0.00137972717488,0.164661218027,22,76930340
28,0.125,1.0,1.0,1.6722,0.00157165084,0.187916253212,24,41993422
29,0.13,1.0,1.0,1.4857,0.0014072967867,0.173092789754,28,83363502
30,0.135,1.0,1.0,2.6605,0.00237005087415,0.268862783884,41,98246714
31,0.14,1.0,1.0,1.0952,0.00106716032,0.133174123437,15,31984395
32,0.145,1.0,1.0,3.4143,0.00296131509863,0.310295306371,56,40398975
33,0.15,1.0,1.0,1.4326,0.00137185660564,0.162051827789,22,42927786
34,0.1,1.0,1.0,1.1723,0.00110386055618,0.142490838619,18,21522631
35,0.105,1.0,1.0,1.23,0.00115064324389,0.141233964465,20,38767861
36,0.11,1.0,1.0,1.0433,0.00100649591453,0.12635900548,19,67281442
37,0.115,1.0,1.0,2.0597,0.00186910829297,0.226237035246,35,68256141
38,0.12,1.0,1.0,1.2611,0.00120124047853,0.151251961475,18,47652346
39,0.125,1.0,1.0,1.5402,0.00146088582285,0.171320125514,30,12048223
40,0.13,1.0,1.0,1.4911,0.00141582583376,0.176510287768,22,20137944
41,0.135,1.0,1.0,1.9079,0.00177533059615,0.196673012715,36,79641671
42,0.14,1.0,1.0,1.8616,0.00172134989136,0.206466823783,29,46419196
43,0.145,1.0,1.0,1.5773,0.00150285448478,0.179142407233,29,59733286
44,0.15,1.0,1.0,2.2856,0.00209095379342,0.233547157522,41,46727660
45,0.1,1.0,1.0,1.1614,0.00107365783733,0.140039199948,20,68681773
46,0.105,1.0,1.0,1.431,0.00132594511927,0.162680373967,24,35389770
47,0.11,1.0,1.0,1.0518,0.001007919433,0.126599978506,16,327974
48,0.115,1.0,1.0,1.2647,0.00119633255682,0.149400516411,21,47300685
49,0.12,1.0,1.0,2.1999,0.00194325148809,0.234184317223,32,72855714
50,0.125,1.0,1.0,1.3805,0.00128556786252,0.157304321766,23,46573700
51,0.13,1.0,1.0,1.7463,0.00163628219734,0.185620806851,29,6781623
52,0.135,1.0,1.0,1.9935,0.00182406157396,0.218828711725,31,46753197
53,0.14,1.0,1.0,1.5226,0.00145802873283,0.171457376866,31,7741312
54,0.145,1.0,1.0,1.4524,0.0013934928799,0.168959895087,20,29838060
55,0.15,1.0,1.0,2.0913,0.00190540178086,0.20402712589,34,16144999
56,0.1,1.0,1.0,1.1408,0.00105550677055,0.13887193743,19,61070916
57,0.105,1.0,1.0,1.2803,0.00120548087463,0.155209484692,22,15939767
58,0.11,1.0,1.0,1.4058,0.00128762392181,0.164546865548,24,65815431
59,0.115,1.0,1.0,2.7656,0.00242556246448,0.265463906222,54,73656360
60,0.12,1.0,1.0,1.3955,0.00129833328444,0.167626393783,19,53570149
61,0.125,1.0,1.0,1.8071,0.00166232977035,0.199542272791,32,19094342
62,0.13,1.0,1.0,1.6973,0.00157533228393,0.18025794171,32,78060829
63,0.135,1.0,1.0,1.6818,0.00156802689977,0.18902086953,25,29732689
64,0.14,1.0,1.0,1.5166,0.00143805121948,0.172932977327,19,54993091
65,0.145,1.0,1.0,2.2952,0.00210980817483,0.219546385331,29,33947637
66,0.15,1.0,1.0,2.4057,0.00221138104267,0.239261675249,41,40230511
67,0.1,1.0,1.0,1.4334,0.00132133879046,0.166430756302,22,5016316
68,0.105,1.0,1.0,1.9972,0.00177771036516,0.206356491032,40,55693967
69,0.11,1.0,1.0,1.0828,0.00100953597091,0.129661859456,21,71452170
70,0.115,1.0,1.0,1.636,0.00153866864103,0.191079148472,30,30727338
71,0.12,1.0,1.0,1.4035,0.00135327546739,0.165801725948,20,39757251
72,0.125,1.0,1.0,1.2174,0.00116150863058,0.146839177973,18,39563048
73,0.13,1.0,1.0,1.3205,0.00126829463213,0.158042126453,21,34345191
74,0.135,1.0,1.0,1.6891,0.00156764166512,0.191212093452,23,80511706
75,0.14,1.0,1.0,2.8419,0.00250507240463,0.281019080183,43,63337973
76,0.145,1.0,1.0,2.0766,0.00190979900527,0.216513462921,34,28321190
77,0.15,1.0,1.0,1.9105,0.00179949522419,0.200929272473,32,89130460
78,0.1,1.0,1.0,1.4317,0.00135319504262,0.162567229302,22,33031517
79,0.105,1.0,1.0,1.2315,0.00115796270238,0.149113935778,18,82237306
80,0.11,1.0,1.0,1.2697,0.00120548288525,0.151777204666,23,90709687
81,0.115,1.0,1.0,1.5323,0.00142060668433,0.172428047494,22,14821219
82,0.12,1.0,1.0,1.3413,0.0012470753603,0.157774012799,16,3113909
83,0.125,1.0,1.0,1.7662,0.00166973287061,0.187468297663,28,80882574
84,0.13,1.0,1.0,1.9024,0.00170397411938,0.209322177812,27,92243089
85,0.135,1.0,1.0,2.1819,0.00199026579914,0.236028233247,33,22828835
86,0.14,1.0,1.0,1.3641,0.00131667415368,0.162772126583,14,70486563
87,0.145,1.0,1.0,1.6164,0.00150339896048,0.18159228584,26,23729102
88,0.15,1.0,1.0,3.3005,0.00279512977327,0.2995858412,59,89581708
89,0.1,1.0,1.0,1.8744,0.00167762053011,0.193882249678,42,68654936
90,0.105,1.0,1.0,1.6337,0.00153334854236,0.1690695543,26,48639452
91,0.11,1.0,1.0,2.3143,0.00201458986929,0.236116988699,37,24644549
92,0.115,1.0,1.0,1.375,0.00128771922517,0.167059825611,22,42272412
93,0.12,1.0,1.0,2.0117,0.00179393566077,0.22154594341,37,22874087
94,0.125,1.0,1.0,1.5204,0.00146144075378,0.167893593091,21,63197035
95,0.13,1.0,1.0,1.557,0.00146218669354,0.175743938878,22,47907217
96,0.135,1.0,1.0,1.7652,0.00166092233684,0.196839757291,27,16069251
97,0.14,1.0,1.0,1.7971,0.00168818432391,0.190307671379,24,45360525
98,0.145,1.0,1.0,1.6841,0.00159586573352,0.190928929878,24,82233134
99,0.15,1.0,1.0,2.8361,0.00255318230214,0.257554423386,41,38080677
100,0.1,1.0,1.0,1.4356,0.00134647153168,0.164786778037,24,16637867
101,0.105,1.0,1.0,1.2141,0.00115400902059,0.14197675344,19,12698688
102,0.11,1.0,1.0,1.6483,0.00152902289601,0.184877535042,24,14448032
103,0.115,1.0,1.0,1.8723,0.00169905895944,0.193721119334,27,25940272
104,0.12,1.0,1.0,1.5148,0.00138836238264,0.175192663054,26,47518818
105,0.125,1.0,1.0,2.2899,0.00206584337007,0.237310274985,32,43576218
106,0.13,1.0,1.0,1.3314,0.00125914631432,0.153660326195,16,85637046
