Plant 8;;;
dist to base (mm);internode length (mm);LR length (mm);dist to tip (mm)
5.41;5.41;65.06;70.89
7.35;1.94;50.21;68.95
9.61;2.26;60.1;66.69
10.74;1.13;40.81;65.56
11.7;0.96;50.05;64.6
13.11;1.41;43.85;63.19
13.65;0.54;51.28;62.65
13.9;0.25;1.72;62.4
14.87;0.97;43.8;61.43
15.35;0.48;38.56;60.95
16.47;1.12;6.58;59.83
17.05;0.58;25.69;59.25
18.74;1.69;42.09;57.56
23.1;4.36;0.55;53.2
24.04;0.94;0.54;52.26
24.49;0.45;0.31;51.81
26.04;1.55;1.47;50.26
28.89;2.85;0.77;47.41
29.17;0.28;0.72;47.13
30.38;1.21;0.63;45.92
32.02;1.64;0.63;44.28
32.48;0.46;0.57;43.82
37.1;4.62;0.45;39.2
39.64;2.54;0.38;36.66
42.34;2.7;0.28;33.96
45.59;3.25;0.06;30.71
76.3;30.71;0;0
