LR_length_mm;relative_distance_to_tip
0.29;52.48
0.23;53.2
0.44;53.39
0.52;53.56
0.42;54.17
0.78;54.58
2.37;54.65
0.3;54.69
0.36;54.7
1.09;55.1
0.32;55.13
0.47;55.48
1.5;55.81
0.27;55.92
0.62;55.94
1.52;56.6
0.87;56.61
2.26;56.94
0.27;57.05
0.56;57.2
0.35;57.38
0.89;57.47
0.29;57.59
0.29;57.64
0.56;57.76
2.32;57.95
0.77;58.09
2.36;58.12
1.37;58.25
2.09;58.3
1.06;58.61
0.69;58.66
0.54;58.73
1.1;58.87
0.9;58.92
0.85;58.97
0.74;59.02
0.4;59.22
1.08;59.32
0.44;59.33
0.39;59.41
2.93;59.64
0.47;59.74
0.92;59.83
0.92;59.83
0.4;60.12
2;60.23
3.15;60.25
2.15;60.28
0.64;60.38
0.47;60.47
0.42;60.47
2.28;60.6
1.03;60.63
0.64;60.68
0.52;60.85
3.77;60.87
0.53;60.93
0.69;60.99
1.33;61.03
0.64;61.07
0.55;61.23
4.26;61.23
0.7;61.4
3.78;61.61
0.4;61.7
0.77;61.79
0.8;61.79
1.27;61.88
0.84;61.9
0.55;61.93
3.35;62.2
0.36;62.21
0.56;62.24
0.23;62.27
0.88;62.29
1.4;62.31
4.8;62.37
1.28;62.68
6.4;62.72
0.36;62.76
1.3;62.81
0.84;62.85
0.92;62.87
0.77;62.99
0.52;63
3.77;63.17
1.46;63.21
1;63.28
8.85;63.36
5.64;63.37
0.33;63.5
1.64;63.61
1.62;63.68
0.55;63.71
4.92;63.73
6.07;63.8
0.41;63.98
0.2;63.99
5.93;64.05
4.88;64.07
1.06;64.09
5.42;64.1
1.47;64.17
1.23;64.31
3.42;64.33
0.69;64.33
2.17;64.35
0.23;64.37
2.69;64.59
1.22;64.63
1.45;64.67
3.86;64.72
2.49;64.73
6.14;64.78
1.31;64.82
2.74;64.89
2.15;64.95
2.71;64.98
1.38;65.01
1.39;65.22
3.23;65.35
6.04;65.48
1.4;65.58
1.27;65.62
1.19;65.64
2.16;65.65
0.76;65.76
2.06;65.82
0.91;65.83
1.02;65.86
8.36;65.86
1.33;66.09
1.15;66.15
2.14;66.21
2.59;66.45
8.31;66.53
1.36;66.62
0.89;66.64
1.71;66.74
0.93;66.74
1.67;66.88
1.49;66.92
4.81;67.02
2.42;67.08
3.03;67.12
1.23;67.17
7.29;67.21
6.02;67.3
3.43;67.39
4.58;67.52
0.77;67.68
0.57;67.7
5.45;67.8
3.66;67.92
0.85;68.02
1.8;68.03
7.37;68.08
1.28;68.15
4.16;68.15
1.56;68.2
3.39;68.23
5.61;68.24
10.63;68.48
2.5;68.5
2.84;68.5
1.46;68.53
7.93;68.62
10.58;68.66
1.23;68.79
1.67;68.87
4.27;68.93
2.19;68.96
3.59;69.03
3.13;69.04
2.84;69.06
3.37;69.11
2.22;69.16
6.18;69.21
4.21;69.23
4.43;69.28
2.16;69.33
0.92;69.37
3.75;69.39
6.68;69.45
6.96;69.5
3.95;69.59
4.7;69.59
7.97;69.59
1.81;69.61
1.88;69.61
3.54;69.64
1.89;69.67
0.86;69.7
4.82;69.84
3.9;69.84
1.69;69.86
1.58;69.9
2.61;69.91
5.67;70.04
0.95;70.06
10.01;70.07
1.98;70.07
1.71;70.08
1;70.13
0.91;70.14
0.76;70.18
6.98;70.22
1.42;70.23
2.92;70.25
0.71;70.25
1.82;70.27
3.45;70.35
14.51;70.4
1.79;70.43
9.02;70.47
5.35;70.57
2.35;70.69
4.44;70.76
0.43;70.77
1.43;70.77
3.15;70.78
4.06;70.79
5.39;70.83
2.74;70.84
4.68;70.93
2.84;70.95
3.79;70.99
9.71;70.99
10.44;71.03
0.42;71.05
8.08;71.06
2.84;71.18
2.15;71.19
6.09;71.2
1.79;71.24
4.74;71.27
10.18;71.29
4.51;71.3
12.16;71.32
2.07;71.32
2.9;71.32
3.69;71.36
2.82;71.38
3.11;71.38
4.77;71.5
4.19;71.5
2.03;71.52
10.61;71.57
3.84;71.64
2.96;71.65
3.54;71.69
2.71;71.7
2.95;71.71
1.82;71.71
11.73;71.72
12.17;71.72
4.71;71.74
1.14;71.78
4.79;71.82
3.72;71.84
6.12;71.89
4.85;71.89
1.13;71.92
2.02;71.95
9.85;71.98
1.32;72.05
1.85;72.06
22.42;72.08
3.8;72.11
4.77;72.13
13.31;72.18
4.77;72.19
1.57;72.29
2.57;72.35
10.98;72.36
1.06;72.37
7.23;72.44
4.55;72.47
1.76;72.54
1.68;72.57
4.68;72.57
19.2;72.58
9.3;72.63
8.2;72.67
10.23;72.67
2.11;72.73
0.39;72.74
3.58;72.8
9.61;72.81
0.71;72.81
1.42;72.83
11.37;72.83
3.05;72.87
1.63;72.87
3.51;72.89
0.53;72.92
4.35;72.94
1.29;72.99
5.98;73.01
9.63;73.07
2.42;73.08
1.52;73.09
3.91;73.12
1.09;73.13
12.64;73.14
3.1;73.17
4.59;73.24
2.45;73.32
2.61;73.33
0.89;73.34
3.88;73.36
8.35;73.36
3.84;73.37
7.03;73.44
1.32;73.44
1.7;73.46
4.1;73.48
3.3;73.5
2.45;73.57
3.59;73.61
9.48;73.62
0.44;73.72
0.73;73.74
6.81;73.74
1.54;73.78
5.79;73.8
4.76;73.94
17.38;73.96
10.13;74.01
1.28;74.02
0.5;74.12
2.59;74.13
3.05;74.15
5.81;74.16
11.77;74.22
6.64;74.26
4.64;74.26
4.15;74.28
7.02;74.44
3.89;74.44
3.32;74.45
10.62;74.48
0.91;74.5
2.27;74.5
12.9;74.53
6.55;74.56
6.99;74.62
3.62;74.69
6.81;74.72
7.49;74.72
1.11;74.73
3.53;74.76
2.13;74.76
15.03;74.8
7.88;74.84
4.55;74.84
21.24;74.9
0.44;74.95
6.56;74.96
2.31;74.96
7.17;74.98
6.03;75.04
7.94;75.07
1.61;75.07
2.74;75.07
7.63;75.08
9.13;75.1
2.05;75.11
16.11;75.11
17.99;75.11
8.48;75.18
3.21;75.18
2.93;75.25
5.18;75.25
7.97;75.26
4.99;75.31
8.58;75.41
3.19;75.56
5.05;75.57
6.55;75.58
3.35;75.61
10.21;75.62
2.58;75.64
10.46;75.69
0.68;75.76
13.45;75.77
11.82;75.78
4.5;75.78
7.32;75.82
1.95;75.84
3.74;75.94
7;75.95
11.83;75.95
9.73;75.97
13.28;75.98
3.59;76.03
3.02;76.03
3.85;76.09
9.69;76.13
10.94;76.17
10.85;76.18
10.16;76.19
11.64;76.2
11.04;76.2
11.46;76.24
14.37;76.31
12.68;76.33
7.21;76.37
7.21;76.37
5.87;76.37
3.26;76.38
7.24;76.39
10.48;76.49
17.06;76.49
9.74;76.51
9.88;76.6
9.64;76.61
7.28;76.62
1.26;76.65
2.86;76.69
5.98;76.71
2.32;76.76
14.12;76.76
1.92;76.77
7.19;76.84
6.22;76.85
9.15;76.89
2.3;76.89
3.76;76.91
6.97;76.92
12.26;77
15.17;77.02
11.19;77.04
10.74;77.05
4.32;77.13
7.13;77.13
2.38;77.14
3.54;77.15
14.96;77.19
6.01;77.2
12.45;77.2
18.37;77.25
6.46;77.34
10.07;77.36
21.07;77.38
11.27;77.42
8.18;77.43
8.19;77.43
0.66;77.48
12.79;77.51
4.17;77.54
5.6;77.57
4.53;77.6
10.14;77.6
7.29;77.61
3.36;77.62
6.6;77.65
13.95;77.76
12.26;77.77
3.54;77.78
6.97;77.81
8.65;77.84
12.32;77.86
4.42;77.86
19.4;77.89
8.89;77.91
8.29;77.92
13.52;77.95
19.18;77.95
2.91;77.99
12.18;78.01
3.58;78.02
3.69;78.03
2.63;78.05
9.46;78.05
7.84;78.07
5.32;78.11
4.86;78.13
14.25;78.15
11.55;78.16
9.04;78.25
12.61;78.29
4.8;78.3
13.45;78.33
11.45;78.36
5.51;78.39
5.31;78.46
1.45;78.47
3.93;78.48
4.15;78.5
4.48;78.51
9.93;78.52
14.16;78.57
5.2;78.66
1.49;78.68
11.83;78.68
15.19;78.69
13.6;78.69
4.01;78.72
3.72;78.73
14.52;78.8
2.69;78.85
16.43;78.86
6.64;78.86
5.97;78.87
16.86;78.9
6.78;78.91
10.92;78.92
1.17;78.98
17.65;79.08
11.86;79.08
7.57;79.08
3.66;79.1
12.95;79.1
13.55;79.15
8.78;79.16
4.96;79.16
8.65;79.17
5.37;79.17
12.71;79.25
7.06;79.27
13.09;79.29
8;79.34
6.3;79.38
12.4;79.4
14.94;79.42
1.53;79.48
12.88;79.53
5.32;79.55
1.91;79.62
4.32;79.62
14.23;79.63
1.93;79.69
14.8;79.76
0.98;79.77
21.24;79.79
16.47;79.84
4.77;79.91
18.79;79.92
7.3;79.93
13.92;79.94
9.69;79.95
5.8;79.96
14.7;79.98
18.09;79.98
6.99;80.06
6.72;80.08
19.13;80.13
18.55;80.13
4.48;80.14
13.17;80.15
3.57;80.15
15.67;80.17
1.83;80.23
8.15;80.27
6.5;80.33
2.24;80.33
12.56;80.41
8.44;80.44
7.47;80.45
7.1;80.46
7.61;80.49
21.36;80.5
21.67;80.51
17.79;80.53
4.74;80.55
9.54;80.57
4.01;80.67
3.18;80.67
