Col 1;;;;Col 2;;;;Col 3;;;;Col 4;;;
relative position;internode length (mm);LR length (mm);relative dist to tip;relative position;internode length (mm);LR length (mm);relative dist to tip;relative position;internode length (mm);LR length (mm);relative dist to tip;relative position;internode length (mm);LR length (mm);relative dist to tip
0.161749981;0.21;112.02;99.83825002;0.6712627;0.37;91.19;99.3287373;0.63455437;0.44;99.52;99.36544563;1.156836715;0.61;75.92;98.84316328
2.07964261;2.49;94.48;97.92035739;1.052249637;0.21;91.55;98.94775036;0.951831555;0.22;75.58;99.04816845;2.446425185;0.68;73.2;97.55357482
3.558499576;1.92;3.97;96.44150042;3.047895501;1.1;75.74;96.9521045;7.672339198;4.66;55.06;92.3276608;3.223971174;0.41;63.5;96.77602883
3.689440037;0.17;24.98;96.31055996;4.735123367;0.93;64.96;95.26487663;9.172194981;1.04;60.55;90.82780502;5.651431822;1.28;56.32;94.34856818
4.829392282;1.48;79.71;95.17060772;7.021044993;1.26;75.62;92.97895501;13.83040092;3.23;1.72;86.16959908;9.747771667;2.16;56.55;90.25222833
5.961642147;1.47;52.66;94.03835785;8.81712627;0.99;45.54;91.18287373;14.20536487;0.26;49.94;85.79463513;10.75289209;0.53;53.23;89.24710791
9.181237002;4.18;105.59;90.818763;11.01233672;1.21;45.71;88.98766328;17.43582348;2.24;42.97;82.56417652;14.67855111;2.07;52.93;85.32144889
10.22105831;1.35;84.17;89.77894169;12.42743106;0.78;55.11;87.57256894;20.13267955;1.87;39.3;79.86732045;16.21467855;0.81;50.36;83.78532145
10.62158207;0.52;84.71;89.37841793;13.04426705;0.34;56.85;86.95573295;23.03143928;2.01;40.57;76.96856072;17.20083444;0.52;13.66;82.79916556
10.73711777;0.15;54.06;89.26288223;14.36865022;0.73;17.74;85.63134978;26.07441592;2.11;5.44;73.92558408;19.55243694;1.24;4.02;80.44756306
12.22367712;1.93;41.95;87.77632288;16.5820029;1.22;15.36;83.4179971;28.09345255;1.4;2.76;71.90654745;20.89891902;0.71;0.71;79.10108098
13.48686744;1.64;89.28;86.51313256;18.45065312;1.03;8.49;81.54934688;29.03086242;0.65;45.48;70.96913758;22.41608193;0.8;1.55;77.58391807
16.57552184;4.01;51.74;83.42447816;19.68432511;0.68;6.34;80.31567489;31.74214018;1.88;22.25;68.25785982;27.08135786;2.46;24.34;72.91864214
