Col 3;;;
relative position;internode length (mm);LR length (mm);relative dist to tip
0.63455437;0.44;99.52;99.36544563
0.951831555;0.22;75.58;99.04816845
7.672339198;4.66;55.06;92.3276608
9.172194981;1.04;60.55;90.82780502
13.83040092;3.23;1.72;86.16959908
14.20536487;0.26;49.94;85.79463513
17.43582348;2.24;42.97;82.56417652
20.13267955;1.87;39.3;79.86732045
23.03143928;2.01;40.57;76.96856072
26.07441592;2.11;5.44;73.92558408
28.09345255;1.4;2.76;71.90654745
29.03086242;0.65;45.48;70.96913758
31.74214018;1.88;22.25;68.25785982
34.15056245;1.67;20.75;65.84943755
35.14565907;0.69;12.73;64.85434093
36.19844246;0.73;0.66;63.80155754
40.43841938;2.94;29.54;59.56158062
41.27487742;0.58;23.19;58.72512258
44.01499856;1.9;0.69;55.98500144
46.14940871;1.48;0.85;53.85059129
46.52437266;0.26;33.63;53.47562734
48.99048168;1.71;0.79;51.00951832
50.57686761;1.1;0.22;49.42313239
52.11998846;1.07;0.44;47.88001154
52.35073551;0.16;14.71;47.64926449
54.94663975;1.8;6.43;45.05336025
60.03749639;3.53;8.4;39.96250361
60.65762907;0.43;3.88;39.34237093
62.61897894;1.36;1.65;37.38102106
64.07556966;1.01;1.68;35.92443034
66.84453418;1.92;6.43;33.15546582
68.5895587;1.21;1.05;31.4104413
73.5938852;3.47;2.52;26.4061148
75.75713874;1.5;2.58;24.24286126
78.65589847;2.01;1.25;21.34410153
82.53533314;2.69;0.35;17.46466686
83.97750216;1;0.13;16.02249784
100;11.11;0;0
