index,primary_length,k0,axfold,radfold,delta,nude_length,length,surface,Jv,i3,i4,i6,i8,seed
1,0.1,50,1.0,1.0,0.001,0.009,2.16,0.00167381417646,0.0238031879246,40,33,22,8,32900078
2,0.1,50,1.0,1.0,0.001,0.012,2.3884,0.00183754267583,0.0261415956534,53,45,18,7,20596905
3,0.1,50,1.0,1.0,0.001,0.015,1.9477,0.0015381815685,0.0217516853078,43,38,20,5,84011913
4,0.1,50,1.0,1.0,0.001,0.018,2.5509,0.00197650034544,0.0283197576159,53,30,25,6,68653928
5,0.1,50,1.0,1.0,0.001,0.021,2.866,0.00218712277004,0.0309708003581,56,48,23,11,10443407
6,0.1,50,1.0,1.0,0.001,0.024,1.7895,0.00143702228506,0.0204632020071,33,25,20,6,58357460
7,0.1,50,1.0,1.0,0.001,0.027,2.3083,0.0017761873713,0.0254636146498,53,36,16,7,21807096
8,0.1,50,1.0,1.0,0.001,0.03,2.4857,0.00192181275717,0.0276253147,55,30,23,7,2046580
9,0.1,50,1.0,1.0,0.001,0.033,1.7077,0.00138372453737,0.0199129173224,36,25,17,4,68445276
10,0.1,50,1.0,1.0,0.001,0.036,1.4512,0.00120137393339,0.0172965583802,29,24,14,2,294696
11,0.1,50,1.0,1.0,0.0011,0.009,2.7181,0.00204997717106,0.029423427593,58,44,19,8,1074362
12,0.1,50,1.0,1.0,0.0011,0.012,1.665,0.00135426519474,0.0195457102939,37,19,14,5,57700537
13,0.1,50,1.0,1.0,0.0011,0.015,1.8864,0.00149998734166,0.0215552634932,38,30,19,4,93227897
14,0.1,50,1.0,1.0,0.0011,0.018,2.8197,0.00215014245459,0.0306443659746,59,40,24,10,57775533
15,0.1,50,1.0,1.0,0.0011,0.021,1.6372,0.00130146884524,0.0188492258783,25,25,14,4,48401994
16,0.1,50,1.0,1.0,0.0011,0.024,2.3888,0.00183507087073,0.0263656030051,51,35,14,7,2170857
17,0.1,50,1.0,1.0,0.0011,0.027,1.9904,0.00157130903472,0.0223963533854,44,32,22,7,28902431
18,0.1,50,1.0,1.0,0.0011,0.03,1.9503,0.00154651181558,0.0220755051186,35,36,19,6,40009606
19,0.1,50,1.0,1.0,0.0011,0.033,2.2866,0.00177755082251,0.0255763325416,44,33,17,11,27052924
20,0.1,50,1.0,1.0,0.0011,0.036,1.5279,0.00124630624815,0.0180277937769,26,23,14,2,19716607
21,0.1,50,1.0,1.0,0.0012,0.009,1.4205,0.00116866869722,0.0169381976204,25,21,9,3,42704949
22,0.1,50,1.0,1.0,0.0012,0.012,1.474,0.00120657264091,0.0174738182632,24,18,18,4,40082827
23,0.1,50,1.0,1.0,0.0012,0.015,2.1525,0.00165291378885,0.0236825811951,41,35,20,8,41253844
24,0.1,50,1.0,1.0,0.0012,0.018,1.2216,0.00103975658428,0.0149825530002,25,22,12,4,88281355
25,0.1,50,1.0,1.0,0.0012,0.021,1.8394,0.00149231682903,0.0212521342217,34,22,20,7,52264277
26,0.1,50,1.0,1.0,0.0012,0.024,1.9529,0.00153006243645,0.0219242735626,39,27,14,6,49227759
27,0.1,50,1.0,1.0,0.0012,0.027,2.2274,0.00176915020376,0.0251999086107,38,27,26,11,56868892
28,0.1,50,1.0,1.0,0.0012,0.03,2.7324,0.00205371566632,0.0292690499678,50,49,25,9,86719831
29,0.1,50,1.0,1.0,0.0012,0.033,1.7098,0.0013669145034,0.0195656198376,36,20,23,6,87788337
30,0.1,50,1.0,1.0,0.0012,0.036,1.3331,0.00110828100324,0.016022552856,27,13,16,4,35953254
31,0.1,50,1.0,1.0,0.0013,0.009,2.021,0.00161720016356,0.0231222889806,39,33,21,10,28398916
32,0.1,50,1.0,1.0,0.0013,0.012,1.6389,0.00130974631356,0.018905869073,29,30,14,5,67516169
33,0.1,50,1.0,1.0,0.0013,0.015,1.7297,0.00138909037762,0.0199199448952,34,23,15,7,21974994
34,0.1,50,1.0,1.0,0.0013,0.018,2.2071,0.00172551096853,0.02452979638,41,44,23,6,20313307
