distance_from_base_(mm)	lateral_root_length_(mm)	order
10.0	2.0	1
12.5	1.5	1
17.0	1.4	1
17.2	1.3	1
20.6	4.2	1
21.7	7.5	1
22.5	11.5	1
22.7	7.7	1
25.5	11.2	1
28.1	15.3	1
28.5	8.7	1
30.1	9.3	1
30.4	41.6	1
31.9	104.1	1
32.3	70.8	1
33.5	60.0	1
34.0	96.1	1
36.3	67.6	1
36.5	7.9	1
37.6	61.3	1
39.1	4.0	1
40.5	81.7	1
40.7	6.2	1
42.4	83.3	1
42.6	65.4	1
42.9	19.1	1
44.5	10.7	1
46.6	52.5	1
46.9	11.9	1
47.0	51.0	1
49.5	50.0	1
50.3	44.5	1
50.7	54.8	1
51.5	62.7	1
53.0	4.5	1
54.5	60.2	1
56.0	6.5	1
56.6	40.0	1
57.2	19.3	1
58.4	53.7	1
60.0	51.5	1
62.4	37.8	1
64.9	67.0	1
65.6	24.0	1
66.9	24.7	1
67.4	45.5	1
69.6	47.1	1
71.4	60.6	1
71.7	57.3	1
75.8	28.6	1
77.7	54.3	1
78.3	44.2	1
78.8	42.4	1
79.9	42.9	1
81.5	22.2	1
81.6	13.7	1
82.6	42.6	1
83.4	35.2	1
84.1	4.1	1
84.9	2.4	1
85.5	3.3	1
85.7	1.4	1
87.0	7.9	1
87.3	7.4	1
88.2	31.9	1
89.1	7.1	1
89.5	4.3	1
89.9	26.0	1
90.7	22.7	1
91.1	22.5	1
91.4	9.9	1
93.8	26.5	1
95.6	17.9	1
95.7	23.4	1
96.9	25.4	1
98.0	9.7	1
100.3	11.8	1
100.6	5.7	1
101.7	18.0	1
101.8	24.0	1
101.9	13.0	1
102.7	26.6	1
103.0	16.3	1
104.3	11.8	1
104.8	18.0	1
105.9	14.3	1
107.1	18.1	1
107.9	7.4	1
108.6	18.3	1
109.1	17.3	1
109.3	16.1	1
112.4	17.4	1
113.1	8.0	1
113.1	12.4	1
114.8	9.4	1
115.0	3.2	1
116.6	5.6	1
117.2	6.3	1
118.1	5.0	1
118.8	6.4	1
119.1	4.2	1
119.9	4.2	1
121.1	3.9	1
125.6	7.9	1
125.8	18.0	1
127.0	18.4	1
127.4	13.0	1
128.9	11.5	1
130.2	16.0	1
131.4	12.2	1
132.5	3.1	1
132.7	12.5	1
133.5	17.5	1
133.7	2.4	1
133.8	8.2	1
135.3	7.3	1
136.4	7.9	1
136.7	3.6	1
137.6	10.6	1
138.2	11.6	1
138.5	13.1	1
140.6	13.7	1
141.8	5.7	1
142.1	3.8	1
144.5	7.6	1
145.3	4.4	1
145.3	10.6	1
145.5	8.5	1
147.3	5.0	1
147.8	7.5	1
149.1	14.1	1
149.8	8.5	1
152.2	10.2	1
154.6	12.6	1
155.4	3.3	1
157.8	3.8	1
158.8	15.7	1
160.0	2.6	1
160.3	11.0	1
162.2	11.9	1
162.5	8.9	1
163.2	6.8	1
163.5	1.5	1
163.6	6.5	1
163.8	1.9	1
167.2	9.8	1
170.6	10.7	1
170.7	6.3	1
171.6	5.8	1
172.3	4.4	1
172.9	2.0	1
175.2	3.7	1
176.3	2.4	1
177.7	2.5	1
177.7	7.9	1
179.0	4.8	1
179.3	3.9	1
181.1	7.3	1
183.9	3.1	1
184.1	5.2	1
184.2	4.1	1
185.2	1.6	1
185.8	3.2	1
185.9	4.1	1
186.3	3.8	1
187.8	2.5	1
188.3	3.0	1
189.0	2.5	1
189.6	3.0	1
189.8	5.5	1
191.2	1.5	1
191.5	3.4	1
192.4	5.9	1
193.0	4.1	1
193.2	2.1	1
194.2	1.9	1
194.6	1.6	1
195.3	1.9	1
195.7	3.0	1
195.9	1.7	1
197.2	1.7	1
197.3	2.3	1
199.9	1.4	1
200.0	2.3	1
201.0	7.3	1
201.3	6.6	1
202.7	2.1	1
203.8	1.3	1
203.8	7.1	1
205.5	2.2	1
206.1	2.1	1
207.6	1.5	1
209.1	4.4	1
209.3	1.7	1
210.8	1.1	1
211.7	1.8	1
212.4	4.1	1
213.4	1.8	1
213.9	2.4	1
214.0	3.9	1
215.9	2.5	1
217.2	2.2	1
218.8	1.3	1
219.1	1.8	1
219.8	0.6	1
220.9	2.0	1
223.2	1.4	1
223.3	1.4	1
223.6	2.8	1
224.0	3.7	1
224.9	1.6	1
226.4	6.7	1
227.4	1.0	1
227.7	1.1	1
228.6	1.3	1
228.6	0.4	1
230.6	0.7	1
230.8	3.0	1
231.5	2.6	1
231.9	1.5	1
233.5	1.8	1
234.5	3.4	1
235.1	1.6	1
236.1	1.2	1
237.3	2.1	1
238.4	2.3	1
238.5	2.7	1
239.5	0.5	1
