dist. to tip (m);K (1e-9 m4/s/MPa)
0;0.000187
0.06;-0.000154
0.0638;0.000213
0.0668;0.000702
0.072;0.00219
0.08;0.00479
0.09;0.00827
0.103;0.0134
0.11;0.017
0.118;0.021
0.12;0.022
0.13;0.0266
0.138;0.0299
0.14;0.0306
0.144;0.0315
0.15;0.0323
0.16;0.0332
0.164;0.0333
0.169;0.0332
0.17;0.0331
0.177;0.0333
0.18;0.0337
0.198;0.034
0.207;0.0339
0.21;0.034
0.214;0.034
0.219;0.0349
0.226;0.0365
0.23;0.0376
0.24;0.0397
0.26;0.0452
0.266;0.0463
0.27;0.0471
0.28;0.0501
0.29;0.0554
0.298;0.0598
0.3;0.0607
0.303;0.0626
0.32;0.0741
0.337;0.0908
0.36;0.0999
0.362;0.1
0.369;0.103
0.393;0.111
0.401;0.112
0.42;0.113
0.43;0.113
0.457;0.113
0.48;0.114
